season,episode,title,rating,votes
1,1,Pilot,8.4,8413
1,2,Purple Giraffe,8,6521
1,3,The Sweet Taste of Liberty,8,6201
1,4,Return of the Shirt,7.8,5818
1,5,Okay Awesome,8.1,5930
1,6,The Slutty Pumpkin,7.9,5758
1,7,Matchmaker,7.5,5439
1,8,The Duel,8,5394
1,9,Belly Full of Turkey,7.9,5373
1,10,The Pineapple Incident,9.1,7992
1,11,The Limo,8.2,5674
1,12,The Wedding,8,5258
1,13,"Drumroll, Please",8.7,5988
1,14,"Zip, Zip, Zip",8.1,5159
1,15,Game Night,9,6683
1,16,Cupcake,7.7,4920
1,17,Life Among the Gorillas,7.5,4874
1,18,Nothing Good Happens After 2 AM,8.3,5391
1,19,Mary the Paralegal,8.7,5691
1,20,Best Prom Ever,7.7,4848
1,21,Milk,7.9,4896
1,22,Come On,8.8,5920
2,1,Where Were We?,8,4843
2,2,The Scorpion and the Toad,8.1,4713
2,3,Brunch,8.4,4917
2,4,"Ted Mosby, Architect",8.7,5422
2,5,World's Greatest Couple,8.7,5254
2,6,Aldrin Justice,8,4711
2,7,Swarley,8.9,6293
2,8,Atlantic City,7.8,4625
2,9,Slap Bet,9.4,9212
2,10,Single Stamina,8,4682
2,11,How Lily Stole Christmas,7.9,4658
2,12,First Time in New York,8,4719
2,13,Columns,7.7,4388
2,14,Monday Night Football,8.3,4719
2,15,Lucky Penny,8.3,4631
2,16,Stuff,8.3,4833
2,17,"Arrivederci, Fiero",8.1,4662
2,18,Moving Day,7.9,4343
2,19,Bachelor Party,8.3,4608
2,20,Showdown,8.8,5048
2,21,Something Borrowed,8.7,4808
2,22,Something Blue,8.7,4899
3,1,Wait for It,8.1,4707
3,2,We're Not from Here,7.5,4259
3,3,Third Wheel,8,4462
3,4,Little Boys,7.5,4237
3,5,How I Met Everyone Else,8.9,5764
3,6,I'm Not That Guy,7.9,4192
3,7,Dowisetrepla,7.8,4247
3,8,Spoiler Alert,9,5899
3,9,Slapsgiving,8.9,5518
3,10,The Yips,7.8,4296
3,11,The Platinum Rule,8.4,4481
3,12,No Tomorrow,8,4322
3,13,Ten Sessions,8.7,5075
3,14,The Bracket,8.6,4574
3,15,The Chain of Screaming,7.8,4149
3,16,Sandcastles in the Sand,8.1,4538
3,17,The Goat,8.1,4212
3,18,Rebound Bro,7.9,4116
3,19,Everything Must Go,7.5,4089
3,20,Miracles,8.5,4524
4,1,Do I Know You?,8.5,4649
4,2,The Best Burger in New York,8.4,4998
4,3,I Heart NJ,7.5,4115
4,4,Intervention,8.7,4877
4,5,Shelter Island,8.2,4345
4,6,Happily Ever After,7.9,4136
4,7,Not a Father's Day,7.6,4021
4,8,Woooo!,7.9,4246
4,9,The Naked Man,9.1,6604
4,10,The Fight,8.2,4271
4,11,Little Minnesota,8,4195
4,12,Benefits,8.5,4493
4,13,Three Days of Snow,8.4,4461
4,14,The Possimpible,8.2,4244
4,15,The Stinsons,8.2,4359
4,16,"Sorry, Bro",7.6,4124
4,17,The Front Porch,8.2,4325
4,18,Old King Clancy,7.4,3944
4,19,Murtaugh,8.3,4260
4,20,Mosbius Designs,7.4,3983
4,21,The Three Days Rule,8.6,4459
4,22,Right Place Right Time,8.1,4129
4,23,As Fast as She Can,7.5,4016
4,24,The Leap,8.6,4651
5,1,Definitions,8.4,4428
5,2,Double Date,8,4066
5,3,Robin 101,8.2,4226
5,4,The Sexless Innkeeper,7.8,4260
5,5,Duel Citizenship,7.6,4023
5,6,Bagpipes,7.6,3883
5,7,The Rough Patch,7.6,4091
5,8,The Playbook,9.3,8168
5,9,Slapsgiving 2: Revenge of the Slap,7.8,4217
5,10,The Window,8,4125
5,11,Last Cigarette Ever,7.7,4315
5,12,Girls vs. Suits,9,6637
5,13,Jenkins,8.5,4506
5,14,Perfect Week,8.7,4857
5,15,Rabbit or Duck,7.9,4022
5,16,Hooked,7.6,3941
5,17,Of Course,8.2,4391
5,18,Say Cheese,8.1,4068
5,19,Zoo or False,7.4,3937
5,20,Home Wreckers,7.7,3944
5,21,Twin Beds,7.6,3844
5,22,Robots vs. Wrestlers,8.1,4078
5,23,The Wedding Bride,7.9,4254
5,24,Doppelgangers,8.3,4164
6,1,Big Days,8,4180
6,2,Cleaning House,8.2,4331
6,3,Unfinished,7.6,3876
6,4,Subway Wars,8.5,4556
6,5,Architect of Destruction,7.6,3791
6,6,Baby Talk,7.5,3808
6,7,Canning Randy,7.5,3743
6,8,Natural History,8,3943
6,9,Glitter,8.4,4517
6,10,Blitzgiving,9,6091
6,11,The Mermaid Theory,7.8,3946
6,12,False Positive,8.1,3965
6,13,Bad News,8.9,5899
6,14,Last Words,8.6,4816
6,15,Oh Honey,8.7,5065
6,16,Desperation Day,7.9,3827
6,17,Garbage Island,7.5,3643
6,18,A Change of Heart,8.1,3960
6,19,Legendaddy,8.2,4241
6,20,The Exploding Meatball Sub,7.5,3639
6,21,Hopeless,7.7,3661
6,22,The Perfect Cocktail,7.7,3697
6,23,Landmarks,7.6,3611
6,24,Challenge Accepted,8.4,4167
7,1,The Best Man,8.4,4914
7,2,The Naked Truth,7.9,4064
7,3,Ducky Tie,8.8,5259
7,4,The Stinson Missile Crisis,7.9,3911
7,5,Field Trip,7.3,3718
7,6,Mystery vs. History,7.6,3886
7,7,Noretta,7.6,3870
7,8,The Slutty Pumpkin Returns,7.2,3959
7,9,Disaster Averted,8.2,4140
7,10,Tick Tick Tick,8.9,5919
7,11,The Rebound Girl,7.8,3931
7,12,Symphony of Illumination,8.7,5218
7,13,Tailgate,7.7,3926
7,14,46 Minutes,7.5,3977
7,15,The Burning Beekeeper,7.3,4291
7,16,The Drunk Train,7.9,3990
7,17,No Pressure,8.3,4272
7,18,Karma,7.8,3787
7,19,The Broath,8.5,4299
7,20,Trilogy Time,8.5,4258
7,21,Now We're Even,7.8,3638
7,22,Good Crazy,7.6,3524
7,23,The Magician's Code: Part 1,8.4,4185
7,24,The Magician's Code: Part 2,8.7,4796
8,1,Farhampton,8.4,5794
8,2,The Pre-Nup,7.3,4129
8,3,Nannies,7.2,3846
8,4,Who Wants to Be a Godparent,7.4,4016
8,5,The Autumn of Breakups,7.3,3951
8,6,Splitsville,7.4,3717
8,7,The Stamp Tramp,7.2,3643
8,8,Twelve Horny Women,7.3,3721
8,9,Lobster Crawl,7.3,3663
8,10,The Over-Correction,7.9,3844
8,11,The Final Page: Part One,8.4,4512
8,12,The Final Page: Part Two,9.3,8466
8,13,Band or DJ?,7.7,3869
8,14,Ring Up!,7.7,3836
8,15,P.S. I Love You,8.1,4367
8,16,Bad Crazy,7.4,3656
8,17,The Ashtray,7.7,3776
8,18,Weekend at Barney's,7.9,3979
8,19,The Fortress,7.8,3705
8,20,The Time Travelers,8.4,6156
8,21,Romeward Bound,7.2,3589
8,22,The Bro Mitzvah,8.7,4942
8,23,Something Old,7.4,3830
8,24,Something New,8.7,5250
9,1,The Locket,7.7,4741
9,2,Coming Back,7.6,4252
9,3,Last Time in New York,7.4,4092
9,4,The Broken Code,7.2,3993
9,5,The Poker Game,7.1,3971
9,6,Knight Vision,7.3,3942
9,7,No Questions Asked,7.2,3984
9,8,The Lighthouse,7.1,4009
9,9,Platonish,8.1,4522
9,10,Mom and Dad,6.6,4182
9,11,Bedtime Stories,5.8,6676
9,12,The Rehearsal Dinner,7.6,4384
9,13,Bass Player Wanted,8.1,4443
9,14,Slapsgiving 3: Slappointment in Slapmarra,6,6556
9,15,Unpause,8.2,4560
9,16,How Your Mother Met Me,9.5,12166
9,17,Sunrise,8.1,4865
9,18,Rally,7.9,4030
9,19,Vesuvius,7.5,4094
9,20,Daisy,8.3,4548
9,21,Gary Blauman,8.1,4628
9,22,The End of the Aisle,8.8,5862
9,23,Last Forever: Part One,6.6,11525
9,24,Last Forever: Part Two,5.5,22008
