season,episode,title,rating,votes
1,1,The Heirs of the Dragon,8.7,88365
1,2,The Rogue Prince,8.3,70769
1,3,Second of His Name,8.7,72143
1,4,King of the Narrow Sea,8.4,61389
1,5,We Light the Way,8.8,62163
1,6,The Princess and the Queen,8,55469
1,7,Driftmark,9.1,62095
1,8,The Lord of the Tides,9.3,68930
1,9,The Green Council,8.7,54128
1,10,The Black Queen,9.3,56104
2,1,A Son for a Son,8.2,48149
2,2,Rhaenyra the Cruel,8.2,42032
2,3,The Burning Mill,7.6,40252
2,4,The Red Dragon and the Gold,9.4,69972
2,5,Regent,7.3,38875
2,6,Smallfolk,6.3,59866
2,7,The Red Sowing,8.8,46339
2,8,The Queen Who Ever Was,6.5,52636
3,1,"Salt and Sea, Fire and Blood",9.2,52528
3,2,Queen's Landing,9.3,43819
3,3,Rhaenyra Triumphant,8.2,27036
3,4,Tumbleton,7.6,21538
3,5,Unbowed and Unbent,7.8,16073
3,6,Faceless Men,8.1,4258
