season,episode,title,rating,votes,episode_year
1,1,Pilot,8.4,8712,2004
1,2,Paternity,8,6466,2004
1,3,Occam's Razor,8,6030,2004
1,4,Maternity,8.3,5895,2004
1,5,Damned If You Do,8,5636,2004
1,6,The Socratic Method,8.3,5536,2004
1,7,Fidelity,8,5349,2004
1,8,Poison,7.9,5113,2005
1,9,DNR,8.7,5884,2005
1,10,Histories,8.4,5410,2005
1,11,Detox,8.6,5395,2005
1,12,Sports Medicine,7.8,4747,2005
1,13,Cursed,8,4768,2005
1,14,Control,8.5,5052,2005
1,15,Mob Rules,7.8,4664,2005
1,16,Heavy,8.2,4640,2005
1,17,Role Model,8.4,4806,2005
1,18,Babies & Bathwater,8.8,5251,2005
1,19,Kids,8.2,4628,2005
1,20,Love Hurts,8.1,4655,2005
1,21,Three Stories,9.6,12569,2005
1,22,Honeymoon,8.6,4969,2005
2,1,Acceptance,8.3,4795,2005
2,2,Autopsy,9.1,6896,2005
2,3,Humpty Dumpty,7.8,4377,2005
2,4,TB or Not TB,7.9,4408,2005
2,5,Daddy's Boy,8,4271,2005
2,6,Spin,7.7,4112,2005
2,7,Hunting,8.1,4269,2005
2,8,The Mistake,8.8,4952,2005
2,9,Deception,8.2,4186,2005
2,10,Failure to Communicate,8.4,4267,2006
2,11,Need to Know,8,4067,2006
2,12,Distractions,8.4,4241,2006
2,13,Skin Deep,8.4,4826,2006
2,14,Sex Kills,8.3,4108,2006
2,15,Clueless,8.4,4150,2006
2,16,Safe,8.6,4524,2006
2,17,All In,8.9,5225,2006
2,18,Sleeping Dogs Lie,8,4034,2006
2,19,House vs. God,8.4,4453,2006
2,20,Euphoria: Part 1,9.1,5699,2006
2,21,Euphoria: Part 2,9.3,6332,2006
2,22,Forever,7.9,3972,2006
2,23,Who's Your Daddy?,7.6,3954,2006
2,24,No Reason,9.4,8046,2006
3,1,Meaning,8.8,5000,2006
3,2,Cane and Able,8.3,4134,2006
3,3,Informed Consent,8.5,4257,2006
3,4,Lines in the Sand,8.9,5126,2006
3,5,Fools for Love,8.2,3915,2006
3,6,Que Será Será,8,3981,2006
3,7,Son of Coma Guy,8.8,5003,2006
