season,episode,title,rating,votes,episode_year
1,1,It's About Time,9,31386,2021
1,2,Here Goes Nothing,8.4,22762,2021
1,3,Who You Calling Ugly?,8.1,21411,2021
1,4,"Neil Armstrong, Eat Your Heart Out",7.7,21106,2021
1,5,That Actually Hurt,9.1,24254,2021
1,6,You Look Kinda Dead,7.6,21390,2021
1,7,We Need to Talk,9.6,32804,2021
1,8,Where I Really Come From,9.8,41582,2021
2,1,A Lesson for Your Next Life,8.1,18365,2023
2,2,In About Six Hours I Lose My Virginity to a Fish,7.2,17100,2023
2,3,"This Missive, This Machination!",8.1,17312,2023
2,4,It's Been a While,9.2,22688,2023
2,5,This Must Come as a Shock,8.7,16907,2024
2,6,It's Not That Simple,7.8,15824,2024
2,7,I'm Not Going Anywhere,8.7,17753,2024
2,8,I Thought You Were Stronger,9.1,22303,2024
3,1,You're Not Laughing Now,8,19325,2025
3,2,A Deal with the Devil,9.1,22748,2025
3,3,"You Want a Real Costume, Right?",8.4,19167,2025
3,4,You Were My Hero,9.1,23250,2025
3,5,This Was Supposed to Be Easy,7.4,19692,2025
3,6,All I Can Say Is I'm Sorry,8.7,23523,2025
3,7,What Have I Done?,9.7,49069,2025
3,8,I Thought You'd Never Shut Up,9.9,100215,2025
4,1,Making the World a Better Place,8.2,22404,2026
4,2,I'll Give You the Grand Tour,9.3,27358,2026
4,3,I Gotta Get Some Air,8,21324,2026
4,4,Hurm,6.5,29225,2026
4,5,Give Us a Moment,9.7,46875,2026
4,6,You Look Horrible,9.1,28008,2026
4,7,Don't Do Anything Rash,9.9,52278,2026
4,8,Don't Leave Me Hanging Here,8.9,27798,2026
