season,episode,title,rating,votes
1,1,Smoke Gets in Your Eyes,8.1,6949
1,2,Ladies Room,7.5,5233
1,3,Marriage of Figaro,7.6,4849
1,4,New Amsterdam,7.9,4611
1,5,5G,8.1,4525
1,6,Babylon,7.8,4438
1,7,Red in the Face,8,4239
1,8,The Hobo Code,8.3,4379
1,9,Shoot,8.2,4192
1,10,Long Weekend,8.2,4072
1,11,Indian Summer,8.1,3869
1,12,Nixon vs. Kennedy,9,4763
1,13,The Wheel,9,4953
2,1,For Those Who Think Young,7.6,3605
2,2,Flight 1,7.8,3494
2,3,The Benefactor,7.8,3434
2,4,Three Sundays,8.1,3431
2,5,The New Girl,8.3,3493
2,6,Maidenform,7.9,3324
2,7,The Gold Violin,8.4,3429
2,8,A Night to Remember,8.3,3358
2,9,Six Month Leave,8.5,3434
2,10,The Inheritance,7.9,3209
2,11,The Jet Set,8.3,3541
2,12,The Mountain King,8.5,3435
2,13,Meditations in an Emergency,8.9,3742
3,1,Out of Town,8.1,3296
3,2,Love Among the Ruins,7.7,3078
3,3,My Old Kentucky Home,8,3283
3,4,The Arrangements,8,3074
3,5,The Fog,8,3105
3,6,Guy Walks Into an Advertising Agency,9.1,4173
3,7,Seven Twenty Three,8.4,3169
3,8,Souvenir,7.9,3039
3,9,Wee Small Hours,8.1,2996
3,10,The Color Blue,8.3,3070
3,11,The Gypsy and the Hobo,9.2,4169
3,12,The Grown-Ups,8.9,3534
3,13,Shut the Door. Have a Seat,9.7,7000
4,1,Public Relations,8.5,3327
4,2,Christmas Comes But Once a Year,8.2,3043
4,3,The Good News,8.7,3354
4,4,The Rejected,8.2,3001
4,5,The Chrysanthemum and the Sword,8.6,3140
4,6,Waldorf Stories,8.6,3176
4,7,The Suitcase,9.7,8097
4,8,The Summer Man,8.6,3293
4,9,The Beautiful Girls,8.8,3316
4,10,Hands and Knees,8.7,3030
4,11,Chinese Wall,8.3,2831
4,12,Blowing Smoke,8.8,3097
4,13,Tomorrowland,9,3544
5,1,"A Little Kiss, Part 1",8.5,3377
5,2,"A Little Kiss, Part 2",8.4,3057
5,3,Tea Leaves,7.8,2930
5,4,Mystery Date,8.6,3192
5,5,Signal 30,9,3889
5,6,Far Away Places,9.1,4226
5,7,At the Codfish Ball,8.7,3224
5,8,Lady Lazarus,8.2,2934
5,9,Dark Shadows,8,2773
5,10,Christmas Waltz,8.2,2899
5,11,The Other Woman,9.4,4492
5,12,Commissions and Fees,9.4,4338
5,13,The Phantom,8.6,3196
6,1,"The Doorway, Part 1",7.5,3045
6,2,"The Doorway, Part 2",7.6,2857
6,3,Collaborators,7.8,2791
6,4,To Have and to Hold,8,2755
6,5,The Flood,8.2,2890
6,6,For Immediate Release,8.8,3288
6,7,Man with a Plan,7.9,2756
6,8,The Crash,8.7,3615
6,9,The Better Half,8.3,2825
6,10,A Tale of Two Cities,8.1,2666
6,11,Favors,8.7,3010
6,12,The Quality of Mercy,8.5,2709
6,13,In Care Of,9.1,3479
7,1,Time Zones,7.9,2956
7,2,A Day's Work,8.3,2841
7,3,Field Trip,8.5,2940
7,4,The Monolith,8.5,2809
7,5,The Runaways,8.5,2856
7,6,The Strategy,8.9,3276
7,7,Waterloo,9.5,4641
7,8,Severance,8.1,2933
7,9,New Business,7.8,2785
7,10,The Forecast,8.2,2784
7,11,Time & Life,8.9,3034
7,12,Lost Horizon,9,3277
7,13,The Milk and Honey Route,9.1,3577
7,14,Person to Person,9.3,5892
