season,episode,title,rating,votes
1,1,Izuku Midoriya: Origin,7.6,4889
1,2,What It Takes to Be a Hero,8.2,4680
1,3,Roaring Muscles,7.7,3854
1,4,Start Line,8.3,4196
1,5,What I Can Do for Now,7.8,3617
1,6,"Rage, You Damn Nerd",7.7,3489
1,7,Deku vs. Kacchan,8.6,4194
1,8,Bakugo's Start Line,7.5,3409
1,9,"Yeah, Just Do Your Best, Iida!",7.2,3316
1,10,Encounter with the Unknown,8,3429
1,11,Game Over,8.6,3770
1,12,All Might,9.3,5448
1,13,Upon Each of Their Hearts,8.5,3770
2,0,Hero Notebook,6,1975
2,1,"That's the Idea, Ochaco",7.1,3031
2,2,Roaring Sports Festival,7.5,2931
2,3,In Their Own Quirky Ways,8.2,3285
2,4,"Strategy, Strategy, Strategy",8,3009
2,5,Cavalry Battle Finale,8.5,3458
2,6,The Boy Born with Everything,7.6,2921
2,7,Victory or Defeat,8,3003
2,8,"Battle On, Challengers!",7.6,2845
2,9,Bakugo vs. Uraraka,8.6,3599
2,10,Shoto Todoroki: Origin,9.6,7763
2,11,"Fight On, Iida",8,2901
2,12,Todoroki vs. Bakugo,8.6,3456
2,13,Time to Pick Some Names,7.4,2803
2,14,Bizarre! Gran Torino Appears,7.6,2816
2,15,Midoriya and Shigaraki,7.9,2843
2,16,Hero Killer: Stain vs U.A. Students,9.1,4118
2,17,Climax,9.2,4307
2,18,The Aftermath of Hero Killer: Stain,7.6,2751
2,19,Everyone's Internships,6.6,2774
2,20,Listen Up!! A Tale from the Past,7.9,2804
2,21,Gear Up for Final Exams,7.3,2673
2,22,Yaoyorozu: Rising,8,2830
2,23,Stripping the Varnish,7.4,2674
2,24,Katsuki Bakugo: Origin,8.9,3786
2,25,Encounter,8.1,2939
3,1,Game Start,6.4,2789
3,2,"Wild, Wild Pussycats",7.2,2748
3,3,Kota,7.5,2780
3,4,My Hero,9.5,6896
3,5,"Drive It Home, Iron Fist!!!",8.6,3197
3,6,Roaring Upheaval,8.5,3151
3,7,What a Twist!,8.2,2920
3,8,From Iida to Midoriya,7.8,2746
3,9,All For One,9,4028
3,10,Symbol of Peace,9.5,5335
3,11,One For All,9.8,15966
3,12,"End of the Beginning, Beginning of the End",8.2,3097
3,13,Moving Into Dorms,7.2,2644
3,14,Create Those Ultimate Moves,7.5,2565
3,15,The Test,7.5,2528
3,16,Shiketsu High Lurking,7.6,2536
3,17,Class 1-A,7.7,2539
3,18,RUSH!,8,2612
3,19,Rescue Exercises,7.3,2472
3,20,Special Episode - Save the World with Love!,6.3,2282
3,21,What's the Big Idea?,8.1,2788
3,22,A Talk About Your Quirk,8,2650
3,23,"Deku vs. Kacchan, Part 2",9.4,5054
3,24,A Season for Encounters,7.5,2478
3,25,Unrivaled,8,2742
4,1,The Scoop on U.A. Class 1-A,7,2612
4,2,Overhaul,7.8,2680
4,3,Boy Meets...,7.6,2554
4,4,Fighting Fate,8.3,2959
4,5,"Let's Go, Gutsy Red Riot",8.5,3101
4,6,An Unpleasant Talk,7.5,2547
4,7,Go!!,7.7,2510
4,8,Suneater of the Big Three,8.3,3032
4,9,Red Riot,9,4093
4,10,Temp Squad,7.9,2596
4,11,Lemillion,9.6,6592
4,12,Unforeseen Hope,9.3,4303
4,13,Infinite 100%,9.7,9143
4,14,Bright Future,9.1,3839
4,15,Smoldering Flames,7.3,2396
4,16,Win Those Kids' Hearts,6.5,2468
4,17,Relief for License Trainees,7,2423
4,18,School Festival,6.7,2391
4,19,Prepping for the School Festival Is the Funnest Part,6.8,2369
4,20,Golden Tips Imperial,6.4,2361
4,21,Deku vs. Gentle Criminal,7.3,2472
4,22,School Festival Start!,8.2,3026
4,23,Let It Flow! School Festival!,8.4,3361
4,24,Japanese Hero Billboard Chart,7.5,2481
4,25,His Start,9.7,10089
5,1,All Hands on Deck! Class 1-A,6.5,2845
5,2,Vestiges,8,2809
5,3,Clash! Class A vs. Class B!,7.1,2432
5,4,"Make It Happen, Shinso!",7.6,2458
5,5,Operation New Improv Moves,7.3,2389
5,6,Foresight,6.9,2382
5,7,Match 3,7.1,2322
5,8,Match 3 Conclusion,8.2,2868
5,9,Early Bird!,8.6,3089
5,10,That Which Is Inherited,8.8,3332
5,11,Our Brawl,7.9,2462
5,12,The New Power and All For One,7.4,2332
5,13,Have a Merry Christmas!,6.8,2336
5,14,Off to Endeavor's Agency!,7.5,2270
5,15,One Thing at a Time,7.5,2247
5,16,"Long Time No See, Selkie",5.5,2382
5,17,The Hellish Todoroki Family,7.4,2343
5,18,The Unforgiven,8.3,2704
5,19,More of a Hero Than Anyone,8.6,2909
5,20,My Villain Academia,7.7,2334
5,21,Revival Party,7.9,2520
5,22,Sad Man's Parade,8.4,2866
5,23,Tenko Shimura: Origin,9.5,5400
5,24,Tomura Shigaraki: Origin,9.1,3662
5,25,"The High, Deep Blue Sky",7.5,2263
6,1,A Quiet Beginning,8.1,3186
6,2,"Mirko, the No. 5 Hero",8.6,3374
6,3,One's Justice,9.3,4101
6,4,Inheritance,8.8,3229
6,5,The Thrill of Destruction,9.3,3787
6,6,"Encounter, Part 2",9.1,3460
6,7,Disaster Walker,8.8,3084
6,8,League of Villains vs. U.A. Students,9.3,3600
6,9,Katsuki Bakugo: Rising,9.6,4800
6,10,The Ones Within Us,8.4,3016
6,11,Dabi's Dance,9.5,4725
6,12,Threads of Hope,8.9,3062
6,13,Final Performance,8.4,2789
6,14,Hellish Hell,7,2810
6,15,Tartarus,8.2,2713
6,16,"The Hellish Todoroki Family, Part 2",8.1,2686
6,17,The Wrong Way to Put Out a Fire,9,3367
6,18,Izuku Midoriya and Tomura Shigaraki,8.7,2842
6,19,Full Power!!,8.7,3016
6,20,Hired Gun,8.2,2721
6,21,The Lovely Lady Nagant,9.2,3724
6,22,Friend,8.7,2980
6,23,Deku vs. Class A,9.5,4785
6,24,A Young Woman's Declaration,8.8,3296
6,25,No Man Is an Island,8,2607
7,1,In the Nick of Time! A Big-Time Maverick from the West!,8.5,3472
7,2,Specter,9.1,3996
7,3,Villain,8,3085
7,4,The Story of How We All Became Heroes,7.1,2828
7,5,Let You Down,7.9,2850
7,6,Division,8.8,3223
7,7,Inflation,7.8,2862
7,8,Two Flashfires,9.2,4244
7,9,Extras,8.5,2981
7,10,"Wounded Hero, Burning Bright and True!!",9.3,3966
7,11,Light Fades to Rain,9.7,6846
7,12,"Those Who Defend, Those Who Violate",9,3630
7,13,"A Chain of Events, Across the Ages",9.5,4815
7,14,Together with Shoji,8.1,3012
7,15,Butterfly Effect,8.1,2756
7,16,The Chain Thus Far,9,3696
7,17,Hopes,8.7,2966
7,18,It's a Small World,8.8,3087
7,19,I Am Here,9.8,7127
7,20,A Girl's Ego,8.7,4275
7,21,Battle Without a Quirk,9.4,4533
8,1,Toshinori Yagi: Rising/Origin,9.1,13766
8,2,"The End of an Era, and the Beginning",9.6,15650
8,3,The Final Boss!!,9.8,21515
8,4,Quirk: Explosion!!,9.7,16842
8,5,History's Greatest Villain,9.1,13353
8,6,"Wrench It Open, Izuku Midoriya!!",9.3,13095
8,7,From Aizawa,9.6,14100
8,8,Izuku Midoriya: Rising,9.8,30651
8,9,"Epilogue, The Hellish Todoroki Family: Final",9.2,12751
8,10,The Girl Who Loves Smiles,9,9476
8,11,My Hero Academia,9.4,9918
8,12,More,9.3,3062
