season,episode,title,rating,votes
1,1,Pilot,7.6,3287
1,2,Kryptonite,7.2,2395
1,3,Wedding,7.5,2298
1,4,Naked,7.9,2261
1,5,Cece Crashes,7.7,2063
1,6,Thanksgiving,7.7,2051
1,7,Bells,7,1959
1,8,Bad in Bed,7.4,1919
1,9,The 23rd,7.6,1895
1,10,The Story of the 50,7.6,1924
1,11,Jess & Julia,7.8,1874
1,12,The Landlord,8,2017
1,13,Valentine's Day,7.7,1813
1,14,Bully,7.3,1675
1,15,Injured,7.8,1918
1,16,Control,7.3,1646
1,17,Fancyman Part 1,7.8,1747
1,18,Fancyman Part 2,7.9,1685
1,19,Secrets,8.1,1780
1,20,Normal,7.6,1620
1,21,Kids,7.8,1681
1,22,Tomatoes,7.5,1625
1,23,Backslide,7.5,1591
1,24,See Ya,7.8,1698
2,1,Re-launch,7.3,1697
2,2,Katie,7.7,1719
2,3,Fluffer,7.6,1578
2,4,Neighbors,7.1,1568
2,5,Models,7.7,1605
2,6,Halloween,7.8,1583
2,7,Menzies,7.8,1629
2,8,Parents,7.7,1520
2,9,Eggs,7.5,1478
2,10,Bathtub,7.7,1475
2,11,Santa,8.1,1630
2,12,Cabin,7.7,1534
2,13,A Father's Love,7,1424
2,14,Pepperwood,7.9,1618
2,15,Cooler,9.1,2987
2,16,Table 34,8.1,1575
2,17,Parking Spot,8.1,1566
2,18,Tinfinity,7.7,1436
2,19,Quick Hardening Caulk,8.4,1834
2,20,Chicago,7.6,1590
2,21,First Date,7.7,1474
2,22,Bachelorette Party,7.5,1370
2,23,Virgins,8.4,1906
2,24,Winston's Birthday,8,1476
2,25,Elaine's Big Day,8.6,1898
3,1,All In,7.7,1541
3,2,Nerd,7.5,1350
3,3,Double Date,7.6,1356
3,4,The Captain,7.4,1305
3,5,The Box,7.1,1271
3,6,Keaton,7.5,1285
3,7,Coach,7.6,1313
3,8,Menus,7.3,1242
3,9,Longest Night Ever,7.4,1230
3,10,Thanksgiving III,7.3,1251
3,11,Clavado En Un Bar,7.4,1268
3,12,Basketsball,7.2,1204
3,13,Birthday,8.3,1569
3,14,Prince,8.6,2184
3,15,Exes,7.5,1229
3,16,Sister,7.2,1212
3,17,Sister II,7.1,1160
3,18,Sister III,7.2,1142
3,19,Fired Up,7.6,1148
3,20,Mars Landing,7.2,1215
3,21,Big News,7.6,1170
3,22,Dance,7.4,1142
3,23,Cruise,7.7,1181
4,1,The Last Wedding,7.6,1309
4,2,Dice,7.5,1229
4,3,Julie Berkman's Older Sister,7.2,1166
4,4,Micro,7.2,1182
4,5,Landline,7.9,1296
4,6,Background Check,8.7,2069
4,7,Goldmine,8.1,1347
4,8,Teachers,7.9,1240
4,9,Thanksgiving IV,8.1,1259
4,10,Girl Fight,7.6,1133
4,11,LAXmas,7.5,1179
4,12,Shark,7.3,1054
4,13,Coming Out,7.1,1043
4,14,Swuit,7.1,1051
4,15,The Crawl,7.6,1117
4,16,Oregon,7.4,1089
4,17,Spiderhunt,8.2,1338
4,18,Walk of Shame,7.5,1134
4,19,The Right Thing,7.3,1058
4,20,Par 5,7.3,1066
4,21,Panty Gate,7.6,1079
4,22,Clean Break,9,2125
5,1,Big Mama P,7.8,1271
5,2,What About Fred,7.2,1089
5,3,Jury Duty,7.5,1056
5,4,No Girl,7.3,1084
5,5,Bob & Carol & Nick & Schmidt,7.3,1082
5,6,Reagan,7.5,1228
5,7,Wig,7.2,1081
5,8,The Decision,7.3,1058
5,9,Heat Wave,7.3,1066
5,10,Goosebumps Walkaway,7.4,1067
5,11,The Apartment,7.3,992
5,12,D-Day,7.8,1041
5,13,"Sam, Again",7.1,1009
5,14,300 Feet,7,1015
5,15,Jeff Day,7.1,980
5,16,Helmet,7.5,974
5,17,Road Trip,7.6,1119
5,18,A Chill Day In,8.1,1170
5,19,Dress,7.2,919
5,20,Return to Sender,7.4,934
5,21,Wedding Eve,8.2,1100
5,22,Landing Gear,8.8,1493
6,1,House Hunt,7.5,1019
6,2,Hubbedy Bubby,6.5,1247
6,3,Single and Sufficient,7.1,933
6,4,Homecoming,7.5,1158
6,5,Jaipur Aviv,7.4,917
6,6,Ready,7.2,894
6,7,Last Thanksgiving,7.1,888
6,8,James Wonder,7.3,900
6,9,Es Good,7.1,876
6,10,Christmas Eve Eve,7.5,939
6,11,Raisin's Back,7.3,890
6,12,The Cubicle,7.2,847
6,13,Cece's Boys,7.3,900
6,14,The Hike,7.4,895
6,15,Glue,7.7,907
6,16,Operation: Bobcat,7.8,917
6,17,Rumspringa,7,856
6,18,Young Adult,7.5,854
6,19,Socalyalcon VI,7.5,877
6,20,Misery,7.5,867
6,21,San Diego,8.1,961
6,22,Five Stars for Beezus,9.1,1843
7,1,About Three Years Later,7.2,1075
7,2,Tuesday Meeting,7.1,898
7,3,Lillypads,7.2,888
7,4,Where the Road Goes,7.4,917
7,5,Godparents,7.2,862
7,6,Mario,7.8,899
7,7,The Curse of the Pirate Bride,7.9,966
7,8,Engram Pattersky,8.3,1378
