season,episode,title,rating,votes
1,1,Pilot,8.2,7363
1,2,Ghosts,7.9,5625
1,3,Mission Creep,8,5077
1,4,Cura Te Ipsum,8.3,4933
1,5,Judgement,8.2,4744
1,6,The Fix,8.5,5002
1,7,Witness,8.8,5290
1,8,Foe,8.1,4600
1,9,Get Carter,8.6,4770
1,10,Number Crunch,9,5418
1,11,Super,8.6,4589
1,12,Legacy,8.2,4172
1,13,Root Cause,8.7,4724
1,14,Wolf and Cub,8,4143
1,15,Blue Code,8.5,4219
1,16,Risk,8.2,4058
1,17,Baby Blue,8.5,4310
1,18,Identity Crisis,8.3,4047
1,19,Flesh and Blood,8.9,4628
1,20,Matsya Nyaya,8.7,4317
1,21,Many Happy Returns,9.1,4974
1,22,No Good Deed,9,4450
1,23,Firewall,9.6,8460
2,1,The Contingency,8.9,4848
2,2,Bad Code,9,4400
2,3,Masquerade,8.2,3737
2,4,Triggerman,8,3594
2,5,Bury the Lede,8.6,3889
2,6,The High Road,8.3,3527
2,7,Critical,8.3,3658
2,8,Til Death,8,3576
2,9,C.O.D.,8,3404
2,10,Shadow Box,8.7,3872
2,11,2 Pi R,8.8,4171
2,12,Prisoner's Dilemma,9.4,5028
2,13,Dead Reckoning,9.2,4391
2,14,One Percent,8.3,3484
2,15,Booked Solid,8.4,3540
2,16,Relevance,9.2,5467
2,17,Proteus,8.4,3637
2,18,All In,8.1,3298
2,19,Trojan Horse,8.6,3526
2,20,In Extremis,8.7,3656
2,21,Zero Day,9.4,4812
2,22,God Mode,9.4,5772
3,1,Liberty,8.2,3732
3,2,Nothing to Hide,8.3,3374
3,3,Lady Killer,8.5,3670
3,4,Reasonable Doubt,7.9,3486
3,5,Razgovor,9.1,4241
3,6,Mors Praematura,8.9,3887
3,7,The Perfect Mark,8.5,3525
3,8,Endgame,9.4,5011
3,9,The Crossing,9.7,8471
3,10,The Devil's Share,9.7,8242
3,11,Lethe,9.1,4067
3,12,Aletheia,9.1,3961
3,13,4C,8.8,3926
3,14,Provenance,8,3286
3,15,Last Call,8.4,3379
3,16,RAM,9.2,4390
3,17,Root Path,9,3823
3,18,Allegiance,8.1,3096
3,19,Most Likely to...,8.5,3302
3,20,Death Benefit,9.1,3858
3,21,Beta,9.2,3928
3,22,A House Divided,9.1,3807
3,23,Deus Ex Machina,9.6,7483
4,1,Panopticon,8.8,4117
4,2,Nautilus,8.8,3804
4,3,Wingman,8.4,3300
4,4,Brotherhood,8.2,3275
4,5,Prophets,9,3875
4,6,Pretenders,8.6,3457
4,7,Honor Among Thieves,8.5,3402
4,8,Point of Origin,8.6,3427
4,9,The Devil You Know,9.4,4667
4,10,The Cold War,9.1,3991
4,11,If-Then-Else,9.8,15016
4,12,Control-Alt-Delete,9.1,4236
4,13,M.I.A.,8.7,3490
4,14,Guilty,8.3,3109
4,15,Q & A,8.6,3248
4,16,Blunt,7.9,3174
4,17,Karma,8.2,3004
4,18,Skip,8.6,3463
4,19,Search and Destroy,8.7,3404
4,20,Terra Incognita,8.8,4576
4,21,Asylum,9.4,5195
4,22,YHWH,9.7,9352
5,1,B.S.O.D.,9.1,5088
5,2,SNAFU,9.1,4140
5,3,Truth Be Told,8.5,3724
5,4,"6,741",9.3,6070
5,5,ShotSeeker,8.7,3654
5,6,A More Perfect Union,8.3,3528
5,7,QSO,8.8,3731
5,8,Reassortment,8.7,3628
5,9,Sotto Voce,9.2,4201
5,10,The Day the World Went Away,9.7,7820
5,11,Synecdoche,9.2,4228
5,12,.exe,9.5,4880
5,13,Return 0,9.8,14440
