season,episode,title,rating,votes
1,1,Pilot,7.9,22721
1,2,Lawnmower Dog,8.6,22250
1,3,Anatomy Park,8.2,20427
1,4,M. Night Shaym-Aliens!,8.6,20394
1,5,Meeseeks and Destroy,9,22537
1,6,Rick Potion #9,9.1,22385
1,7,Raising Gazorpazorp,7.8,18647
1,8,Rixty Minutes,8.6,20339
1,9,Something Ricked This Way Comes,8.3,18449
1,10,Close Rick-Counters of the Rick Kind,9.3,23282
1,11,Ricksy Business,8.4,18174
2,1,A Rickle in Time,8.8,20143
2,2,Mortynight Run,8.8,18995
2,3,Auto Erotic Assimilation,8.5,18408
2,4,Total Rickall,9.5,26284
2,5,Get Schwifty,8.2,18315
2,6,The Ricks Must Be Crazy,9.3,21948
2,7,Big Trouble in Little Sanchez,8.4,17304
2,8,Interdimensional Cable 2: Tempting Fate,7.6,17782
2,9,Look Who's Purging Now,8.5,17815
2,10,The Wedding Squanchers,9.3,21615
3,1,The Rickshank Rickdemption,9.6,31107
3,2,Rickmancing the Stone,8.1,18139
3,3,Pickle Rick,9.4,27582
3,4,Vindicators 3: The Return of Worldender,8.1,17995
3,5,The Whirly Dirly Conspiracy,8.4,17282
3,6,Rest and Ricklaxation,8.8,18809
3,7,The Ricklantis Mixup,9.7,44712
3,8,Morty's Mind Blowers,8.9,18525
3,9,The ABCs of Beth,7.8,15988
3,10,The Rickchurian Mortydate,8.2,16167
4,1,Edge of Tomorty: Rick Die Rickpeat,8.9,19865
4,2,The Old Man and the Seat,8.3,17803
4,3,One Crew over the Crewcoo's Morty,8.2,17147
4,4,Claw and Hoarder: Special Ricktim's Morty,7.3,17379
4,5,Rattlestar Ricklactica,8.8,17007
4,6,Never Ricking Morty,8,16008
4,7,Promortyus,8,13874
4,8,The Vat of Acid Episode,9.5,21710
4,9,Childrick of Mort,7.7,13575
4,10,Star Mort Rickturn of the Jerri,9,15696
5,1,Mort Dinner Rick Andre,9,19579
5,2,Mortyplicity,8.7,17355
5,3,A Rickconvenient Mort,7.8,15885
5,4,Rickdependence Spray,5.7,17924
5,5,Amortycan Grickfitti,7,13230
5,6,Rick & Morty's Thanksploitation Spectacular,7.1,13459
5,7,Gotron Jerrysis Rickvangelion,6.3,12989
5,8,Rickternal Friendshine of the Spotless Mort,8.2,13301
5,9,Forgetting Sarick Mortshall,8.2,12078
5,10,Rickmurai Jack,9.3,18104
6,1,Solaricks,8.6,13727
6,2,Rick: A Mort Well Lived,7.8,11308
6,3,Bethic Twinstinct,7.7,11834
6,4,Night Family,8.5,12277
6,5,Final DeSmithation,8.2,10883
6,6,Juricksic Mort,7.8,10205
6,7,Full Meta Jackrick,7.8,10101
6,8,Analyze Piss,8.4,10138
6,9,A Rick in King Mortur's Mort,7.4,9054
6,10,Ricktional Mortpoon's Rickmas Mortcation,8,9025
7,1,How Poopy Got His Poop Back,6.2,12595
7,2,The Jerrick Trap,7.3,10720
7,3,Air Force Wong,6.8,10179
7,4,That's Amorte,8.4,12747
7,5,Unmortricken,9.2,15966
7,6,Rickfending Your Mort,7.8,9775
7,7,Wet Kuat Amortican Summer,6.4,9344
7,8,Rise of the Numbericons: The Movie,4.4,12499
7,9,Mort: Ragnarick,7.9,9760
7,10,Fear No Mort,9.4,15830
8,1,Summer of All Fears,8.3,10528
8,2,Valkyrick,7.1,8140
8,3,"The Rick, The Mort & The Ugly",7.9,8709
8,4,The Last Temptation of Jerry,6.3,7911
8,5,Cryo Mort a Rickver,7.1,6982
8,6,The Curicksous Case of Bethjamin Button,7.4,7038
8,7,Ricker Than Fiction,6.7,6630
8,8,Nomortland,8,7195
8,9,Morty Daddy,6.6,5808
8,10,Hot Rick,8.9,8638
9,1,There's Something About Morty,8.8,10352
9,2,"Ricks Days, Seven Nights",8.8,8783
9,3,Rick Fu Hustle,7.1,7071
9,4,A Ricker Runs Through It,7.5,5990
9,5,Jer Bud,7.6,5510
9,6,Erickerhead,8,5596
9,7,Mortgully: The Last Rickforest,9.2,8072
9,8,Rickuiem Mort a Dream,8.3,5139
9,9,Salute Your Morts,7.5,4475
9,10,Field of Dreams,9.3,6052
