season,episode,title,rating,votes,episode_year
1,0,Unaired Pilot,8.7,13611,2010
1,1,A Study in Pink,8.9,36979,2010
1,2,The Blind Banker,7.9,31960,2010
1,3,The Great Game,9,32453,2010
2,1,A Scandal in Belgravia,9.4,46842,2012
2,2,The Hounds of Baskerville,8.3,30393,2012
2,3,The Reichenbach Fall,9.6,44174,2012
3,0,Many Happy Returns,8.4,13569,2013
3,1,The Empty Hearse,8.8,34080,2014
3,2,The Sign of Three,8.9,31251,2014
3,3,His Last Vow,9.2,34067,2014
4,0,The Abominable Bride,8,37890,2016
4,1,The Six Thatchers,7.6,27962,2017
4,2,The Lying Detective,9.1,31123,2017
4,3,The Final Problem,8.2,31647,2017
