season,episode,title,rating,votes
1,1,Simpsons Roasting on an Open Fire,8.1,10520
1,2,Bart the Genius,7.6,7334
1,3,Homer's Odyssey,7.3,6540
1,4,There's No Disgrace Like Home,7.6,6337
1,5,Bart the General,7.9,6539
1,6,Moaning Lisa,7.6,6244
1,7,The Call of the Simpsons,7.7,5933
1,8,The Telltale Head,7.6,5740
1,9,Life on the Fast Lane,7.4,5702
1,10,Homer's Night Out,7.3,5526
1,11,The Crepes of Wrath,7.7,5559
1,12,Krusty Gets Busted,8.3,6044
1,13,Some Enchanted Evening,7.7,5719
2,1,Bart Gets an F,8.3,6133
2,2,Simpson and Delilah,8.2,5887
2,3,Treehouse of Horror,8.2,6406
2,4,Two Cars in Every Garage and Three Eyes on Every Fish,8,5250
2,5,Dancin' Homer,7.3,5055
2,6,Dead Putting Society,7.9,4935
2,7,Bart vs. Thanksgiving,7.6,4891
2,8,Bart the Daredevil,8.3,5217
2,9,Itchy & Scratchy & Marge,8,5123
2,10,Bart Gets Hit by a Car,7.7,4750
2,11,"One Fish, Two Fish, Blowfish, Blue Fish",8.8,6043
2,12,The Way We Was,8.3,4990
2,13,Homer vs. Lisa and the 8th Commandment,8,4660
2,14,Principal Charming,7.4,4480
2,15,"Oh Brother, Where Art Thou?",8.3,4924
2,16,Bart's Dog Gets an F,7.4,4394
2,17,Old Money,7.6,4381
2,18,Brush with Greatness,7.9,4415
2,19,Lisa's Substitute,8.6,5702
2,20,The War of the Simpsons,7.7,4307
2,21,Three Men and a Comic Book,8.2,4813
2,22,Blood Feud,7.8,4237
3,1,Stark Raving Dad,8.6,5580
3,2,Mr. Lisa Goes to Washington,7.7,4547
3,3,When Flanders Failed,8.2,4719
3,4,Bart the Murderer,8.6,5245
3,5,Homer Defined,8.3,4930
3,6,"Like Father, Like Clown",7.5,4370
3,7,Treehouse of Horror II,8.2,4969
3,8,Lisa's Pony,7.8,4295
3,9,Saturdays of Thunder,7.8,4241
3,10,Flaming Moe's,8.8,5456
3,11,Burns Verkaufen der Kraftwerk,8.2,4356
3,12,I Married Marge,8.3,4279
3,13,Radio Bart,8.5,4602
3,14,Lisa the Greek,8,4088
3,15,Homer Alone,8,4087
3,16,Bart the Lover,8.3,4551
3,17,Homer at the Bat,8.7,5344
3,18,Separate Vocations,8.2,4101
3,19,Dog of Death,7.7,3908
3,20,Colonel Homer,8,4271
3,21,Black Widower,8.3,4260
3,22,The Otto Show,7.6,3985
3,23,Bart's Friend Falls in Love,7.7,3971
3,24,"Brother, Can You Spare Two Dimes?",8.2,4106
4,1,Kamp Krusty,8.5,4879
4,2,A Streetcar Named Marge,8.1,4437
4,3,Homer the Heretic,8.9,5789
4,4,Lisa the Beauty Queen,7.7,4026
4,5,Treehouse of Horror III,8.4,4766
4,6,Itchy & Scratchy: The Movie,8.2,4296
4,7,Marge Gets a Job,7.7,3912
4,8,New Kid on the Block,8.2,4262
4,9,Mr. Plow,8.8,5291
4,10,Lisa's First Word,8.7,4565
4,11,Homer's Triple Bypass,8.6,4698
4,12,Marge vs. the Monorail,9.1,6640
4,13,Selma's Choice,8,3958
4,14,Brother from the Same Planet,8.1,3968
4,15,I Love Lisa,8.4,4348
4,16,Duffless,8.3,4065
4,17,Last Exit to Springfield,9,5990
4,18,So It's Come to This: A Simpsons Clip Show,6.9,3672
4,19,The Front,8,3768
4,20,Whacking Day,8.1,4009
4,21,Marge in Chains,7.7,3710
4,22,Krusty Gets Kancelled,8.1,4031
5,1,Homer's Barbershop Quartet,8.5,4817
5,2,Cape Feare,9.2,6736
5,3,Homer Goes to College,8.6,4771
5,4,Rosebud,8.8,4874
5,5,Treehouse of Horror IV,8.8,5046
5,6,Marge on the Lam,8,3922
5,7,Bart's Inner Child,7.6,3691
5,8,Boy Scoutz 'n the Hood,8.6,4415
5,9,The Last Temptation of Homer,8.5,4331
5,10,"$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)",8.6,4304
5,11,Homer the Vigilante,8.2,3956
5,12,Bart Gets Famous,8.1,3846
5,13,Homer and Apu,8.2,3882
5,14,Lisa vs. Malibu Stacy,8.1,4041
5,15,Deep Space Homer,8.8,4921
5,16,Homer Loves Flanders,8.6,4190
5,17,Bart Gets an Elephant,7.8,3706
5,18,Burns' Heir,8.3,3880
5,19,Sweet Seymour Skinner's Baadasssss Song,8.3,3954
5,20,The Boy Who Knew Too Much,8.3,3708
5,21,Lady Bouvier's Lover,7.5,3378
5,22,Secrets of a Successful Marriage,8,3548
6,1,Bart of Darkness,8.7,4547
6,2,Lisa's Rival,8.1,3883
6,3,Another Simpsons Clip Show,5.7,3460
6,4,Itchy & Scratchy Land,8.6,4292
6,5,Sideshow Bob Roberts,8.2,3778
6,6,Treehouse of Horror V,9.2,6119
6,7,Bart's Girlfriend,8.1,3817
6,8,Lisa on Ice,8.6,4129
6,9,Homer Badman,9,5332
6,10,Grampa vs. Sexual Inadequacy,8,3530
6,11,Fear of Flying,7.7,3624
6,12,Homer the Great,9,5060
6,13,And Maggie Makes Three,8.9,4767
6,14,Bart's Comet,8.7,4057
6,15,Homie the Clown,8.6,4068
6,16,Bart vs. Australia,8.5,4255
6,17,Homer vs. Patty and Selma,7.8,3381
6,18,A Star Is Burns,8.6,4064
6,19,Lisa's Wedding,8.4,3897
6,20,Two Dozen and One Greyhounds,8.1,3501
6,21,The PTA Disbands,8,3447
6,22,'Round Springfield,8.1,3719
6,23,The Springfield Connection,8.2,3508
6,24,Lemon of Troy,8.7,4259
6,25,Who Shot Mr. Burns? Part One,9.2,5453
7,1,Who Shot Mr. Burns? Part Two,9,4973
7,2,Radioactive Man,8.3,3773
7,3,Home Sweet Home-Dum-Diddly Doodily,8.4,3693
7,4,Bart Sells His Soul,8.8,4699
7,5,Lisa the Vegetarian,8.5,4298
7,6,Treehouse of Horror VI,8.7,4447
7,7,King Size Homer,9,5205
7,8,Mother Simpson,8.7,4166
7,9,Sideshow Bob's Last Gleaming,7.9,3409
7,10,The Simpsons 138th Episode Spectacular!,7.3,3288
7,11,Marge Be Not Proud,8.5,4261
7,12,Team Homer,8.3,3478
7,13,Two Bad Neighbors,8.5,4057
7,14,Scenes from the Class Struggle in Springfield,7.7,3211
7,15,Bart the Fink,7.6,3161
7,16,Lisa the Iconoclast,8.1,3415
7,17,Homer the Smithers,8.8,4426
7,18,The Day the Violence Died,8,3370
7,19,A Fish Called Selma,8.2,3721
7,20,Bart on the Road,8.6,4032
7,21,22 Short Films About Springfield,9,4796
7,22,Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish',8.5,3630
7,23,Much Apu About Nothing,8.1,3269
7,24,Homerpalooza,7.9,3363
7,25,"Summer of 4'2""",8.5,3702
8,1,Treehouse of Horror VII,8.5,4124
8,2,You Only Move Twice,9.2,7183
8,3,The Homer They Fall,8.1,3553
8,4,"Burns, Baby Burns",7.6,3412
8,5,Bart After Dark,8.3,3641
8,6,A Milhouse Divided,8.1,3410
8,7,Lisa's Date with Density,7.8,3314
8,8,Hurricane Neddy,8.7,4296
8,9,El Viaje Misterioso de Nuestro Jomer,8.6,4390
8,10,The Springfield Files,9.1,5491
8,11,The Twisted World of Marge Simpson,7.7,3233
8,12,Mountain of Madness,8.5,3850
8,13,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,7.6,3457
8,14,The Itchy & Scratchy & Poochie Show,8,3498
8,15,Homer's Phobia,8.8,4772
8,16,Brother from Another Series,8.2,3471
8,17,"My Sister, My Sitter",7.8,3436
8,18,Homer vs. the 18th Amendment,8.8,4165
8,19,Grade School Confidential,8.2,3460
8,20,The Canine Mutiny,7.6,3007
8,21,The Old Man and the Lisa,7.8,3156
8,22,In Marge We Trust,8.1,3273
8,23,Homer's Enemy,9.3,7876
8,24,The Simpsons Spin-Off Showcase,7.1,3156
8,25,The Secret War of Lisa Simpson,7.8,3133
9,1,The City of New York vs. Homer Simpson,9,5587
9,2,The Principal and the Pauper,6.9,3952
9,3,Lisa's Sax,8.1,3082
9,4,Treehouse of Horror VIII,8.2,3458
9,5,The Cartridge Family,8.2,3413
9,6,Bart Star,7.6,2908
9,7,The Two Mrs. Nahasapeemapetilons,7.6,2823
9,8,Lisa the Skeptic,8.1,3088
9,9,Realty Bites,7.6,2843
9,10,Miracle on Evergreen Terrace,7.6,3117
9,11,"All Singing, All Dancing",5,3220
9,12,Bart Carny,7.6,2914
9,13,The Joy of Sect,8.3,3214
9,14,Das Bus,8.2,3149
9,15,The Last Temptation of Krust,7.4,2738
9,16,Dumbbell Indemnity,7.6,2758
9,17,Lisa the Simpson,8,3049
9,18,This Little Wiggy,7.8,2841
9,19,Simpson Tide,8.1,3155
9,20,The Trouble with Trillions,7.8,2991
9,21,Girly Edition,7.8,2783
9,22,Trash of the Titans,8.4,3466
9,23,King of the Hill,8.2,3136
9,24,Lost Our Lisa,7.7,2715
9,25,Natural Born Kissers,8,2872
10,1,Lard of the Dance,7.6,2902
10,2,The Wizard of Evergreen Terrace,8.1,3189
10,3,Bart the Mother,7.6,2803
10,4,Treehouse of Horror IX,8,3277
10,5,When You Dish Upon a Star,7.1,2767
10,6,D'oh-in' in the Wind,7.5,2717
10,7,Lisa Gets an 'A',8.1,2836
10,8,Homer Simpson in: 'Kidney Trouble',7.2,2651
10,9,Mayored to the Mob,8.1,3122
10,10,Viva Ned Flanders,7.8,2800
10,11,Wild Barts Can't Be Broken,7.7,2687
10,12,"Sunday, Cruddy Sunday",7,2696
10,13,Homer to the Max,7.7,2720
10,14,I'm with Cupid,7.2,2499
10,15,Marge Simpson in: 'Screaming Yellow Honkers',7.3,2542
10,16,Make Room for Lisa,7.5,2496
10,17,Maximum Homerdrive,7.7,2636
10,18,Simpsons Bible Stories,7.3,2583
10,19,Mom and Pop Art,7.6,2684
10,20,The Old Man and the 'C' Student,7.2,2388
10,21,Monty Can't Buy Me Love,7,2403
10,22,They Saved Lisa's Brain,7.2,2431
10,23,Thirty Minutes Over Tokyo,8,2888
11,1,Beyond Blunderdome,7.3,2667
11,2,Brother's Little Helper,7.5,2447
11,3,Guess Who's Coming to Criticize Dinner?,7.5,2472
11,4,Treehouse of Horror X,7.8,2904
11,5,E-I-E-I-(Annoyed Grunt),7.9,2695
11,6,"Hello Gutter, Hello Fadder",7.3,2274
11,7,Eight Misbehavin',7,2308
11,8,"Take My Wife, Sleaze",7.1,2342
11,9,Grift of the Magi,7.3,2504
11,10,Little Big Mom,7.3,2270
11,11,Faith Off,6.8,2260
11,12,The Mansion Family,7.3,2291
11,13,Saddlesore Galactica,6.4,2491
11,14,"Alone Again, Natura-Diddly",7.6,2858
11,15,Missionary: Impossible,7.3,2355
11,16,Pygmoelian,7.3,2254
11,17,Bart to the Future,7.2,2503
11,18,Days of Wine and D'oh'ses,7.4,2227
11,19,Kill the Alligator and Run,6.5,2419
11,20,Last Tap Dance in Springfield,7.1,2219
11,21,"It's a Mad, Mad, Mad, Mad Marge",7.1,2289
11,22,Behind the Laughter,7.9,2785
12,1,Treehouse of Horror XI,7.6,2757
12,2,A Tale of Two Springfields,7.4,2460
12,3,Insane Clown Poppy,6.9,2257
12,4,Lisa the Treehugger,7.1,2266
12,5,Homer vs. Dignity,6.9,2369
12,6,The Computer Wore Menace Shoes,7.7,2454
12,7,The Great Money Caper,7.2,2263
12,8,Skinner's Sense of Snow,7.9,2846
12,9,HOMR,8.1,2749
12,10,Pokey Mom,7.1,2404
12,11,Worst Episode Ever,7.3,2296
12,12,Tennis the Menace,6.8,2249
12,13,Day of the Jackanapes,7.1,2105
12,14,New Kids on the Blecch,7.2,2431
12,15,Hungry Hungry Homer,7.5,2265
12,16,"Bye, Bye, Nerdie",6.6,2180
12,17,Simpson Safari,6.8,2234
12,18,Trilogy of Error,8.6,3300
12,19,I'm Goin' to Praiseland,7.1,2306
12,20,Children of a Lesser Clod,7.2,2058
12,21,Simpsons Tall Tales,6.9,2129
13,1,Treehouse of Horror XII,7.6,2673
13,2,The Parent Rap,7.1,2125
13,3,Homer the Moe,7.1,2110
13,4,A Hunka Hunka Burns in Love,7.1,2027
13,5,The Blunder Years,7.6,2388
13,6,She of Little Faith,7.1,2177
13,7,Brawl in the Family,6.8,2001
13,8,Sweets and Sour Marge,6.9,2002
13,9,Jaws Wired Shut,7.3,2085
13,10,Half-Decent Proposal,7.2,2225
13,11,The Bart Wants What It Wants,7,1947
13,12,The Lastest Gun in the West,6.5,1995
13,13,The Old Man and the Key,6.5,1933
13,14,Tales from the Public Domain,7.1,2006
13,15,Blame It on Lisa,7,2077
13,16,Weekend at Burnsie's,7.7,2284
13,17,Gump Roast,5.4,2118
13,18,I Am Furious Yellow,7.7,2207
13,19,The Sweetest Apu,6.7,1871
13,20,Little Girl in the Big Ten,7.1,1933
13,21,The Frying Game,6.9,1976
13,22,Papa's Got a Brand New Badge,7.7,2402
14,1,Treehouse of Horror XIII,7.6,2507
14,2,How I Spent My Strummer Vacation,7.4,2170
14,3,Bart vs. Lisa vs. 3rd Grade,7.1,2036
14,4,Large Marge,7.1,2137
14,5,Helter Shelter,6.7,1964
14,6,The Great Louse Detective,7.3,2085
14,7,Special Edna,7,1956
14,8,The Dad Who Knew Too Little,7.3,1995
14,9,The Strong Arms of the Ma,6.8,2045
14,10,Pray Anything,6.7,1855
