season,episode,title,rating,votes
1,1,Pilot,8.7,6146
1,2,The Will,8,4193
1,3,The Foot,8.3,3986
1,4,Familia,8.3,3853
1,5,An Open Book,8.2,3650
1,6,The Room,8.6,3805
1,7,Brotherhood,7.9,3391
1,8,Crossroads,8,3274
1,9,Life's Too Short,8.5,3416
1,10,The New Person,8.3,3185
1,11,The Trip,8.3,3162
1,12,A Private Life,8.9,3595
1,13,"Knock, Knock",8.7,3437
2,1,In the Game,8.3,3068
2,2,"Out, Out, Brief Candle",8.2,2822
2,3,The Plan,8.2,2756
2,4,Driving Mr. Mossback,8.4,2814
2,5,The Invisible Woman,8.4,2764
2,6,In Place of Anger,8.1,2617
2,7,Back to the Garden,8,2658
2,8,It's the Most Wonderful Time of the Year,9,3324
2,9,Someone Else's Eyes,7.9,2597
2,10,The Secret,8.1,2574
2,11,The Liar and the Whore,8.3,2560
2,12,I'll Take You,9,3137
2,13,The Last Time,9.2,3424
3,1,Perfect Circles,8.2,2865
3,2,You Never Know,7.8,2459
3,3,The Eye Inside,7.7,2429
3,4,Nobody Sleeps,8.6,2785
3,5,The Trap,7.8,2391
3,6,Making Love Work,7.9,2489
3,7,Timing & Space,8,2396
3,8,"Tears, Bones and Desire",7.8,2411
3,9,The Opening,8,2332
3,10,Everyone Leaves,8.4,2460
3,11,Death Works Overtime,8.9,2765
3,12,Twilight,8.5,2503
3,13,"I'm Sorry, I'm Lost",9.2,3545
4,1,Falling into Place,9.1,3506
4,2,In Case of Rapture,7.7,2323
4,3,Parallel Play,8,2396
4,4,Can I Come Up Now?,7.7,2277
4,5,That's My Dog,8.8,3871
4,6,Terror Starts at Home,8.3,2387
4,7,The Dare,7.9,2272
4,8,Coming and Going,7.9,2262
4,9,Grinding the Corn,7.6,2267
4,10,The Black Forest,7.6,2218
4,11,Bomb Shelter,8,2250
4,12,Untitled,9.1,3261
5,1,A Coat of White Primer,8.5,2633
5,2,Dancing for Me,7.9,2437
5,3,Hold My Hand,8.2,2358
5,4,Time Flies,8.7,2746
5,5,Eat a Peach,8.1,2329
5,6,The Rainbow of Her Reasons,8.5,2517
5,7,The Silence,8,2358
5,8,Singing for Our Lives,8.7,2671
5,9,Ecotone,9.6,4875
5,10,All Alone,9.7,6881
5,11,Static,9.1,3818
5,12,Everyone's Waiting,9.9,19701
