season,episode,title,rating,votes,episode_year
1,1,Chapter One: The Vanishing of Will Byers,8.6,59429,2016
1,2,Chapter Two: The Weirdo on Maple Street,8.3,50261,2016
1,3,"Chapter Three: Holly, Jolly",8.8,49551,2016
1,4,Chapter Four: The Body,8.9,48960,2016
1,5,Chapter Five: The Flea and the Acrobat,8.6,46717,2016
1,6,Chapter Six: The Monster,8.8,46607,2016
1,7,Chapter Seven: The Bathtub,9.1,48792,2016
1,8,Chapter Eight: The Upside Down,9.3,56020,2016
2,1,Chapter One: MADMAX,8.1,44791,2017
2,2,"Chapter Two: Trick or Treat, Freak",8.2,42898,2017
2,3,Chapter Three: The Pollywog,8.5,41940,2017
2,4,Chapter Four: Will the Wise,8.5,41938,2017
2,5,Chapter Five: Dig Dug,8.7,42148,2017
2,6,Chapter Six: The Spy,9.1,45793,2017
2,7,Chapter Seven: The Lost Sister,6,61672,2017
2,8,Chapter Eight: The Mind Flayer,9.2,48526,2017
2,9,Chapter Nine: The Gate,9.3,51701,2017
3,1,"Chapter One: Suzie, Do You Copy?",7.8,46846,2019
3,2,Chapter Two: The Mall Rats,7.9,44198,2019
3,3,Chapter Three: The Case of the Missing Lifeguard,8.2,42485,2019
3,4,Chapter Four: The Sauna Test,8.9,45158,2019
3,5,Chapter Five: The Flayed,8.5,41825,2019
3,6,Chapter Six: E Pluribus Unum,8.5,42064,2019
3,7,Chapter Seven: The Bite,8.7,43111,2019
3,8,Chapter Eight: The Battle of Starcourt,9.3,58937,2019
4,1,Chapter One: The Hellfire Club,8.1,49168,2022
4,2,Chapter Two: Vecna's Curse,8.1,44901,2022
4,3,Chapter Three: The Monster and the Superhero,8.3,43796,2022
4,4,Chapter Four: Dear Billy,9.5,74446,2022
4,5,Chapter Five: The Nina Project,8.1,43064,2022
4,6,Chapter Six: The Dive,8.5,43697,2022
4,7,Chapter Seven: The Massacre at Hawkins Lab,9.6,83845,2022
4,8,Chapter Eight: Papa,8.7,47316,2022
4,9,Chapter Nine: The Piggyback,9.2,65123,2022
5,1,Chapter One: The Crawl,7.8,84020,2025
5,2,Chapter Two: The Vanishing of Holly Wheeler,8.3,81118,2025
5,3,Chapter Three: The Turnbow Trap,8.4,81433,2025
5,4,Chapter Four: Sorcerer,9.3,125261,2025
5,5,Chapter Five: Shock Jock,7.8,88888,2025
5,6,Chapter Six: Escape from Camazotz,7.9,94158,2025
5,7,Chapter Seven: The Bridge,5.6,193733,2025
5,8,Chapter Eight: The Rightside Up,7.4,177863,2025
