season,episode,title,rating,votes
1,1,Pilot,8.8,8637
1,2,Errors and Omissions,8.2,5462
1,3,Inside Track,8,4959
1,4,Dirty Little Secrets,8,4705
1,5,Bail Out,8,4551
1,6,Tricks of the Trade,8,4452
1,7,Play the Man,8.4,4636
1,8,Identity Crisis,8,4308
1,9,Undefeated,8.3,4198
1,10,The Shelf Life,8.3,4119
1,11,Rules of the Game,8.4,4096
1,12,Dog Fight,8.8,4605
2,1,She Knows,8.9,4778
2,2,The Choice,8.2,3897
2,3,Meet the New Boss,8.1,3764
2,4,Discovery,8.4,3768
2,5,Break Point,8.7,4034
2,6,All In,8.3,3743
2,7,Sucker Punch,9,4466
2,8,Rewind,8.5,3972
2,9,Asterisk,8.7,3815
2,10,High Noon,9.1,5021
2,11,Blind-Sided,8,3716
2,12,Blood in the Water,8.4,3574
2,13,Zane vs. Zane,8.1,3492
2,14,He's Back,8.4,3447
2,15,Normandy,8.3,3446
2,16,War,8.6,4067
3,1,The Arrangement,8.3,3947
3,2,I Want You to Want Me,8.3,3421
3,3,Unfinished Business,8.2,3312
3,4,Conflict of Interest,8.2,3238
3,5,Shadow of a Doubt,7.9,3164
3,6,The Other Time,8.5,3387
3,7,She's Mine,8.5,3500
3,8,Endgame,8.5,3204
3,9,Bad Faith,8.2,3114
3,10,Stay,8.3,3248
3,11,Buried Secrets,8.2,3074
3,12,Yesterday's Gone,8.9,3614
3,13,Moot Point,8.2,2919
3,14,Heartburn,8.8,3233
3,15,Know When to Fold 'Em,8.6,3076
3,16,No Way Out,9.2,4597
4,1,One-Two-Three Go...,8.3,3512
4,2,"Breakfast, Lunch and Dinner",8.1,2988
4,3,Two in the Knees,8.2,2959
4,4,Leveraged,8,2876
4,5,Pound of Flesh,8.2,2856
4,6,Litt the Hell Up,8.7,3161
4,7,We're Done,8.7,3256
4,8,Exposure,8.8,3124
4,9,Gone,9.2,3671
4,10,This Is Rome,9.4,5090
4,11,Enough Is Enough,8.8,3333
4,12,Respect,8.2,2779
4,13,Fork in the Road,8.7,3112
4,14,Derailed,8.4,2893
4,15,Intent,9.1,3677
4,16,Not Just a Pretty Face,9,3399
5,1,Denial,8.7,3813
5,2,Compensation,8.4,3112
5,3,No Refills,8.7,3081
5,4,No Puedo Hacerlo,8.8,3307
5,5,Toe to Toe,8.4,2860
5,6,Privilege,8.5,2855
5,7,Hitting Home,9.2,3903
5,8,Mea Culpa,8.9,3231
5,9,Uninvited Guests,8.7,3122
5,10,Faith,9.7,11748
5,11,Blowback,9.2,4158
5,12,Live to Fight...,8.9,3114
5,13,God's Green Earth,8.7,2967
5,14,Self Defense,9.2,3704
5,15,Tick Tock,9.5,5146
5,16,25th Hour,9.3,4977
6,1,To Trouble,8.1,3341
6,2,Accounts Payable,8,2677
6,3,Back on the Map,8.2,2538
6,4,Turn,8.1,2495
6,5,Trust,8,2336
6,6,Spain,7.8,2356
6,7,Shake the Trees,7.9,2347
6,8,Borrowed Time,8.4,2495
6,9,The Hand That Feeds You,9,3375
6,10,P.S.L.,9.4,5173
6,11,She's Gone,8.1,2583
6,12,The Painting,8.6,2555
6,13,"Teeth, Nose, Teeth",8.2,2275
6,14,Admission of Guilt,8.1,2137
6,15,Quid Pro Quo,8.1,2154
6,16,Character and Fitness,9.5,6074
7,1,Skin in the Game,8.4,3008
7,2,The Statue,8.1,2222
7,3,Mudmare,7.7,2086
7,4,Divide and Conquer,7.8,2003
7,5,Brooklyn Housing,7.7,1924
7,6,Home to Roost,8.1,1999
7,7,Full Disclosure,8.2,2020
7,8,100,8.5,2105
7,9,Shame,7.8,1892
7,10,Donna,8.8,2722
7,11,Hard Truths,8,2019
7,12,Bad Man,7.6,1844
7,13,Inevitable,8.4,2138
7,14,Pulling the Goalie,8.2,1886
7,15,Tiny Violin,8.2,1818
7,16,Good-Bye,7.8,2445
8,1,Right-Hand Man,7.2,2111
8,2,Pecking Order,7.2,1783
8,3,"Promises, Promises",7.5,1734
8,4,Revenue Per Square Foot,7.5,1735
8,5,Good Mudding,7.5,1698
8,6,"Cats, Ballet, Harvey Specter",7.9,1776
8,7,Sour Grapes,7.5,1635
8,8,Coral Gables,7.2,1582
8,9,Motion to Delay,7.4,1546
8,10,Managing Partner,8.6,2113
8,11,Rocky 8,7.6,1551
8,12,Whale Hunt,7.5,1491
8,13,The Greater Good,7.6,1450
8,14,Peas in a Pod,8,1508
8,15,Stalking Horse,7.9,1468
8,16,Harvey,8.7,2202
9,1,Everything's Changed,7.9,1808
9,2,Special Master,7.6,1563
9,3,Windmills,7.5,1521
9,4,Cairo,7.7,1521
9,5,If the Shoe Fits,8.3,1748
9,6,Whatever It Takes,7.6,1513
9,7,Scenic Route,7.5,1712
9,8,Prisoner's Dilemma,8.6,1921
9,9,Thunder Away,9.1,2313
9,10,One Last Con,9.4,4809
