season,episode,title,rating,votes
1,1,When You're Lost in the Darkness,9.1,123917
1,2,Infected,9,111986
1,3,"Long, Long Time",8.1,241673
1,4,Please Hold to My Hand,8.3,78021
1,5,Endure and Survive,9.4,90039
1,6,Kin,8.7,66696
1,7,Left Behind,7.3,78345
1,8,When We Are in Need,9.2,68807
1,9,Look for the Light,8.9,56321
2,1,Future Days,7.2,43261
2,2,Through the Valley,9.1,62507
2,3,The Path,6.7,33736
2,4,Day One,6.1,41082
2,5,Feel Her Love,7.1,29708
2,6,The Price,8.4,32170
2,7,Convergence,6.2,26549
