season,episode,title,rating,votes
1,1,Chapter 1: The Mandalorian,8.6,37894
1,2,Chapter 2: The Child,8.5,33759
1,3,Chapter 3: The Sin,8.9,33730
1,4,Chapter 4: Sanctuary,7.8,31824
1,5,Chapter 5: The Gunslinger,7.5,28619
1,6,Chapter 6: The Prisoner,8.3,29991
1,7,Chapter 7: The Reckoning,9,29058
1,8,Chapter 8: Redemption,9.2,31697
2,1,Chapter 9: The Marshal,8.8,31550
2,2,Chapter 10: The Passenger,7.8,27568
2,3,Chapter 11: The Heiress,8.7,27333
2,4,Chapter 12: The Siege,8.3,25077
2,5,Chapter 13: The Jedi,9.3,36908
2,6,Chapter 14: The Tragedy,9.1,28920
2,7,Chapter 15: The Believer,8.9,26359
2,8,Chapter 16: The Rescue,9.8,68017
3,1,Chapter 17: The Apostate,7.4,22265
3,2,Chapter 18: The Mines of Mandalore,8.2,20744
3,3,Chapter 19: The Convert,7,21394
3,4,Chapter 20: The Foundling,7.6,18082
3,5,Chapter 21: The Pirate,8.1,17831
3,6,Chapter 22: Guns for Hire,6.4,23448
3,7,Chapter 23: The Spies,8.7,19819
3,8,Chapter 24: The Return,8.4,18436
