season,episode,title,rating,votes
1,1,Pilot,7.3,13062
1,2,Diversity Day,8.1,12759
1,3,Health Care,7.6,10639
1,4,The Alliance,7.8,10243
1,5,Basketball,8.2,11341
1,6,Hot Girl,7.5,10118
2,1,The Dundies,8.6,11341
2,2,Sexual Harassment,8.1,9791
2,3,Office Olympics,8.2,9641
2,4,The Fire,8.1,9437
2,5,Halloween,7.9,8980
2,6,The Fight,7.9,8964
2,7,The Client,8.5,9468
2,8,Performance Review,8,8495
2,9,E-Mail Surveillance,8.2,8669
2,10,Christmas Party,8.7,9516
2,11,Booze Cruise,8.5,9279
2,12,The Injury,9,10819
2,13,The Secret,8.1,8263
2,14,The Carpet,7.6,8148
2,15,Boys and Girls,8,8140
2,16,Valentine's Day,8.1,8130
2,17,Dwight's Speech,8.3,8513
2,18,Take Your Daughter to Work Day,8.2,8380
2,19,Michael's Birthday,8,8082
2,20,Drug Testing,8.2,8157
2,21,Conflict Resolution,8.6,8367
2,22,Casino Night,9.3,11870
3,1,Gay Witch Hunt,8.9,10700
3,2,The Convention,8,7889
3,3,The Coup,8.4,8197
3,4,Grief Counseling,7.8,7848
3,5,Initiation,7.9,7633
3,6,Diwali,7.7,7943
3,7,Branch Closing,8.5,7940
3,8,The Merger,8.6,8180
3,9,The Convict,8.2,8195
3,10,A Benihana Christmas,8.6,8550
3,11,Back from Vacation,8.5,7796
3,12,Traveling Salesmen,8.5,7819
3,13,The Return,8.7,8158
3,14,Ben Franklin,7.8,7580
3,15,Phyllis' Wedding,8,7682
3,16,Business School,8.8,8746
3,17,Cocktails,8.3,7546
3,18,The Negotiation,8.9,8538
3,19,Safety Training,8.6,7929
3,20,Product Recall,8.5,7761
3,21,Women's Appreciation,8.6,7965
3,22,Beach Games,9,9087
3,23,The Job,9.2,9580
4,1,Fun Run,8.7,8779
4,2,Dunder Mifflin Infinity,8.1,7400
4,3,Launch Party,8.2,7280
4,4,Money,8.5,7669
4,5,Local Ad,8.6,7754
4,6,Branch Wars,8.3,7395
4,7,Survivor Man,8,7137
4,8,The Deposition,8.6,7540
4,9,Dinner Party,9.4,14915
4,10,Chair Model,7.8,6961
4,11,Night Out,8.5,7268
4,12,Did I Stutter?,8.1,6941
4,13,Job Fair,7.6,6682
4,14,"Goodbye, Toby",9.2,9577
