season,episode,title,rating,votes,episode_year
1,1,3 AM,8.5,12636,2017
1,2,Two Dead Men,8.1,10764,2017
1,3,Kandahar,8.3,10356,2017
1,4,Resupply,8.2,9769,2017
1,5,Gunner,8.6,9723,2017
1,6,The Judas Goat,8.1,9302,2017
1,7,Crosshairs,8.6,9330,2017
1,8,Cold Steel,8.7,9448,2017
1,9,Front Toward Enemy,8.9,9778,2017
1,10,Virtue of the Vicious,9.1,11031,2017
1,11,Danger Close,9.2,11511,2017
1,12,Home,9.5,14798,2017
1,13,Memento Mori,9.2,11685,2017
2,1,Roadhouse Blues,8.8,9094,2019
2,2,Fight or Flight,8,7185,2019
2,3,Trouble the Water,8.8,7621,2019
2,4,Scar Tissue,7.6,6773,2019
2,5,One-Eyed Jacks,8.1,6563,2019
2,6,Nakazat,7.8,6394,2019
2,7,One Bad Day,8.2,6336,2019
2,8,My Brother's Keeper,8,6284,2019
2,9,Flustercluck,8,6172,2019
2,10,The Dark Hearts of Men,8.6,6696,2019
2,11,The Abyss,8.3,6216,2019
2,12,Collision Course,8.7,6560,2019
2,13,The Whirlwind,9,7790,2019
