season,episode,title,rating,votes
1,1,The Target,7.8,10649
1,2,The Detail,8.1,8569
1,3,The Buys,8.1,8007
1,4,Old Cases,8.2,7727
1,5,The Pager,8.2,7397
1,6,The Wire,8.5,7564
1,7,One Arrest,8.4,7105
1,8,Lessons,8.5,7094
1,9,Game Day,8.7,7361
1,10,The Cost,9.2,8475
1,11,The Hunt,8.8,7295
1,12,Cleaning Up,9.1,7960
1,13,Sentencing,9,7742
2,1,Ebb Tide,7.7,6710
2,2,Collateral Damage,8,6206
2,3,Hot Shots,8,6020
2,4,Hard Cases,8,5923
2,5,Undertow,8.1,5801
2,6,All Prologue,8.8,6638
2,7,Backwash,8.2,5721
2,8,Duck and Cover,8.3,5778
2,9,Stray Rounds,8.5,5826
2,10,Storm Warnings,9,6571
2,11,Bad Dreams,9.2,7183
2,12,Port in a Storm,9,6667
3,1,Time After Time,7.9,5754
3,2,All Due Respect,8.3,5528
3,3,Dead Soldiers,8.3,5501
3,4,Amsterdam,8.3,5470
3,5,Straight and True,8.5,5455
3,6,Homecoming,8.6,5508
3,7,Back Burners,8.5,5341
3,8,Moral Midgetry,8.9,6038
3,9,Slapstick,8.7,5532
3,10,Reformation,8.7,5502
3,11,Middle Ground,9.6,9962
3,12,Mission Accomplished,9.3,6887
4,1,Boys of Summer,8.3,5527
4,2,Soft Eyes,8.4,5225
4,3,Home Rooms,8.6,5288
4,4,Refugees,8.3,5108
4,5,Alliances,8.4,5096
4,6,Margin of Error,8.7,5332
4,7,Unto Others,8.4,5028
4,8,Corner Boys,8.5,5100
4,9,Know Your Place,8.5,5032
4,10,Misgivings,8.8,5413
4,11,A New Day,8.9,5547
4,12,That's Got His Own,9.3,6521
4,13,Final Grades,9.6,8559
5,1,More with Less,8,5046
5,2,Unconfirmed Reports,8.1,4843
5,3,Not for Attribution,8.5,4944
5,4,Transitions,8.8,5167
5,5,React Quotes,8.5,4908
5,6,The Dickensian Aspect,8.3,4755
5,7,Took,8.4,4850
5,8,Clarifications,8.9,5681
5,9,Late Editions,9.4,6302
5,10,-30-,9.6,9123
