season,episode,title,rating,votes,episode_year
1,1,Velma,2.7,5439,2023
1,2,The Candy (Wo)man,2.7,4617,2023
1,3,Velma Kai,2.8,3268,2023
1,4,Velma Makes a List,2.8,3386,2023
1,5,Marching Band Sleepover,3,2295,2023
1,6,The Sins of the Fathers and Some of the Mothers,3.1,2476,2023
1,7,Fog Fest,3.1,1972,2023
1,8,A Velma in the Woods,3,2013,2023
1,9,Family (Wo)man,3,1737,2023
1,10,The Brains of the Operation,3.2,2049,2023
2,1,The Mystery of Teen Romance,3.2,915,2024
2,2,Creaky Friday,3.2,850,2024
2,3,When Velma Met Money,3.4,840,2024
2,4,Seancé,3.4,817,2024
2,5,Burning Woman,3.3,802,2024
2,6,Private Velmjamin,3.5,803,2024
2,7,Female Utopia,3.3,790,2024
2,8,Aman Hunt,3.4,792,2024
2,9,The Real Villain,3.7,854,2024
2,10,Til Death,3.4,874,2024
2,11,This Halloween Needs to Be More Special!,4,660,2024
