season,episode,title,rating,votes
1,1,The Original,8.8,24968
1,2,Chestnut,8.5,18981
1,3,The Stray,8.2,17371
1,4,Dissonance Theory,8.6,17302
1,5,Contrapasso,8.6,16510
1,6,The Adversary,8.8,16707
1,7,Trompe L'Oeil,9.4,22309
1,8,Trace Decay,8.7,15777
1,9,The Well-Tempered Clavier,9.3,20457
1,10,The Bicameral Mind,9.7,33357
2,1,Journey into Night,8.1,14137
2,2,Reunion,8,12144
2,3,Virtù e Fortuna,7.9,11391
2,4,The Riddle of the Sphinx,8.9,14756
2,5,Akane no Mai,7.8,12384
2,6,Phase Space,8,10683
2,7,Les Écorchés,8.5,11724
2,8,Kiksuya,9.2,19403
2,9,Vanishing Point,8.7,11683
2,10,The Passenger,8.7,13199
3,1,Parce Domine,8.2,12003
3,2,The Winter Line,8.1,9829
3,3,The Absence of Field,8.1,9303
3,4,The Mother of Exiles,8.7,10621
3,5,Genre,7.9,10048
3,6,Decoherence,8.2,8840
3,7,Passed Pawn,7.8,8372
3,8,Crisis Theory,7.2,10204
4,1,The Auguries,7.2,5762
4,2,Well Enough Alone,7.6,4868
4,3,Années Folles,8.1,5020
4,4,Generation Loss,8.7,6242
4,5,Zhuangzi,8.5,5336
4,6,Fidelity,8.1,4600
4,7,Metanoia,8.1,4620
4,8,"Que Será, Será",6.9,5365
