season,episode,title,rating,votes
1,1,"To Me, My X-Men",8.2,8042
1,2,Mutant Liberation Begins,9,8080
1,3,Fire Made Flesh,8.5,7211
1,4,Motendo/Lifedeath - Part 1,6.9,6984
1,5,Remember It,9.7,12708
1,6,Lifedeath - Part 2,7.7,6147
1,7,Bright Eyes,8.5,6181
1,8,Tolerance Is Extinction - Part 1,9.2,6834
1,9,Tolerance Is Extinction - Part 2,9.3,6640
1,10,Tolerance Is Extinction - Part 3,9.3,6407
2,1,Days of Past Future,8.3,3528
2,2,A Force to Be Reckoned With,8.3,3340
2,3,Rise of Apocalypse: Part 1,8.5,3264
2,4,Rise of Apocalypse Part II,9.4,4101
2,5,"Weapon X, Lies, and DVDs",7.8,2975
2,6,Danger.exe,8,2618
2,7,"Strange Land, Savage Heart",8,2384
2,8,The Dead Man's Hand,8.4,2331
2,9,Survival of the Fittest,8.5,2227
