season,episode,title,rating,votes
1,1,"BoJack Horseman: The BoJack Horseman Story, Chapter One",7.1,9578
1,2,BoJack Hates the Troops,7.6,8566
1,3,Prickly Muffin,7.3,7840
1,4,Zoës and Zeldas,7.4,7566
1,5,"Live Fast, Diane Nguyen",7.3,7260
1,6,Our A-Story Is a 'D' Story,7.8,7273
1,7,Say Anything,7.9,7294
1,8,The Telescope,8.6,8494
1,9,Horse Majeure,7.8,6841
1,10,One Trick Pony,7.6,6732
1,11,Downer Ending,9.2,10780
1,12,Later,8.3,7320
2,1,Brand New Couch,8,6723
2,2,Yesterdayland,7.7,6300
2,3,Still Broken,7.9,6304
2,4,After the Party,7.9,6285
2,5,Chickens,7.7,6460
2,6,Higher Love,7.5,5937
2,7,Hank After Dark,8.2,6343
2,8,Let's Find Out,8.8,7717
2,9,The Shot,8.3,6279
2,10,Yes And,8.5,6603
2,11,Escape from L.A.,9.4,11600
2,12,Out to Sea,8.5,6580
3,1,Start Spreading the News,7.8,5818
3,2,The BoJack Horseman Show,8,5975
3,3,BoJack Kills,7.4,5786
3,4,Fish Out of Water,9.6,16709
3,5,Love And/Or Marriage,8.1,5897
3,6,Brrap Brrap Pew Pew,8,6192
3,7,Stop the Presses,8.3,5991
3,8,Old Acquaintance,7.8,5561
3,9,Best Thing That Ever Happened,8.5,6377
3,10,It's You,8.8,6946
3,11,"That's Too Much, Man!",9.7,14027
3,12,That Went Well,9,7595
4,1,See Mr. Peanutbutter Run,7.5,5943
4,2,The Old Sugarman Place,9.4,11591
4,3,Hooray! Todd Episode!,8.4,6359
4,4,Commence Fracking,7.6,5545
4,5,Thoughts and Prayers,8.1,5892
4,6,Stupid Piece of Sh*t,9.2,8974
4,7,Underground,8.1,5952
4,8,The Judge,7.4,5407
4,9,Ruthie,9,7971
4,10,lovin that cali lifestyle!!,8.4,5876
4,11,Time's Arrow,9.8,19717
4,12,What Time Is It Right Now,9,6831
5,1,The Light Bulb Scene,8,5726
5,2,The Dog Days Are Over,9,7596
5,3,Planned Obsolescence,7.9,5670
5,4,BoJack the Feminist,8,5617
5,5,The Amelia Earhart Story,8.4,5983
5,6,Free Churro,9.8,24924
5,7,INT. SUB,8.8,6762
5,8,Mr. Peanutbutter's Boos,8.5,5869
5,9,Ancient History,8.2,5373
5,10,Head in the Clouds,9,6483
5,11,The Showstopper,9.6,10815
5,12,The Stopped Show,9.1,6458
6,1,A Horse Walks into a Rehab,9.1,7271
6,2,The New Client,8.5,5888
6,3,Feel-Good Story,8,5523
6,4,Surprise!,9,6567
6,5,"A Little Uneven, Is All",8,5129
6,6,The Kidney Stays in the Picture,8.1,5204
6,7,The Face of Depression,9.4,8415
6,8,"A Quick One, While He's Away",8.5,5586
6,9,Intermediate Scene Study w/ BoJack Horseman,8.3,5398
6,10,Good Damage,8.9,6250
6,11,Sunk Cost and All That,8.7,5476
6,12,Xerox of a Xerox,9.3,7023
6,13,The Horny Unicorn,8.6,5426
6,14,Angela,9,6207
6,15,The View from Halfway Down,9.9,33394
6,16,Nice While It Lasted,9.6,13386
