season,episode,title,rating,votes
1,1,The Heirs of the Dragon,8.7,84486
1,2,The Rogue Prince,8.3,67666
1,3,Second of His Name,8.7,69015
1,4,King of the Narrow Sea,8.4,58394
1,5,We Light the Way,8.8,59121
1,6,The Princess and the Queen,8,52492
1,7,Driftmark,9.1,58827
1,8,The Lord of the Tides,9.3,65374
1,9,The Green Council,8.7,51052
1,10,The Black Queen,9.3,52436
2,1,A Son for a Son,8.2,44712
2,2,Rhaenyra the Cruel,8.2,39098
2,3,The Burning Mill,7.6,37250
2,4,The Red Dragon and the Gold,9.4,65640
2,5,Regent,7.3,35822
2,6,Smallfolk,6.3,56625
2,7,The Red Sowing,8.8,42679
2,8,The Queen Who Ever Was,6.5,48920
3,1,"Salt and Sea, Fire and Blood",9.4,9986
