episode_name_number,episode,imdb_rating,season,season_ep_name
S1.E1 ∙ Ambush,1,7.3,1,S1.E1: Ambush
S1.E2 ∙ Rising Malevolence,2,7.3,1,S1.E2: Rising Malevolence
S1.E3 ∙ Shadow of Malevolence,3,7.3,1,S1.E3: Shadow of Malevolence
S1.E4 ∙ Destroy Malevolence,4,7.4,1,S1.E4: Destroy Malevolence
S1.E5 ∙ Rookies,5,7.9,1,S1.E5: Rookies
S1.E6 ∙ Downfall of a Droid,6,6.6,1,S1.E6: Downfall of a Droid
S1.E7 ∙ Duel of the Droids,7,7.1,1,S1.E7: Duel of the Droids
S1.E8 ∙ Bombad Jedi,8,6,1,S1.E8: Bombad Jedi
S1.E9 ∙ Cloak of Darkness,9,7.9,1,S1.E9: Cloak of Darkness
S1.E10 ∙ Lair of Grievous,10,8.1,1,S1.E10: Lair of Grievous
S1.E11 ∙ Dooku Captured,11,7.3,1,S1.E11: Dooku Captured
S1.E12 ∙ The Gungan General,12,7,1,S1.E12: The Gungan General
S1.E13 ∙ Jedi Crash,13,7.3,1,S1.E13: Jedi Crash
S1.E14 ∙ Defenders of Peace,14,7.4,1,S1.E14: Defenders of Peace
S1.E15 ∙ Trespass,15,7.6,1,S1.E15: Trespass
S1.E16 ∙ The Hidden Enemy,16,7.6,1,S1.E16: The Hidden Enemy
S1.E17 ∙ Blue Shadow Virus,17,6.6,1,S1.E17: Blue Shadow Virus
S1.E18 ∙ Mystery of a Thousand Moons,18,6.9,1,S1.E18: Mystery of a Thousand Moons
S1.E19 ∙ Storm Over Ryloth,19,7.6,1,S1.E19: Storm Over Ryloth
S1.E20 ∙ Innocents of Ryloth,20,7.9,1,S1.E20: Innocents of Ryloth
S1.E21 ∙ Liberty on Ryloth,21,7.6,1,S1.E21: Liberty on Ryloth
S1.E22 ∙ Hostage Crisis,22,7.9,1,S1.E22: Hostage Crisis
S2.E1 ∙ Holocron Heist,1,7.8,2,S2.E1: Holocron Heist
S2.E2 ∙ Cargo of Doom,2,8,2,S2.E2: Cargo of Doom
S2.E3 ∙ Children of the Force,3,7.6,2,S2.E3: Children of the Force
S2.E4 ∙ Senate Spy,4,6.9,2,S2.E4: Senate Spy
S2.E5 ∙ Landing at Point Rain,5,8.2,2,S2.E5: Landing at Point Rain
S2.E6 ∙ Weapons Factory,6,7.8,2,S2.E6: Weapons Factory
S2.E7 ∙ Legacy of Terror,7,7.6,2,S2.E7: Legacy of Terror
S2.E8 ∙ Brain Invaders,8,8,2,S2.E8: Brain Invaders
S2.E9 ∙ Grievous Intrigue,9,7.8,2,S2.E9: Grievous Intrigue
S2.E10 ∙ The Deserter,10,8.1,2,S2.E10: The Deserter
S2.E11 ∙ Lightsaber Lost,11,7.5,2,S2.E11: Lightsaber Lost
S2.E12 ∙ The Mandalore Plot,12,8,2,S2.E12: The Mandalore Plot
S2.E13 ∙ Voyage of Temptation,13,8.1,2,S2.E13: Voyage of Temptation
S2.E14 ∙ Duchess of Mandalore,14,7.6,2,S2.E14: Duchess of Mandalore
S2.E15 ∙ Senate Murders,15,6.7,2,S2.E15: Senate Murders
S2.E16 ∙ Cat and Mouse,16,7.5,2,S2.E16: Cat and Mouse
S2.E17 ∙ Bounty Hunters,17,7.5,2,S2.E17: Bounty Hunters
S2.E18 ∙ The Zillo Beast,18,7.3,2,S2.E18: The Zillo Beast
S2.E19 ∙ The Zillo Beast Strikes Back,19,7.6,2,S2.E19: The Zillo Beast Strikes Back
S2.E20 ∙ Death Trap,20,7.7,2,S2.E20: Death Trap
S2.E21 ∙ R2 Come Home,21,7.5,2,S2.E21: R2 Come Home
S2.E22 ∙ Lethal Trackdown,22,8,2,S2.E22: Lethal Trackdown
S3.E1 ∙ Clone Cadets,1,7.8,3,S3.E1: Clone Cadets
S3.E2 ∙ ARC Troopers,2,8.5,3,S3.E2: ARC Troopers
S3.E3 ∙ Supply Lines,3,6.9,3,S3.E3: Supply Lines
S3.E4 ∙ Sphere of Influence,4,6.9,3,S3.E4: Sphere of Influence
S3.E5 ∙ Corruption,5,6.7,3,S3.E5: Corruption
S3.E6 ∙ The Academy,6,6.9,3,S3.E6: The Academy
S3.E7 ∙ Assassin,7,7.5,3,S3.E7: Assassin
