zip,city,metro,year,month,date,zhvi,name
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2000,12,2000-12-31,133257.37346748688,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2001,12,2001-12-31,136322.78294944196,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2002,12,2002-12-31,152685.7056043237,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2003,12,2003-12-31,177699.1495297587,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2004,12,2004-12-31,234094.0138800917,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2005,12,2005-12-31,315246.2766848472,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2006,12,2006-12-31,375947.5682254981,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2007,12,2007-12-31,364579.5883847974,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2008,12,2008-12-31,249394.78345505797,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2009,12,2009-12-31,170022.7604875257,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2010,12,2010-12-31,165708.93271865495,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2011,12,2011-12-31,161929.56391720663,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2012,12,2012-12-31,176402.19710050765,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2013,12,2013-12-31,218036.38534521763,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2014,12,2014-12-31,255602.5901762052,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2015,12,2015-12-31,260163.93907611855,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2016,12,2016-12-31,285832.70720147964,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2017,12,2017-12-31,337970.70555284485,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2018,12,2018-12-31,423964.8665248449,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2019,12,2019-12-31,444202.2741814064,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2020,12,2020-12-31,483642.9848155321,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2021,12,2021-12-31,535043.365076216,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2022,12,2022-12-31,582508.5704387394,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2023,12,2023-12-31,604259.5688066724,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2024,12,2024-12-31,617941.6791132063,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2025,12,2025-12-31,600867.734618904,Florence-Firestone
90001,Florence-Graham,"Los Angeles-Long Beach-Anaheim, CA",2026,4,2026-04-30,593881.1942944229,Florence-Firestone
