season,episode,title,rating,votes
1,1,The Red Serpent,7.6,5786
1,2,Sacramentum Gladiatorum,7.9,4435
1,3,Legends,8,4149
1,4,The Thing in the Pit,8.3,4121
1,5,Shadow Games,8.9,4611
1,6,Delicate Things,8.5,4041
1,7,Great and Unfortunate Things,8.2,3749
1,8,Mark of the Brotherhood,8.2,3743
1,9,Whore,8.7,4086
1,10,Party Favors,9,4367
1,11,Old Wounds,8.6,3862
1,12,Revelations,9,4119
1,13,Kill Them All,9.6,7913
2,1,Fugitivus,8,3951
2,2,A Place in This World,8,3133
2,3,The Greater Good,8.2,3095
2,4,Empty Hands,8,2983
2,5,Libertus,9.2,4345
2,6,Chosen Path,8,2916
2,7,Sacramentum,8.5,3101
2,8,Balance,8.3,2905
2,9,Monsters,8.8,3309
2,10,Wrath of the Gods,9.3,4937
3,1,Enemies of Rome,8.5,3772
3,2,Wolves at the Gate,8.4,3071
3,3,Men of Honor,8.2,2934
3,4,Decimation,8.4,2954
3,5,Blood Brothers,8.8,3176
3,6,Spoils of War,8.6,2997
3,7,Mors Indecepta,8.4,2889
3,8,Separate Paths,8.9,3549
3,9,The Dead and the Dying,9.1,3680
3,10,Victory,9.7,9013
