episode_name_number,episode,imdb_rating,season,season_ep_name
"S1.E1 ∙ BoJack Horseman: The BoJack Horseman Story, Chapter One",1,7.1,1,"S1.E1: BoJack Horseman: The BoJack Horseman Story, Chapter One"
S1.E2 ∙ BoJack Hates the Troops,2,7.6,1,S1.E2: BoJack Hates the Troops
S1.E3 ∙ Prickly Muffin,3,7.3,1,S1.E3: Prickly Muffin
S1.E4 ∙ Zoës and Zeldas,4,7.4,1,S1.E4: Zoës and Zeldas
"S1.E5 ∙ Live Fast, Diane Nguyen",5,7.3,1,"S1.E5: Live Fast, Diane Nguyen"
S1.E6 ∙ Our A-Story Is a 'D' Story,6,7.8,1,S1.E6: Our A-Story Is a 'D' Story
S1.E7 ∙ Say Anything,7,7.9,1,S1.E7: Say Anything
S1.E8 ∙ The Telescope,8,8.6,1,S1.E8: The Telescope
S1.E9 ∙ Horse Majeure,9,7.8,1,S1.E9: Horse Majeure
S1.E10 ∙ One Trick Pony,10,7.6,1,S1.E10: One Trick Pony
S1.E11 ∙ Downer Ending,11,9.1,1,S1.E11: Downer Ending
S1.E12 ∙ Later,12,8.3,1,S1.E12: Later
S2.E1 ∙ Brand New Couch,1,8,2,S2.E1: Brand New Couch
S2.E2 ∙ Yesterdayland,2,7.7,2,S2.E2: Yesterdayland
S2.E3 ∙ Still Broken,3,7.9,2,S2.E3: Still Broken
S2.E4 ∙ After the Party,4,7.9,2,S2.E4: After the Party
S2.E5 ∙ Chickens,5,7.7,2,S2.E5: Chickens
S2.E6 ∙ Higher Love,6,7.5,2,S2.E6: Higher Love
S2.E7 ∙ Hank After Dark,7,8.2,2,S2.E7: Hank After Dark
S2.E8 ∙ Let's Find Out,8,8.8,2,S2.E8: Let's Find Out
S2.E9 ∙ The Shot,9,8.2,2,S2.E9: The Shot
S2.E10 ∙ Yes And,10,8.4,2,S2.E10: Yes And
S2.E11 ∙ Escape from L.A.,11,9.3,2,S2.E11: Escape from L.A.
S2.E12 ∙ Out to Sea,12,8.5,2,S2.E12: Out to Sea
S3.E1 ∙ Start Spreading the News,1,7.8,3,S3.E1: Start Spreading the News
S3.E2 ∙ The BoJack Horseman Show,2,8,3,S3.E2: The BoJack Horseman Show
S3.E3 ∙ BoJack Kills,3,7.4,3,S3.E3: BoJack Kills
