episode_name_number,episode,imdb_rating,season,season_ep_name
S1.E1 ∙ The Red Serpent,1,7.6,1,S1.E1: The Red Serpent
S1.E2 ∙ Sacramentum Gladiatorum,2,7.9,1,S1.E2: Sacramentum Gladiatorum
S1.E3 ∙ Legends,3,8,1,S1.E3: Legends
S1.E4 ∙ The Thing in the Pit,4,8.3,1,S1.E4: The Thing in the Pit
S1.E5 ∙ Shadow Games,5,8.9,1,S1.E5: Shadow Games
S1.E6 ∙ Delicate Things,6,8.5,1,S1.E6: Delicate Things
S1.E7 ∙ Great and Unfortunate Things,7,8.2,1,S1.E7: Great and Unfortunate Things
S1.E8 ∙ Mark of the Brotherhood,8,8.3,1,S1.E8: Mark of the Brotherhood
S1.E9 ∙ Whore,9,8.7,1,S1.E9: Whore
S1.E10 ∙ Party Favors,10,9,1,S1.E10: Party Favors
S1.E11 ∙ Old Wounds,11,8.6,1,S1.E11: Old Wounds
S1.E12 ∙ Revelations,12,9,1,S1.E12: Revelations
S1.E13 ∙ Kill Them All,13,9.6,1,S1.E13: Kill Them All
S2.E1 ∙ Fugitivus,1,8.1,2,S2.E1: Fugitivus
S2.E2 ∙ A Place in This World,2,8,2,S2.E2: A Place in This World
S2.E3 ∙ The Greater Good,3,8.2,2,S2.E3: The Greater Good
S2.E4 ∙ Empty Hands,4,8,2,S2.E4: Empty Hands
S2.E5 ∙ Libertus,5,9.2,2,S2.E5: Libertus
S2.E6 ∙ Chosen Path,6,8,2,S2.E6: Chosen Path
S2.E7 ∙ Sacramentum,7,8.5,2,S2.E7: Sacramentum
S2.E8 ∙ Balance,8,8.3,2,S2.E8: Balance
S2.E9 ∙ Monsters,9,8.8,2,S2.E9: Monsters
S2.E10 ∙ Wrath of the Gods,10,9.3,2,S2.E10: Wrath of the Gods
S3.E1 ∙ Enemies of Rome,1,8.6,3,S3.E1: Enemies of Rome
S3.E2 ∙ Wolves at the Gate,2,8.4,3,S3.E2: Wolves at the Gate
S3.E3 ∙ Men of Honor,3,8.3,3,S3.E3: Men of Honor
S3.E4 ∙ Decimation,4,8.4,3,S3.E4: Decimation
S3.E5 ∙ Blood Brothers,5,8.8,3,S3.E5: Blood Brothers
S3.E6 ∙ Spoils of War,6,8.6,3,S3.E6: Spoils of War
S3.E7 ∙ Mors Indecepta,7,8.4,3,S3.E7: Mors Indecepta
S3.E8 ∙ Separate Paths,8,8.9,3,S3.E8: Separate Paths
S3.E9 ∙ The Dead and the Dying,9,9.1,3,S3.E9: The Dead and the Dying
S3.E10 ∙ Victory,10,9.7,3,S3.E10: Victory
