season,episode,title,rating,votes
1,1,The Boy in the Iceberg,7.9,9891
1,2,The Avatar Returns,8.1,8897
1,3,The Southern Air Temple,8.4,8699
1,4,The Warriors of Kyoshi,8,8440
1,5,The King of Omashu,8,8402
1,6,Imprisoned,7.7,8130
1,7,"The Spirit World (Winter Solstice, Part 1)",8,7923
1,8,"Avatar Roku (Winter Solstice, Part 2)",8.8,8518
1,9,The Waterbending Scroll,7.7,7748
1,10,Jet,7.6,7968
1,11,The Great Divide,6.8,8359
1,12,The Storm,9,9006
1,13,The Blue Spirit,9.1,9067
1,14,The Fortuneteller,7.7,7559
1,15,Bato of the Water Tribe,7.7,7445
1,16,The Deserter,8.4,7586
1,17,The Northern Air Temple,7.8,7351
1,18,The Waterbending Master,8.6,7628
1,19,"The Siege of the North, Part 1",9.3,9113
1,20,"The Siege of the North, Part 2",9.6,9349
2,1,The Avatar State,8.6,7569
2,2,The Cave of Two Lovers,8.1,7473
2,3,Return to Omashu,8.2,7064
2,4,The Swamp,7.5,7206
2,5,Avatar Day,7.3,7144
2,6,The Blind Bandit,9.1,8748
2,7,Zuko Alone,9.6,11326
2,8,The Chase,9,7939
2,9,Bitter Work,8.5,7248
2,10,The Library,8.7,7542
2,11,The Desert,8.7,7355
2,12,The Serpent's Pass,8.2,6909
2,13,The Drill,8.9,7510
2,14,City of Walls and Secrets,8.6,7174
2,15,The Tales of Ba Sing Se,9.3,10958
2,16,Appa's Lost Days,8.9,7919
2,17,Lake Laogai,9.1,7728
2,18,The Earth King,8.5,6893
2,19,The Guru,9,7724
2,20,The Crossroads of Destiny,9.6,10425
3,1,The Awakening,8.6,7456
3,2,The Headband,8.3,7298
3,3,The Painted Lady,7.8,7301
3,4,Sokka's Master,8.8,7787
3,5,The Beach,8.6,8063
3,6,The Avatar and the Fire Lord,9.5,9690
3,7,The Runaway,8.1,6928
3,8,The Puppetmaster,9.1,8547
3,9,Nightmares and Daydreams,7.6,7335
3,10,The Day of Black Sun,9.1,7823
3,11,"The Day of Black Sun, Part 2: The Eclipse",9.5,8665
3,12,The Western Air Temple,8.9,7637
3,13,The Firebending Masters,9.3,8689
3,14,The Boiling Rock: Part 1,8.7,7294
3,15,"The Boiling Rock, Part 2",9.3,7995
3,16,The Southern Raiders,8.9,7844
3,17,The Ember Island Players,8.5,7942
3,18,"Sozin's Comet, Part 1: The Phoenix King",9,8724
3,19,"Sozin's Comet, Part 2: The Old Masters",9.5,10002
3,20,"Sozin's Comet, Part 3: Into the Inferno",9.8,15661
3,21,"Sozin's Comet, Part 4: Avatar Aang",9.9,27780
