season,episode,title,rating,votes
1,1,Pilot,9,82794
1,2,Cat's in the Bag...,8.6,61587
1,3,...And the Bag's in the River,8.7,59364
1,4,Cancer Man,8.2,57047
1,5,Gray Matter,8.2,56017
1,6,Crazy Handful of Nothin',9.3,65368
1,7,A No-Rough-Stuff-Type Deal,8.8,56945
2,1,Seven Thirty-Seven,8.6,51244
2,2,Grilled,9.3,59010
2,3,Bit by a Dead Bee,8.3,49305
2,4,Down,8.2,49373
2,5,Breakage,8.2,48677
2,6,Peekaboo,8.8,52053
2,7,Negro y Azul,8.6,48414
2,8,Better Call Saul,9.3,57184
2,9,4 Days Out,9.2,54891
2,10,Over,8.4,47584
2,11,Mandala,8.9,49438
2,12,Phoenix,9.3,55643
2,13,ABQ,9.2,54316
3,1,No Más,8.4,46869
3,2,Caballo sin Nombre,8.6,45684
3,3,I.F.T.,8.3,45496
3,4,Green Light,8.1,47328
3,5,Más,8.5,44720
3,6,Sunset,9.3,51280
3,7,One Minute,9.6,62845
3,8,I See You,8.7,45721
3,9,Kafkaesque,8.3,45096
3,10,Fly,7.9,96462
3,11,Abiquiu,8.4,44872
3,12,Half Measures,9.5,62181
3,13,Full Measure,9.7,76007
4,1,Box Cutter,9.2,54389
4,2,Thirty-Eight Snub,8.2,46116
4,3,Open House,7.9,55901
4,4,Bullet Points,8.5,45152
4,5,Shotgun,8.6,44800
4,6,Cornered,8.4,45857
4,7,Problem Dog,8.8,46284
4,8,Hermanos,9.3,53027
4,9,Bug,8.9,48510
4,10,Salud,9.6,65946
4,11,Crawl Space,9.7,84234
4,12,End Times,9.5,61122
4,13,Face Off,9.8,157974
5,1,Live Free or Die,9.2,63982
5,2,Madrigal,8.8,56595
5,3,Hazard Pay,8.8,55992
5,4,Fifty-One,8.8,56413
5,5,Dead Freight,9.6,85971
5,6,Buyout,9,58742
5,7,Say My Name,9.6,81884
5,8,Gliding Over All,9.5,72526
5,9,Blood Money,9.4,68290
5,10,Buried,9.2,62801
5,11,Confessions,9.6,80043
5,12,Rabid Dog,9.1,67505
5,13,To'hajiilee,9.7,127346
5,14,Ozymandias,9.5,503260
5,15,Granite State,9.6,122430
5,16,Felina,9.8,293002
