season,episode,title,rating,votes
1,1,Pilot,7.6,3274
1,2,Kryptonite,7.2,2385
1,3,Wedding,7.5,2288
1,4,Naked,7.9,2251
1,5,Cece Crashes,7.7,2055
1,6,Thanksgiving,7.7,2043
1,7,Bells,7,1949
1,8,Bad in Bed,7.4,1910
1,9,The 23rd,7.6,1886
1,10,The Story of the 50,7.6,1915
1,11,Jess & Julia,7.8,1865
1,12,The Landlord,8,2009
1,13,Valentine's Day,7.7,1805
1,14,Bully,7.3,1669
1,15,Injured,7.8,1912
1,16,Control,7.3,1640
1,17,Fancyman Part 1,7.8,1741
1,18,Fancyman Part 2,7.9,1677
1,19,Secrets,8.1,1774
1,20,Normal,7.6,1612
1,21,Kids,7.8,1675
1,22,Tomatoes,7.5,1618
1,23,Backslide,7.5,1583
1,24,See Ya,7.8,1690
2,1,Re-launch,7.3,1689
2,2,Katie,7.7,1711
2,3,Fluffer,7.6,1571
2,4,Neighbors,7.1,1562
2,5,Models,7.7,1597
2,6,Halloween,7.8,1576
2,7,Menzies,7.8,1621
2,8,Parents,7.7,1512
2,9,Eggs,7.5,1471
2,10,Bathtub,7.7,1467
2,11,Santa,8.1,1622
2,12,Cabin,7.7,1526
2,13,A Father's Love,7,1416
2,14,Pepperwood,7.9,1609
2,15,Cooler,9.1,2972
2,16,Table 34,8.1,1564
2,17,Parking Spot,8.1,1558
2,18,Tinfinity,7.7,1428
2,19,Quick Hardening Caulk,8.4,1824
2,20,Chicago,7.6,1579
2,21,First Date,7.7,1467
2,22,Bachelorette Party,7.5,1363
2,23,Virgins,8.4,1897
2,24,Winston's Birthday,8,1468
2,25,Elaine's Big Day,8.6,1887
3,1,All In,7.7,1533
3,2,Nerd,7.5,1341
3,3,Double Date,7.6,1346
3,4,The Captain,7.4,1294
3,5,The Box,7.1,1262
3,6,Keaton,7.5,1274
3,7,Coach,7.6,1303
3,8,Menus,7.3,1232
3,9,Longest Night Ever,7.4,1219
3,10,Thanksgiving III,7.3,1237
3,11,Clavado En Un Bar,7.4,1255
3,12,Basketsball,7.2,1191
3,13,Birthday,8.3,1555
3,14,Prince,8.6,2166
3,15,Exes,7.5,1219
3,16,Sister,7.2,1204
3,17,Sister II,7.1,1152
3,18,Sister III,7.2,1134
3,19,Fired Up,7.6,1139
3,20,Mars Landing,7.2,1204
3,21,Big News,7.5,1161
3,22,Dance,7.4,1133
3,23,Cruise,7.7,1170
4,1,The Last Wedding,7.6,1297
4,2,Dice,7.5,1219
4,3,Julie Berkman's Older Sister,7.2,1157
4,4,Micro,7.2,1173
4,5,Landline,7.9,1286
4,6,Background Check,8.7,2053
4,7,Goldmine,8.1,1338
4,8,Teachers,7.9,1233
4,9,Thanksgiving IV,8.1,1251
4,10,Girl Fight,7.6,1126
4,11,LAXmas,7.5,1171
4,12,Shark,7.3,1047
4,13,Coming Out,7.1,1037
4,14,Swuit,7.1,1045
4,15,The Crawl,7.6,1110
4,16,Oregon,7.4,1082
4,17,Spiderhunt,8.2,1330
4,18,Walk of Shame,7.5,1127
4,19,The Right Thing,7.3,1052
4,20,Par 5,7.3,1059
4,21,Panty Gate,7.6,1072
4,22,Clean Break,9,2117
5,1,Big Mama P,7.8,1261
5,2,What About Fred,7.2,1080
5,3,Jury Duty,7.5,1047
5,4,No Girl,7.3,1075
5,5,Bob & Carol & Nick & Schmidt,7.3,1072
5,6,Reagan,7.5,1218
5,7,Wig,7.2,1072
5,8,The Decision,7.3,1050
5,9,Heat Wave,7.3,1056
5,10,Goosebumps Walkaway,7.4,1059
5,11,The Apartment,7.3,986
5,12,D-Day,7.8,1034
5,13,"Sam, Again",7.1,999
5,14,300 Feet,7,1010
5,15,Jeff Day,7.1,976
5,16,Helmet,7.5,970
5,17,Road Trip,7.6,1115
5,18,A Chill Day In,8.1,1164
5,19,Dress,7.2,915
5,20,Return to Sender,7.4,929
5,21,Wedding Eve,8.2,1095
5,22,Landing Gear,8.8,1486
6,1,House Hunt,7.5,1012
6,2,Hubbedy Bubby,6.4,1242
6,3,Single and Sufficient,7.1,928
6,4,Homecoming,7.5,1150
6,5,Jaipur Aviv,7.4,909
6,6,Ready,7.2,888
6,7,Last Thanksgiving,7.1,881
6,8,James Wonder,7.3,893
6,9,Es Good,7.1,869
6,10,Christmas Eve Eve,7.5,931
6,11,Raisin's Back,7.3,881
6,12,The Cubicle,7.2,840
6,13,Cece's Boys,7.3,893
6,14,The Hike,7.4,889
6,15,Glue,7.7,901
6,16,Operation: Bobcat,7.8,911
6,17,Rumspringa,7,850
6,18,Young Adult,7.5,848
6,19,Socalyalcon VI,7.5,871
6,20,Misery,7.4,861
6,21,San Diego,8.1,954
6,22,Five Stars for Beezus,9.1,1833
7,1,About Three Years Later,7.2,1067
7,2,Tuesday Meeting,7,891
7,3,Lillypads,7.2,880
7,4,Where the Road Goes,7.4,908
7,5,Godparents,7.2,854
7,6,Mario,7.8,892
7,7,The Curse of the Pirate Bride,7.9,958
7,8,Engram Pattersky,8.3,1370
