episode_name_number,episode,imdb_rating,season,season_ep_name
"S1.E1 ∙ To You, in 2000 Years: The Fall of Shiganshina, Part 1",1,9.1,1,"S1.E1: To You, in 2000 Years: The Fall of Shiganshina, Part 1"
"S1.E2 ∙ That Day: The Fall of Shiganshina, Part 2",2,8.5,1,"S1.E2: That Day: The Fall of Shiganshina, Part 2"
"S1.E3 ∙ A Dim Light Amid Despair: Humanity's Comeback, Part 1",3,8.1,1,"S1.E3: A Dim Light Amid Despair: Humanity's Comeback, Part 1"
"S1.E4 ∙ The Night of the Closing Ceremony: Humanity's Comeback, Part 2",4,8.5,1,"S1.E4: The Night of the Closing Ceremony: Humanity's Comeback, Part 2"
"S1.E5 ∙ First Battle: The Struggle for Trost, Part 1",5,9.2,1,"S1.E5: First Battle: The Struggle for Trost, Part 1"
"S1.E6 ∙ The World the Girl Saw: The Struggle for Trost, Part 2",6,8.9,1,"S1.E6: The World the Girl Saw: The Struggle for Trost, Part 2"
"S1.E7 ∙ Small Blade: The Struggle for Trost, Part 3",7,8.9,1,"S1.E7: Small Blade: The Struggle for Trost, Part 3"
"S1.E8 ∙ I Can Hear His Heartbeat: The Struggle for Trost, Part 4",8,9.1,1,"S1.E8: I Can Hear His Heartbeat: The Struggle for Trost, Part 4"
"S1.E9 ∙ Whereabouts of His Left Arm: The Struggle for Trost, Part 5",9,8.8,1,"S1.E9: Whereabouts of His Left Arm: The Struggle for Trost, Part 5"
"S1.E10 ∙ Response: The Struggle for Trost, Part 6",10,8.3,1,"S1.E10: Response: The Struggle for Trost, Part 6"
"S1.E11 ∙ Idol: The Struggle for Trost, Part 7",11,8.3,1,"S1.E11: Idol: The Struggle for Trost, Part 7"
"S1.E12 ∙ Wound: The Struggle for Trost, Part 8",12,8.3,1,"S1.E12: Wound: The Struggle for Trost, Part 8"
"S1.E13 ∙ Primal Desire: The Struggle for Trost, Part 9",13,8.9,1,"S1.E13: Primal Desire: The Struggle for Trost, Part 9"
"S1.E14 ∙ Can't Look into His Eyes Yet: Eve of the Counterattack, Part 1",14,8.4,1,"S1.E14: Can't Look into His Eyes Yet: Eve of the Counterattack, Part 1"
"S1.E15 ∙ Special Operations Squad: Eve of the Counterattack, Part 2",15,8.1,1,"S1.E15: Special Operations Squad: Eve of the Counterattack, Part 2"
"S1.E16 ∙ What Needs to Be Done Now: Eve of the Counterattack, Part 3",16,8.2,1,"S1.E16: What Needs to Be Done Now: Eve of the Counterattack, Part 3"
"S1.E17 ∙ Female Titan: The 57th Expedition Beyond the Walls, Part 1",17,9.1,1,"S1.E17: Female Titan: The 57th Expedition Beyond the Walls, Part 1"
"S1.E18 ∙ Forest of Giant Trees: The 57th Expedition Beyond the Walls, Part 2",18,8.8,1,"S1.E18: Forest of Giant Trees: The 57th Expedition Beyond the Walls, Part 2"
"S1.E19 ∙ Bite: The 57th Exterior Scouting Mission, Part 3",19,8.9,1,"S1.E19: Bite: The 57th Exterior Scouting Mission, Part 3"
"S1.E20 ∙ Erwin Smith: The 57th Expedition Beyond the Walls, Part 4",20,9.1,1,"S1.E20: Erwin Smith: The 57th Expedition Beyond the Walls, Part 4"
"S1.E21 ∙ Crushing Blow: The 57th Exterior Scouting Mission, Part 5",21,9.5,1,"S1.E21: Crushing Blow: The 57th Exterior Scouting Mission, Part 5"
"S1.E22 ∙ The Defeated: The 57th Expedition Beyond the Walls, Part 6",22,9,1,"S1.E22: The Defeated: The 57th Expedition Beyond the Walls, Part 6"
"S1.E23 ∙ Smile: Raid on Stohess District, Part 1",23,9,1,"S1.E23: Smile: Raid on Stohess District, Part 1"
"S1.E24 ∙ Mercy: Raid on Stohess District, Part 2",24,9.1,1,"S1.E24: Mercy: Raid on Stohess District, Part 2"
"S1.E25 ∙ Wall: Raid on Stohess District, Part 3",25,9.3,1,"S1.E25: Wall: Raid on Stohess District, Part 3"
S2.E1 ∙ Beast Titan,1,9.2,2,S2.E1: Beast Titan
S2.E2 ∙ I'm Home,2,8.5,2,S2.E2: I'm Home
S2.E3 ∙ Southwestward,3,8.6,2,S2.E3: Southwestward
S2.E4 ∙ Soldier,4,9.1,2,S2.E4: Soldier
S2.E5 ∙ Historia,5,9.1,2,S2.E5: Historia
S2.E6 ∙ Warrior,6,9.7,2,S2.E6: Warrior
S2.E7 ∙ Close Combat,7,9.5,2,S2.E7: Close Combat
S2.E8 ∙ The Hunters,8,8.4,2,S2.E8: The Hunters
S2.E9 ∙ Opening,9,8.5,2,S2.E9: Opening
S2.E10 ∙ Children,10,9,2,S2.E10: Children
S2.E11 ∙ Charge,11,9.5,2,S2.E11: Charge
S2.E12 ∙ Scream,12,9.7,2,S2.E12: Scream
S3.E1 ∙ Smoke Signal,1,8.8,3,S3.E1: Smoke Signal
S3.E2 ∙ Pain,2,9.2,3,S3.E2: Pain
S3.E3 ∙ Old Story,3,8.7,3,S3.E3: Old Story
S3.E4 ∙ Trust,4,8.5,3,S3.E4: Trust
S3.E5 ∙ Reply,5,9,3,S3.E5: Reply
S3.E6 ∙ Sin,6,9.2,3,S3.E6: Sin
S3.E7 ∙ Wish,7,9.5,3,S3.E7: Wish
S3.E8 ∙ Outside the Walls of Orvud District,8,8.9,3,S3.E8: Outside the Walls of Orvud District
S3.E9 ∙ Ruler of the Walls,9,9.3,3,S3.E9: Ruler of the Walls
S3.E10 ∙ Friends,10,9.2,3,S3.E10: Friends
S3.E11 ∙ Bystander,11,9.1,3,S3.E11: Bystander
S3.E12 ∙ Night of the Battle to Retake the Wall,12,8.9,3,S3.E12: Night of the Battle to Retake the Wall
S3.E13 ∙ The Town Where Everything Began,13,9.5,3,S3.E13: The Town Where Everything Began
S3.E14 ∙ Thunder Spears,14,9.5,3,S3.E14: Thunder Spears
S3.E15 ∙ Descent,15,9.5,3,S3.E15: Descent
S3.E16 ∙ Perfect Game,16,9.8,3,S3.E16: Perfect Game
S3.E17 ∙ Hero,17,9.7,3,S3.E17: Hero
