episode_name_number,episode,imdb_rating,season,season_ep_name
S1.E1 ∙ The One Where Monica Gets a Roommate,1,8.1,1,S1.E1: The One Where Monica Gets a Roommate
S1.E2 ∙ The One with the Sonogram at the End,2,7.9,1,S1.E2: The One with the Sonogram at the End
S1.E3 ∙ The One with the Thumb,3,8,1,S1.E3: The One with the Thumb
S1.E4 ∙ The One with George Stephanopoulos,4,7.9,1,S1.E4: The One with George Stephanopoulos
S1.E5 ∙ The One with the East German Laundry Detergent,5,8.3,1,S1.E5: The One with the East German Laundry Detergent
S1.E6 ∙ The One with the Butt,6,8,1,S1.E6: The One with the Butt
S1.E7 ∙ The One with the Blackout,7,8.9,1,S1.E7: The One with the Blackout
S1.E8 ∙ The One Where Nana Dies Twice,8,7.9,1,S1.E8: The One Where Nana Dies Twice
S1.E9 ∙ The One Where Underdog Gets Away,9,8.1,1,S1.E9: The One Where Underdog Gets Away
S1.E10 ∙ The One with the Monkey,10,7.9,1,S1.E10: The One with the Monkey
S1.E11 ∙ The One with Mrs. Bing,11,8,1,S1.E11: The One with Mrs. Bing
S1.E12 ∙ The One with the Dozen Lasagnas,12,8,1,S1.E12: The One with the Dozen Lasagnas
S1.E13 ∙ The One with the Boobies,13,8.5,1,S1.E13: The One with the Boobies
S1.E14 ∙ The One with the Candy Hearts,14,8.1,1,S1.E14: The One with the Candy Hearts
S1.E15 ∙ The One with the Stoned Guy,15,8.1,1,S1.E15: The One with the Stoned Guy
S1.E16 ∙ The One with Two Parts: Part 1,16,8,1,S1.E16: The One with Two Parts: Part 1
S1.E17 ∙ The One with Two Parts: Part 2,17,8.3,1,S1.E17: The One with Two Parts: Part 2
S1.E18 ∙ The One with All the Poker,18,8.7,1,S1.E18: The One with All the Poker
S1.E19 ∙ The One Where the Monkey Gets Away,19,7.9,1,S1.E19: The One Where the Monkey Gets Away
S1.E20 ∙ The One with the Evil Orthodontist,20,7.7,1,S1.E20: The One with the Evil Orthodontist
S1.E21 ∙ The One with the Fake Monica,21,7.6,1,S1.E21: The One with the Fake Monica
S1.E22 ∙ The One with the Ick Factor,22,8.1,1,S1.E22: The One with the Ick Factor
S1.E23 ∙ The One with the Birth,23,8.6,1,S1.E23: The One with the Birth
S1.E24 ∙ The One Where Rachel Finds Out,24,8.7,1,S1.E24: The One Where Rachel Finds Out
S2.E1 ∙ The One with Ross's New Girlfriend,1,8.4,2,S2.E1: The One with Ross's New Girlfriend
S2.E2 ∙ The One with the Breast Milk,2,8,2,S2.E2: The One with the Breast Milk
S2.E3 ∙ The One Where Heckles Dies,3,8.2,2,S2.E3: The One Where Heckles Dies
S2.E4 ∙ The One with Phoebe's Husband,4,7.8,2,S2.E4: The One with Phoebe's Husband
S2.E5 ∙ The One with Five Steaks and an Eggplant,5,8.1,2,S2.E5: The One with Five Steaks and an Eggplant
S2.E6 ∙ The One with the Baby on the Bus,6,8.4,2,S2.E6: The One with the Baby on the Bus
S2.E7 ∙ The One Where Ross Finds Out,7,8.9,2,S2.E7: The One Where Ross Finds Out
S2.E8 ∙ The One with the List,8,8.3,2,S2.E8: The One with the List
S2.E9 ∙ The One with Phoebe's Dad,9,7.8,2,S2.E9: The One with Phoebe's Dad
S2.E10 ∙ The One with Russ,10,7.8,2,S2.E10: The One with Russ
S2.E11 ∙ The One with the Lesbian Wedding,11,7.9,2,S2.E11: The One with the Lesbian Wedding
S2.E12 ∙ The One After the Superbowl: Part 1,12,8.5,2,S2.E12: The One After the Superbowl: Part 1
S2.E13 ∙ The One After the Superbowl: Part 2,13,8.6,2,S2.E13: The One After the Superbowl: Part 2
