season,episode,title,rating,votes
1,1,Pilot,8.2,7301
1,2,Ghosts,7.9,5573
1,3,Mission Creep,8,5036
1,4,Cura Te Ipsum,8.3,4895
1,5,Judgement,8.2,4708
1,6,The Fix,8.5,4966
1,7,Witness,8.8,5251
1,8,Foe,8.1,4558
1,9,Get Carter,8.7,4730
1,10,Number Crunch,9,5369
1,11,Super,8.6,4548
1,12,Legacy,8.2,4134
1,13,Root Cause,8.7,4684
1,14,Wolf and Cub,8,4108
1,15,Blue Code,8.5,4184
1,16,Risk,8.3,4024
1,17,Baby Blue,8.5,4275
1,18,Identity Crisis,8.3,4012
1,19,Flesh and Blood,8.9,4588
1,20,Matsya Nyaya,8.7,4283
1,21,Many Happy Returns,9.1,4934
1,22,No Good Deed,9,4411
1,23,Firewall,9.6,8389
2,1,The Contingency,8.9,4809
2,2,Bad Code,9,4363
2,3,Masquerade,8.3,3706
2,4,Triggerman,8,3561
2,5,Bury the Lede,8.6,3859
2,6,The High Road,8.3,3496
2,7,Critical,8.3,3625
2,8,Til Death,8,3547
2,9,C.O.D.,8,3374
2,10,Shadow Box,8.7,3841
2,11,2 Pi R,8.8,4137
2,12,Prisoner's Dilemma,9.4,4981
2,13,Dead Reckoning,9.2,4348
2,14,One Percent,8.3,3455
2,15,Booked Solid,8.4,3509
2,16,Relevance,9.2,5422
2,17,Proteus,8.4,3607
2,18,All In,8.1,3272
2,19,Trojan Horse,8.6,3500
2,20,In Extremis,8.7,3626
2,21,Zero Day,9.4,4772
2,22,God Mode,9.4,5722
3,1,Liberty,8.2,3705
3,2,Nothing to Hide,8.3,3346
3,3,Lady Killer,8.5,3643
3,4,Reasonable Doubt,7.9,3456
3,5,Razgovor,9.1,4202
3,6,Mors Praematura,8.9,3853
3,7,The Perfect Mark,8.5,3497
3,8,Endgame,9.4,4969
3,9,The Crossing,9.7,8387
3,10,The Devil's Share,9.7,8171
3,11,Lethe,9.1,4036
3,12,Aletheia,9.1,3928
3,13,4C,8.8,3890
3,14,Provenance,8,3264
3,15,Last Call,8.4,3358
3,16,RAM,9.2,4367
3,17,Root Path,9,3799
3,18,Allegiance,8.1,3078
3,19,Most Likely to...,8.5,3283
3,20,Death Benefit,9.1,3833
3,21,Beta,9.2,3901
3,22,A House Divided,9.1,3783
3,23,Deus Ex Machina,9.6,7438
4,1,Panopticon,8.8,4092
4,2,Nautilus,8.8,3776
4,3,Wingman,8.4,3274
4,4,Brotherhood,8.2,3249
4,5,Prophets,9,3847
4,6,Pretenders,8.6,3431
4,7,Honor Among Thieves,8.6,3378
4,8,Point of Origin,8.6,3403
4,9,The Devil You Know,9.4,4632
4,10,The Cold War,9.1,3961
4,11,If-Then-Else,9.8,14950
4,12,Control-Alt-Delete,9.2,4208
4,13,M.I.A.,8.7,3464
4,14,Guilty,8.3,3084
4,15,Q & A,8.6,3223
4,16,Blunt,7.9,3144
4,17,Karma,8.2,2977
4,18,Skip,8.6,3434
4,19,Search and Destroy,8.7,3377
4,20,Terra Incognita,8.8,4538
4,21,Asylum,9.4,5168
4,22,YHWH,9.7,9284
5,1,B.S.O.D.,9.1,5053
5,2,SNAFU,9.1,4105
5,3,Truth Be Told,8.5,3697
5,4,"6,741",9.3,6034
5,5,ShotSeeker,8.7,3625
5,6,A More Perfect Union,8.3,3496
5,7,QSO,8.8,3696
5,8,Reassortment,8.7,3596
5,9,Sotto Voce,9.2,4158
5,10,The Day the World Went Away,9.7,7746
5,11,Synecdoche,9.2,4186
5,12,.exe,9.5,4839
5,13,Return 0,9.8,14346
