season,episode,title,rating,votes
1,1,Pilot,7.7,7158
1,2,The Tagger,7.5,5865
1,3,The Slump,7.5,5491
1,4,M.E. Time,7.6,5308
1,5,The Vulture,7.9,5163
1,6,Halloween,8.4,5821
1,7,48 Hours,8,5063
1,8,Old School,7.6,4865
1,9,Sal's Pizza,7.5,4755
1,10,Thanksgiving,8.1,4873
1,11,Christmas,8.1,4666
1,12,Pontiac Bandit,8,4723
1,13,The Bet,8.7,5317
1,14,The Ebony Falcon,7.5,4401
1,15,Operation: Broken Feather,8,4589
1,16,The Party,8.4,4808
1,17,Full Boyle,7.8,4354
1,18,The Apartment,7.5,4234
1,19,Tactical Village,8.3,4491
1,20,Fancy Brudgom,7.5,4217
1,21,Unsolvable,8,4276
1,22,Charges and Specs,8.8,5035
2,1,Undercover,8.1,4379
2,2,Chocolate Milk,7.6,4132
2,3,The Jimmy Jab Games,8.1,4319
2,4,Halloween II,8.7,4833
2,5,The Mole,8.1,4124
2,6,Jake and Sophia,8.1,4122
2,7,Lockdown,7.7,3981
2,8,USPIS,7.7,3961
2,9,The Road Trip,8.1,4098
2,10,The Pontiac Bandit Returns,8.2,4065
2,11,Stakeout,7.7,3896
2,12,Beach House,8.2,4116
2,13,Payback,7.8,3842
2,14,Defense Rests,7.6,3806
2,15,Windbreaker City,8.1,3900
2,16,The Wednesday Incident,7.9,3817
2,17,Boyle-Linetti Wedding,8.1,3916
2,18,Captain Peralta,7.7,3780
2,19,Sabotage,7.8,3745
2,20,AC/DC,7.6,3696
2,21,Det. Dave Majors,7.8,3753
2,22,The Chopper,8.5,3910
2,23,Johnny and Dora,9,5101
3,1,New Captain,8.2,4140
3,2,The Funeral,7.6,3756
3,3,Boyle's Hunch,7.7,3672
3,4,The Oolong Slayer,8.4,3932
3,5,Halloween III,8.9,4705
3,6,Into the Woods,7.6,3644
3,7,The Mattress,7.6,3625
3,8,Ava,8.1,3715
3,9,The Swedes,7.7,3739
3,10,Yippie Kayak,8.7,4204
3,11,Hostage Situation,7.6,3577
3,12,9 Days,7.9,3823
3,13,The Cruise,8,3682
3,14,Karen Peralta,7.5,3487
3,15,The 9-8,7.9,3538
3,16,House Mouses,7.7,3409
3,17,Adrian Pimento,7.7,3520
3,18,Cheddar,7.7,3513
3,19,Terry Kitties,7.6,3353
3,20,Paranoia,8.1,3442
3,21,Maximum Security,8,3447
3,22,Bureau,8.6,3710
3,23,Greg and Larry,9,4285
4,1,"Coral Palms, Part 1",8.1,3860
4,2,"Coral Palms, Part 2",8.1,3676
4,3,"Coral Palms, Part 3",8.3,3700
4,4,The Night Shift,7.5,3512
4,5,Halloween IV,8.7,4168
4,6,Monster in the Closet,7.8,3390
4,7,Mr. Santiago,8.1,3582
4,8,Skyfire Cycle,7.6,3385
4,9,The Overmining,7.9,3349
4,10,Captain Latvia,7.5,3353
4,11,"The Fugitive, Part 1",8.3,3532
4,12,"The Fugitive, Part 2",8.4,3274
4,13,The Audit,7.6,3250
4,14,Serve & Protect,7.7,3258
4,15,The Last Ride,8.2,3369
4,16,Moo Moo,8.8,5992
4,17,Cop-Con,8.2,3303
4,18,Chasing Amy,7.9,3215
4,19,Your Honor,7.8,3154
4,20,The Slaughterhouse,7.9,3152
4,21,The Bank Job,8.4,3341
4,22,Crime & Punishment,8.5,3537
5,1,The Big House Pt. 1,8.4,3805
5,2,The Big House Pt. 2,8.3,3603
5,3,Kicks,7.8,3292
5,4,HalloVeen,9.4,6802
5,5,Bad Beat,7.8,3242
5,6,The Venue,7.6,3240
5,7,Two Turkeys,8,3334
5,8,Return to Skyfire,7.4,3230
5,9,99,8.7,4042
5,10,Game Night,8.4,4104
5,11,The Favor,7.8,3186
5,12,Safe House,8.6,3729
5,13,The Negotiation,8.2,3472
5,14,The Box,9.5,10362
5,15,The Puzzle Master,7.6,3183
5,16,NutriBoom,7.7,3169
5,17,DFW,7.7,3401
5,18,Gray Star Mutual,7.8,3127
5,19,Bachelor/ette Party,8.3,3292
5,20,Show Me Going,8.2,3509
5,21,White Whale,7.8,3068
5,22,Jake & Amy,9.1,4850
6,1,Honeymoon,8.3,4088
6,2,Hitchcock & Scully,8.7,4507
6,3,The Tattler,7.5,3405
6,4,Four Movements,7.3,3650
6,5,A Tale of Two Bandits,8,3517
6,6,The Crime Scene,8.4,3808
6,7,The Honeypot,8.3,3545
6,8,"He Said, She Said",7.1,5468
6,9,The Golden Child,8,3393
6,10,Gintars,7.3,3164
6,11,The Therapist,7.9,3237
6,12,Casecation,7.5,3525
6,13,The Bimbo,7.8,3086
6,14,Ticking Clocks,8.2,3447
6,15,Return of the King,6.4,3756
6,16,Cinco de Mayo,9,4439
6,17,Sicko,8.3,3130
6,18,Suicide Squad,8.9,3974
7,1,Manhunter,7.9,3424
7,2,Captain Kim,8.1,3290
7,3,Pimemento,8.5,3611
7,4,The Jimmy Jab Games II,7.8,3174
7,5,Debbie,7.2,3357
7,6,Trying,7.7,3121
7,7,Ding Dong,8.6,3554
7,8,The Takeback,8.1,3174
7,9,Dillman,8.6,3321
7,10,Admiral Peralta,7.8,2963
7,11,Valloweaster,8.1,3243
7,12,Ransom,8.6,3395
7,13,Lights Out,9.1,4607
8,1,The Good Ones,4.9,9642
8,2,The Lake House,7.6,3868
8,3,Blue Flu,7,3584
8,4,Balancing,7.5,3255
8,5,PB&J,7.8,3439
8,6,The Set Up,6.7,3569
8,7,Game of Boyles,7.9,3222
8,8,Renewal,7.9,2986
8,9,The Last Day Pt 1,9.2,4663
8,10,The Last Day Pt 2,9.4,6194
