season,episode,title,rating,votes
1,1,Pilot,8.4,8579
1,2,Paternity,8,6372
1,3,Occam's Razor,8,5945
1,4,Maternity,8.3,5809
1,5,Damned If You Do,8,5558
1,6,The Socratic Method,8.3,5453
1,7,Fidelity,8,5272
1,8,Poison,7.9,5039
1,9,DNR,8.7,5797
1,10,Histories,8.4,5340
1,11,Detox,8.6,5316
1,12,Sports Medicine,7.8,4683
1,13,Cursed,8,4705
1,14,Control,8.5,4982
1,15,Mob Rules,7.8,4587
1,16,Heavy,8.2,4572
1,17,Role Model,8.4,4730
1,18,Babies & Bathwater,8.8,5171
1,19,Kids,8.2,4551
1,20,Love Hurts,8.1,4580
1,21,Three Stories,9.6,12320
1,22,Honeymoon,8.6,4892
2,1,Acceptance,8.3,4717
2,2,Autopsy,9.1,6794
2,3,Humpty Dumpty,7.8,4304
2,4,TB or Not TB,7.9,4337
2,5,Daddy's Boy,8,4195
2,6,Spin,7.7,4042
2,7,Hunting,8.1,4195
2,8,The Mistake,8.8,4875
2,9,Deception,8.3,4119
2,10,Failure to Communicate,8.4,4201
2,11,Need to Know,8,3996
2,12,Distractions,8.4,4168
2,13,Skin Deep,8.5,4748
2,14,Sex Kills,8.3,4041
2,15,Clueless,8.4,4079
2,16,Safe,8.6,4455
2,17,All In,8.9,5148
2,18,Sleeping Dogs Lie,8,3969
2,19,House vs. God,8.4,4387
2,20,Euphoria: Part 1,9.1,5614
2,21,Euphoria: Part 2,9.3,6241
2,22,Forever,7.9,3912
2,23,Who's Your Daddy?,7.6,3896
2,24,No Reason,9.4,7943
3,1,Meaning,8.8,4930
3,2,Cane and Able,8.3,4075
3,3,Informed Consent,8.5,4195
3,4,Lines in the Sand,8.9,5056
3,5,Fools for Love,8.2,3852
3,6,Que Será Será,8,3919
3,7,Son of Coma Guy,8.8,4929
3,8,Whac-A-Mole,7.9,3759
3,9,Finding Judas,8.4,3852
3,10,Merry Little Christmas,8.6,4048
3,11,Words and Deeds,8.4,3982
3,12,"One Day, One Room",9,7986
3,13,Needle in a Haystack,7.8,3788
3,14,Insensitive,8.6,4158
3,15,Half-Wit,8.9,5111
3,16,Top Secret,7.9,3743
3,17,Fetal Position,8.4,4052
3,18,Airborne,8.9,4847
3,19,Act Your Age,8,3663
3,20,House Training,8.1,3799
3,21,Family,8.2,3644
3,22,Resignation,8.2,3615
3,23,The Jerk,8.2,3721
3,24,Human Error,8.8,4391
4,1,Alone,8.8,4871
4,2,The Right Stuff,8.7,4295
4,3,97 Seconds,8.6,4121
4,4,Guardian Angels,8.3,3757
