season,episode,title,rating,votes
1,1,The Gang Gets Racist,8.1,6445
1,2,Charlie Wants an Abortion,8.1,5721
1,3,Underage Drinking: A National Concern,8.2,5551
1,4,Charlie Has Cancer,8,5166
1,5,Gun Fever,7.8,4900
1,6,The Gang Finds a Dead Guy,8,4798
1,7,Charlie Got Molested,8.4,5112
2,1,Charlie Gets Crippled,8.4,5042
2,2,The Gang Goes Jihad,8.5,5100
2,3,Dennis and Dee Go on Welfare,9,5923
2,4,Mac Bangs Dennis' Mom,9.2,6340
2,5,Hundred Dollar Baby,8.6,5128
2,6,The Gang Gives Back,8.3,4519
2,7,The Gang Exploits a Miracle,7.9,4237
2,8,The Gang Runs for Office,7.9,4171
2,9,Charlie Goes America All Over Everybody's Ass,8.2,4252
2,10,Dennis and Dee Get a New Dad,8.5,4335
3,1,The Gang Finds a Dumpster Baby,8.5,4616
3,2,The Gang Gets Invincible,8.6,4695
3,3,Dennis and Dee's Mom Is Dead,8.2,4059
3,4,The Gang Gets Held Hostage,8.9,4998
3,5,The Aluminum Monster vs. Fatty Magoo,7.9,4027
3,6,The Gang Solves the North Korea Situation,8.3,4096
3,7,The Gang Sells Out,8.1,3791
3,8,Frank Sets Sweet Dee on Fire,8.4,4082
3,9,Sweet Dee's Dating a Retarded Person,9.2,6045
3,10,Mac Is a Serial Killer,9,4924
3,11,Dennis Looks Like a Registered Sex Offender,8.4,3872
3,12,The Gang Gets Whacked: Part 1,8.1,3648
3,13,The Gang Gets Whacked: Part 2,8.3,3679
3,14,Bums: Making a Mess All Over the City,8.5,3913
3,15,The Gang Dances Their Asses Off,8.9,4631
4,1,Mac and Dennis: Manhunters,8.4,3980
4,2,The Gang Solves the Gas Crisis,9.1,5306
4,3,America's Next Top Paddy's Billboard Model Contest,8.3,3294
4,4,Mac's Banging the Waitress,8.5,3832
4,5,Mac & Charlie Die: Part 1,9,4388
4,6,Mac & Charlie Die: Part 2,8.5,3840
4,7,Who Pooped the Bed?,8.3,4261
4,8,Paddy's Pub: The Worst Bar in Philadelphia,8.5,3782
4,9,Dennis Reynolds: An Erotic Life,8.1,3728
4,10,Sweet Dee Has a Heart Attack,9,4871
4,11,The Gang Cracks the Liberty Bell,7.6,3934
4,12,The Gang Gets Extreme: Home Makeover Edition,8.3,3800
4,13,The Nightman Cometh,9.7,10929
5,1,The Gang Exploits the Mortgage Crisis,8.3,3709
5,2,The Gang Hits the Road,9.1,4753
5,3,The Great Recession,8,3403
5,4,The Gang Gives Frank an Intervention,8.7,4111
5,5,The Waitress Is Getting Married,8.8,4023
5,6,The World Series Defense,8.3,3429
5,7,The Gang Wrestles for the Troops,8.5,3750
5,8,Paddy's Pub: Home of the Original Kitten Mittens,8.9,4154
5,9,Mac and Dennis Break Up,8.5,3620
5,10,The D.E.N.N.I.S. System,9.3,5619
5,11,Mac and Charlie Write a Movie,8,3307
5,12,The Gang Reignites the Rivalry,8.5,3474
6,1,Mac Fights Gay Marriage,7.9,3407
6,2,Dennis Gets Divorced,7.6,3221
6,3,The Gang Buys a Boat,8.9,4267
6,4,Mac's Big Break,8.1,3297
6,5,Mac and Charlie: White Trash,8.2,3355
6,6,Mac's Mom Burns Her House Down,7.6,3107
6,7,Who Got Dee Pregnant?,9.1,4423
6,8,The Gang Gets a New Member,7.7,3167
6,9,Dee Reynolds: Shaping America's Youth,8.9,3525
6,10,Charlie Kelly: King of the Rats,8.3,3308
6,11,The Gang Gets Stranded in the Woods,8.6,3471
6,12,Dee Gives Birth,8.5,3307
6,13,A Very Sunny Christmas,9.2,6315
7,1,Frank's Pretty Woman,8.6,3980
7,2,The Gang Goes to the Jersey Shore,9.2,5045
7,3,Frank Reynolds' Little Beauties,8.5,3863
7,4,Sweet Dee Gets Audited,7.9,3229
7,5,Frank's Brother,6.9,3783
7,6,The Storm of the Century,8.2,3469
7,7,CharDee MacDennis: The Game of Games,9.2,4966
7,8,The ANTI-Social Network,8.3,3282
7,9,The Gang Gets Trapped,8.8,3980
7,10,How Mac Got Fat,7.7,3200
7,11,Thunder Gun Express,8.8,3854
7,12,The High School Reunion,8.2,3237
7,13,The High School Reunion Part 2: The Gang's Revenge,8.5,3372
8,1,Pop-Pop: The Final Solution,7.8,3178
8,2,The Gang Recycles Their Trash,8.2,2800
8,3,The Maureen Ponderosa Wedding Massacre,8.8,3935
8,4,Charlie and Dee Find Love,8.9,4074
8,5,The Gang Gets Analyzed,9,4262
8,6,Charlie's Mom Has Cancer,7.7,3100
8,7,Frank's Back in Business,8.1,3097
8,8,Charlie Rules the World,8.2,3228
8,9,The Gang Dines Out,9.1,4201
8,10,Reynolds vs. Reynolds: The Cereal Defense,9.1,4045
9,1,The Gang Broke Dee,8.8,4126
9,2,Gun Fever Too: Still Hot,8.2,3208
9,3,The Gang Tries Desperately to Win an Award,9.2,5109
9,4,Mac and Dennis Buy a Timeshare,8,3153
9,5,Mac Day,8.6,3577
9,6,The Gang Saves the Day,9,4371
9,7,The Gang Gets Quarantined,8.8,3699
9,8,Flowers for Charlie,8.8,3946
9,9,The Gang Makes Lethal Weapon 6,8.1,2824
9,10,The Gang Squashes Their Beefs,8.3,3176
10,1,The Gang Beats Boggs,8.7,4121
10,2,The Gang Group Dates,8.7,3650
10,3,Psycho Pete Returns,7.5,3171
10,4,Charlie Work,9.8,13380
10,5,The Gang Spies Like U.S.,8.2,3148
10,6,The Gang Misses the Boat,8.8,3675
10,7,Mac Kills His Dad,7.9,2906
10,8,The Gang Goes on Family Fight,9.1,4268
10,9,Frank Retires,8,2884
10,10,Ass Kickers United: Mac and Charlie Join a Cult,7.5,2976
11,1,Chardee MacDennis 2: Electric Boogaloo,8.6,3610
11,2,Frank Falls Out the Window,8,3191
11,3,The Gang Hits the Slopes,8.5,4186
11,4,Dee Made a Smut Film,7.6,3104
11,5,Mac & Dennis Move to the Suburbs,9.4,6452
11,6,Being Frank,8.3,3914
11,7,McPoyle vs. Ponderosa: The Trial of the Century,8.7,3741
11,8,Charlie Catches a Leprechaun,8.5,3329
11,9,The Gang Goes to Hell,8.4,3190
11,10,The Gang Goes to Hell: Part Two,8.4,3272
12,1,The Gang Turns Black,8.6,5543
