season,episode,title,rating,votes
1,1,The Launch,6.3,83
1,2,Episode 2,6.3,53
1,3,Episode 3,6.2,47
1,4,Episode 4,5.8,44
1,5,Episode 5,5.9,39
1,6,Unseen Bits 1,4.6,34
1,7,Episode 6,6.4,34
1,8,Episode 7,5.9,32
1,9,Episode 8,6,31
1,10,Episode 9,6.2,30
1,11,Episode 10,6.1,29
1,12,Unseen Bits 2,4.9,28
1,13,Episode 11,6.4,30
1,14,Episode 12,5.6,29
1,15,Episode 13,6.2,31
1,16,Episode 14,6.2,27
1,17,Episode 15,5.8,28
1,18,Unseen Bits 3,4.8,25
1,19,Episode 16,5.9,28
1,20,Episode 17,5.9,27
1,21,Episode 18,5.7,26
1,22,Episode 19,5.9,27
1,23,Episode 20,6.4,28
1,24,Unseen Bits 4,4.9,24
1,25,Episode 21,5.6,28
1,26,Episode 22,5.9,27
1,27,Episode 23,5.9,25
1,28,Episode 24,6.1,26
1,29,Episode 25,6,25
1,30,Unseen Bits 5,5.2,22
1,31,Episode 26,5.6,25
1,32,Episode 27,6,25
1,33,Episode 28,5.7,24
1,34,The Final,6.1,28
2,1,The Launch,6.2,47
2,2,Episode 2,5.9,28
2,3,Episode 3,5.5,25
2,4,Episode 4,5.7,23
2,5,Episode 5,5.7,23
2,6,Unseen Bits 1,4.5,22
2,7,Episode 6,5.6,21
2,8,Episode 7,5.7,21
2,9,Episode 8,5.7,22
2,10,Episode 9,5.8,22
2,11,Episode 10,5.7,23
2,12,Episode 11,5.6,21
2,13,Unseen Bits 2,4.1,19
2,14,Episode 12,5.5,22
2,15,Episode 13,5.3,22
2,16,Episode 14,5.5,22
2,17,Episode 15,5.6,24
2,18,Episode 16,5.7,23
2,19,Episode 17,5.4,21
2,20,Unseen Bits 3,4.5,19
2,21,Episode 18,5.7,20
2,22,Episode 19,5.4,21
2,23,Episode 20,5.8,20
2,24,Episode 21,5.5,20
2,25,Episode 22,5.7,23
2,26,Episode 23,5.4,20
2,27,Unseen Bits 4,4.3,18
2,28,Episode 24,5.5,21
2,29,Episode 25,5.2,20
2,30,Episode 26,5.6,20
2,31,Episode 27,5.3,20
2,32,Episode 28,5.4,20
2,33,Episode 29,5.7,21
2,34,Unseen Bits 5,4.2,19
2,35,Episode 30,5.4,21
2,36,Episode 31,5.5,19
2,37,Episode 32,5.5,21
2,38,Episode 33,5.4,18
2,39,Episode 34,5.7,20
2,40,Episode 35,5.4,18
2,41,Unseen Bits 6,4.5,16
2,42,Episode 36,5.9,18
2,43,The Final,5.5,21
2,44,Heading Home,5.9,23
3,1,The Launch,6,48
3,2,Episode 2,5.8,28
3,3,Episode 3,5.7,29
3,4,Episode 4,5.3,28
3,5,Episode 5,5.4,25
3,6,Episode 6,5.4,26
3,7,Episode 7,5.6,27
3,8,Episode 8,5.5,29
3,9,Episode 9,5.9,29
3,10,Episode 10,6.1,28
3,11,Episode 11,6,26
3,12,Episode 12,6,26
3,13,Episode 13,6.2,26
3,14,Episode 14,6.2,26
3,15,Episode 15,6.1,24
3,16,Episode 16,6.3,24
3,17,Episode 17,6.1,24
3,18,Episode 18,6.5,26
3,19,Episode 19,6.1,24
3,20,Episode 20,6,24
3,21,Episode 21,6.2,24
3,22,Episode 22,6.3,23
3,23,Episode 23,5.9,26
3,24,Episode 24,6.6,26
3,25,Episode 25,6.1,24
3,26,Episode 26,6,24
3,27,Episode 27,6.2,25
3,28,Episode 28,6.2,24
3,29,Episode 29,6.3,24
3,30,Episode 30,6.1,25
3,31,Episode 31,6.5,26
3,32,Episode 32,6.5,26
3,33,Episode 33,6.2,25
3,34,Episode 34,6.3,24
3,35,Episode 35,6.3,25
3,36,Episode 36,6.3,25
3,37,Episode 37,6.6,27
3,38,Episode 38,6,24
3,39,Episode 39,6.4,26
3,40,Episode 40,6.2,24
3,41,Episode 41,6.1,24
3,42,Episode 42,6.2,23
3,43,The Final,6.2,26
3,44,The Reunion,6.2,24
4,1,The Launch,5.7,44
4,2,Episode 2,5.4,31
4,3,Episode 3,4.7,30
4,4,Episode 4,5.1,29
4,5,Episode 5,5.3,29
4,6,Unseen Bits 1,5,27
4,7,Episode 6,5.4,26
4,8,Episode 7,5.4,28
4,9,Episode 8,5.4,28
4,10,Episode 9,5.5,27
4,11,Episode 10,5.3,26
4,12,Episode 11,5.2,25
4,13,Unseen Bits 2,4.6,22
4,14,Episode 12,5.7,25
4,15,Episode 13,5.5,26
4,16,Episode 14,5.6,25
4,17,Episode 15,5.6,25
4,18,Episode 16,5.2,25
4,19,Episode 17,5.3,27
4,20,Unseen Bits 3,4.5,23
4,21,Episode 18,5.1,25
4,22,Episode 19,5.2,25
4,23,Episode 20,5.2,25
4,24,Episode 21,5.2,26
4,25,Episode 22,5.5,26
4,26,Episode 23,5.1,25
4,27,Unseen Bits 4,4.8,22
4,28,Episode 24,5.3,25
4,29,Episode 25,5.2,26
4,30,Episode 26,5.2,25
4,31,Episode 27,5.4,26
4,32,Episode 28,5,26
4,33,Episode 29,5.2,24
4,34,Unseen Bits 5,4.4,19
4,35,Episode 30,5.1,24
4,36,Episode 31,5.1,24
4,37,Episode 32,5,24
4,38,Episode 33,5.4,25
4,39,Episode 34,5.2,24
4,40,Episode 35,5.1,24
4,41,Unseen Bits 6,4.2,19
4,42,Episode 36,5,24
4,43,Episode 37,4.8,24
4,44,Episode 38,4.9,24
4,45,Episode 39,5,25
4,46,Episode 40,5,24
4,47,Episode 41,5,25
4,48,Unseen Bits 7,4.2,19
4,49,Episode 42,5,24
4,50,Episode 43,5.3,24
4,51,Episode 44,5.1,21
4,52,Episode 45,5.1,21
4,53,Episode 46,5.2,21
4,54,Episode 47,5.2,21
4,55,Unseen Bits 8,4.4,17
4,56,Episode 48,5.6,20
4,57,The Final,5.5,24
4,58,Love Island: The Christmas Reunion,3.8,14
5,1,Episode 1,5.8,58
5,2,Episode 2,6.5,42
5,3,Episode 3,6.2,34
5,4,Episode 4,6.4,36
5,5,Episode 5,6.1,38
5,6,The Unseen Bits 1,5,22
5,7,Episode 6,5.8,33
5,8,Episode 7,6.3,35
5,9,Episode 8,6.1,31
5,10,Episode 9,6.4,32
5,11,Episode 10,6.5,33
5,12,Episode 11,6.3,31
5,13,S5 - The Unseen Bits 2,5.6,22
5,14,Episode 12,6.6,33
5,15,Episode 13,6.1,30
5,16,Episode 14,6.7,34
5,17,Episode 15,6.4,32
5,18,Episode 16,6.1,33
5,19,Episode 17,6.6,16
5,20,S5 - The Unseen Bits 3,5.8,23
5,21,Episode 18,6.8,30
5,22,Episode 19,7.4,38
5,23,Episode 20,6.4,32
5,24,Episode 21,6.8,29
5,25,Episode 22,7.1,31
5,26,Episode 23,6.5,31
5,27,S5 - The Unseen Bits 4,5.5,23
5,28,Episode 24,6.3,28
5,29,Episode 25,6.4,27
5,30,Episode 26,7.5,38
5,31,Episode 27,6.9,31
5,32,Episode 28,6.3,26
5,33,Episode 29,6,26
5,34,S5 - The Unseen Bits 5,5.9,20
5,35,Episode 30,6,27
5,36,Episode 31,5.7,29
5,37,Episode 32,6,20
5,38,Episode 33,6.2,23
5,39,Episode 34,6.1,17
5,40,Episode 35,6.1,17
5,41,Episode 36,6.6,18
5,42,Episode 37,6.4,18
5,43,Episode 38,6.1,17
5,44,Episode 39,6.2,17
5,45,Episode 40,6.3,17
5,46,Episode 41,6.3,17
5,47,Episode 42,6.3,17
5,48,Episode 43,6.3,17
5,49,Episode 44,7.5,25
5,50,Episode 45,6.4,18
5,51,Episode 46,6,16
5,52,Episode 47,6.3,17
5,53,Episode 48,6.2,17
5,54,The Final,6.5,19
6,1,Episode 1,6.4,51
6,2,Episode 2,6.3,27
6,3,Episode 3,6.2,22
6,4,Episode 4,6.4,20
6,5,Episode 5,6.2,20
6,6,Episode 6,6.4,19
6,7,Episode 7,6,19
6,8,Episode 8,6.7,22
6,9,Episode 9,6.3,20
6,10,Episode 10,6.3,21
6,11,Episode 11,6.1,19
6,12,Episode 12,6.4,20
6,13,Episode 13,6.4,16
6,14,Episode 14,5.5,14
6,15,Episode 15,5.6,14
6,16,Episode 16,5.6,14
6,17,Episode 17,5.4,14
6,18,Episode 18,5.5,14
6,19,Episode 19,5.5,15
6,20,Episode 20,5.9,15
6,21,Episode 21,5.8,15
6,22,Episode 22,5.5,14
6,23,Episode 23,6,14
6,24,Episode 24,5.8,15
6,25,Episode 25,5.5,15
6,26,Episode 26,5.9,16
6,27,Episode 27,5.5,14
6,28,Episode 28,5.8,16
6,29,Episode 29,5.9,16
6,30,Episode 30,6.6,21
6,31,Episode 31,5.5,15
6,32,Episode 32,5.5,13
6,33,Episode 33,5.5,13
6,34,Episode 34,6.2,15
6,35,Episode 35,5.6,13
6,36,The Final,5.9,16
6,37,Unseen Bits 1,5.5,12
6,38,Unseen Bits 2,5.3,11
6,39,Unseen Bits 3,5.4,11
6,40,Unseen Bits 4,5.3,11
6,41,Unseen Bits 5,5.7,11
7,1,Episode 1,6,49
7,2,Episode 2,5.6,40
7,3,Episode 3,5.7,36
7,4,Episode 4,5.9,34
7,5,Episode 5,5.6,32
7,6,Unseen Bits 1,4.3,25
7,7,Episode 6,5.4,30
7,8,Episode 7,5.6,29
7,9,Episode 8,5.7,29
7,10,Episode 9,6,28
7,11,Episode 10,6,29
7,12,Episode 11,6.1,27
7,13,Unseen Bits 2,5.3,21
7,14,Episode 12,6,28
7,15,Episode 13,5.8,26
7,16,Episode 14,5.8,28
7,17,Episode 15,5.9,29
7,18,Episode 16,5.8,29
7,19,Episode 17,6,27
7,20,Unseen Bits 3,4.6,23
7,21,Episode 18,5.7,28
7,22,Episode 19,5.9,27
7,23,Episode 20,5.7,26
7,24,Episode 21,5.6,26
7,25,Episode 22,6.3,27
7,26,Episode 23,6.5,27
7,27,Unseen Bits 4,4.9,20
7,28,Episode 24,6.1,26
7,29,Episode 25,6.4,26
7,30,Episode 26,6.2,25
7,31,Episode 27,6.2,24
7,32,Episode 28,6.4,25
7,33,Episode 29,7.5,40
7,34,Unseen Bits 5,4.9,16
7,35,Episode 30,6.3,25
7,36,Episode 31,6.1,25
7,37,Episode 32,6.2,24
7,38,Episode 33,6.4,25
7,39,Episode 34,6.2,23
7,40,Episode 35,5.9,25
7,41,Unseen Bits 6,5,17
7,42,Episode 36,5.7,24
7,43,Episode 37,6.3,22
7,44,Episode 38,6,23
7,45,Episode 39,6.2,22
7,46,Episode 40,6.2,22
7,47,Episode 41,5.7,23
7,48,Unseen Bits 7,4.8,17
7,49,Episode 42,5.7,22
7,50,Episode 43,5.7,21
7,51,Episode 44,5.7,20
7,52,Episode 45,5.6,22
7,53,Episode 46,5.7,21
7,54,Episode 47,5,23
7,55,Unseen Bits 8,3.7,16
7,56,Episode 48,5.8,22
7,57,Episode 49,4.3,26
8,1,Episode 1,5.1,46
8,2,Episode 2,5.3,31
8,3,Episode 3,5.4,29
8,4,Episode 4,5.8,32
8,5,Episode 5,5.6,28
8,6,Unseen Bits 1,5.7,12
8,7,Episode 7,5.7,17
8,8,Episode 8,5.7,17
8,9,Episode 9,5.6,18
8,10,Episode 10,5.7,17
8,11,Episode 11,5.7,18
8,12,Episode 12,5.6,18
8,13,Unseen Bits 2,6,13
8,14,Episode 14,5.4,16
8,15,Episode 15,5.2,13
8,16,Episode 16,5.4,16
8,17,Episode 17,5.5,16
8,18,Episode 18,5.6,17
8,19,Episode 19,5.4,16
8,21,Episode 21,5.5,16
8,22,Episode 22,5.3,17
8,23,Episode 23,5.3,17
8,24,Episode 24,5.4,16
8,25,Episode 25,5.6,16
8,26,Episode 26,5.5,16
8,27,Unseen Bits 4,6.4,13
8,28,Episode 28,5.8,17
8,29,Episode 29,5.9,17
8,30,Episode 30,5.9,17
8,31,Episode 31,5.6,16
8,32,Episode 32,5.6,16
8,33,Episode 33,5.6,16
8,34,Unseen Bits 5,5.6,11
8,35,Episode 35,5.6,16
8,36,Episode 36,5.9,17
8,37,Episode 37,5.6,16
8,38,Episode 38,5.6,16
8,39,Episode 39,5.4,16
8,40,Episode 40,5.4,16
8,41,Unseen Bits 6,5.8,12
8,42,Episode 42,5.5,17
8,43,Episode 43,5.4,16
8,44,Episode 44,5.5,16
8,45,Episode 45,5.4,16
8,46,Episode 46,5.6,16
8,47,Episode 47,5.7,17
8,48,Unseen Bits 7,6.2,12
8,49,Episode 49,5.6,17
8,50,Episode 50,5.7,18
8,51,Episode 51,5.5,16
8,52,Episode 52,5.4,16
8,53,Episode 53,5.5,16
8,54,Episode 54,5.4,16
8,55,Unseen Bits 8,5.1,12
8,56,Episode 56,5,18
8,57,Episode 57,4.9,15
9,1,Episode #9.1,5.8,33
9,3,Episode 3,5.6,7
9,4,Episode 4,6,7
9,5,Episode 5,5.7,7
9,6,Episode 6,5.7,7
9,7,Episode 7,5.7,7
9,8,Episode 8,5.9,7
9,9,Episode 9,5.8,6
9,10,Episode 10,6.2,6
9,11,Episode 11,5.7,6
9,12,Episode 12,6,6
9,13,Episode 13,5.8,6
9,14,Episode 14,5.7,6
9,15,Episode 15,6.2,6
9,16,Episode 16,6.3,6
9,17,Episode 17,6.3,6
9,18,Episode 18,6,6
9,19,Episode 19,5.8,6
9,20,Episode 20,6,6
9,21,Episode 21,5.8,6
9,22,Episode 22,5.8,5
9,24,Episode 23,5.6,5
9,25,Episode 25,5.6,5
9,26,Episode 26,5.8,5
9,27,Episode 27,5.6,5
9,28,Episode 28,5.8,5
9,29,Episode 29,6,5
9,30,Episode 30,5.6,5
9,31,Episode 31,5.6,5
9,32,Episode 32,5.6,5
9,33,Episode 33,5.6,5
9,34,Episode 34,5.8,5
9,35,Episode 35,5.6,5
9,36,Episode 36,6.3,6
9,37,Episode 37,5.6,5
9,38,Episode 38,5.6,5
9,39,Episode 39,5.6,5
9,40,Episode 40,5.6,5
9,41,Episode 41,5.6,5
9,42,Episode 42,5.4,5
9,43,Episode 43,5.6,5
9,44,Episode 44,5.8,5
9,45,Episode 45,5.6,5
9,46,Episode 46,5.6,5
9,47,Episode 47,5.6,5
9,49,Episode 49,5.6,5
9,50,Episode 50,5.6,5
9,51,Episode 51,5.6,5
9,52,Episode 52,5.6,5
9,57,Episode 57,4.8,5
10,1,Episode 1,7.1,22
10,2,Episode 2,6.7,15
10,3,Episode 3,6.7,14
10,4,Episode 4,6.4,15
10,5,Episode 5,6.6,14
10,6,Episode 6,5.5,13
10,7,Episode 7,6.8,14
10,8,Episode 8,6.8,14
10,9,Episode 9,7.1,15
10,10,Episode 10,6.9,15
10,11,Episode 11,6.8,14
10,12,Episode 12,6.8,14
10,13,Episode 13,5.7,13
10,14,Episode 14,6.8,13
10,15,Episode 15,6.7,14
10,16,Episode 16,6.8,13
10,17,Episode 17,6.6,15
10,18,Episode 18,6.8,14
10,19,Episode 19,7.1,23
10,20,Episode 20,6.1,15
10,21,Episode 21,6.8,14
10,22,Episode 22,6.7,12
10,23,Episode 23,6.8,14
10,24,Episode 24,6.2,13
10,25,Episode 25,6.8,13
10,26,Episode 26,6.8,12
10,27,Episode 27,5.5,12
10,28,Episode 28,6.4,13
10,29,Episode 29,6.8,12
10,30,Episode 30,6.8,12
10,31,Episode 31,6.6,5
10,32,Episode 32,6.8,5
10,33,Episode 33,6.6,5
10,45,Episode 45,6.2,5
10,46,Episode 46,5.8,5
10,49,Episode 49,5.8,5
11,1,Episode 11.1,6.2,32
11,2,Episode #11.2,6.8,14
11,3,Episode #11.3,6.7,13
11,4,Episode #11.4,6.2,13
11,5,Episode #11.5,6.2,13
11,6,Episode #11.6,5.6,13
11,7,Episode #11.7,6.3,12
11,8,Episode #11.8,5.6,14
11,9,Episode #11.9,5.6,14
11,10,Episode #11.10,5.6,14
11,11,Episode 11,7,10
11,12,Episode 12,6.7,10
11,13,Unseen Bits,6.2,9
11,14,Episode #11.14,6.6,10
11,36,Episode #11.36,6.4,10
11,37,Episode #11.37,6.3,10
11,38,Episode #11.38,6.4,10
11,39,Episode #11.39,6.6,10
11,40,Episode #11.40,6.8,9
11,41,Episode #11.41,6.6,10
11,42,Episode #11.42,6.6,9
11,43,Episode #11.43,6.3,6
11,44,Episode #11.44,6.3,6
11,45,Episode #11.45,6.2,6
11,46,Episode #11.46,6,6
11,47,Episode #11.47,6.7,6
11,48,Episode #11.48,6.6,7
11,49,Episode #11.49,6.7,9
11,50,Episode #11.50,6.9,9
11,51,Episode #11.51,6.4,7
11,52,Episode #11.52,6.9,7
11,53,Episode #11.53,6.7,7
11,54,Episode #11.54,6.2,6
11,55,Episode #11.55,6.4,7
11,56,Episode #11.56,6.1,7
11,57,Episode #11.57,6.2,12
12,1,Episode #12.1,6.8,35
12,2,Episode #12.2,6,27
12,3,Episode #12.3,6.4,26
12,4,Episode #12.4,6.3,24
12,5,Episode #12.5,6.2,22
12,6,Episode #12.6,4.4,17
12,7,Episode #12.7,6.6,21
12,8,Episode #12.8,6.3,21
12,9,Episode #12.9,6.1,23
12,10,Episode #12.10,6.5,21
12,11,Episode #12.11,6.5,20
12,12,Episode #12.12,5.9,19
12,13,Unseen Bits,4.4,13
12,14,Episode #12.14,6.1,19
12,15,Episode #12.15,5.4,21
12,16,Episode #12.16,5.9,18
12,17,Episode #12.17,5.9,19
12,18,Episode #12.18,6.2,18
12,19,Episode #12.19,6.1,18
12,20,Episode #12.20,4.8,13
12,21,Episode #12.21,6.3,18
12,22,Episode #12.22,6.1,20
12,23,Episode #12.23,5.8,19
12,24,Episode #12.24,5.4,19
12,25,Episode #12.25,5.9,17
12,26,Episode #12.26,5.5,17
12,27,Episode #12.27,3.6,11
12,28,Episode #12.28,5.9,18
12,29,Episode #12.29,5.9,18
12,30,Episode #12.30,5.4,18
12,31,Episode #12.31,6.4,16
12,32,Episode #12.32,5.9,16
12,33,Episode #12.33,6.1,17
12,34,Episode #12.34,3.3,11
12,35,Episode #12.35,5.5,17
12,36,Episode #12.36,5.5,17
12,37,Episode #12.37,6.2,16
12,38,Episode #12.38,5.3,17
12,39,Episode #12.39,5.7,17
12,40,Episode #12.40,6.1,18
12,41,Unseen Bits,3.9,9
12,42,Episode #12.42,6.4,15
12,43,Episode #12.43,6.2,16
12,44,Episode #12.44,6.1,14
12,45,Episode #12.45,6.4,14
12,46,Episode #12.46,6.5,15
12,47,Episode #12.47,7.3,18
12,48,Unseen Bits,4.2,9
12,49,Episode #12.49,6.9,14
12,50,Episode #12.50,7.4,17
12,51,Episode #12.51,7.2,13
12,52,Episode #12.52,7.2,13
12,53,Episode #12.53,7.5,17
12,54,Episode #12.54,7.3,13
12,55,Unseen Bits,5.8,6
12,56,Episode #12.56,7.5,12
12,57,Final,7.3,10
13,1,Episode #13.1,6.1,31
13,2,Episode #13.2,6.4,23
13,3,Episode #13.3,6.1,22
13,4,Episode #13.4,6.4,22
13,5,Episode #13.5,6.1,19
13,6,Unseen Bits,5.9,10
13,7,Episode #13.7,6.5,20
13,8,Episode #13.8,6.5,21
13,9,Episode #13.9,6.6,21
13,10,Episode #13.10,6.3,19
13,11,Episode #13.11,6.2,21
13,12,Episode #13.12,6.2,19
13,13,Unseen Bits,5.6,7
13,14,Episode #13.14,5.6,19
13,15,Episode #13.15,6.5,19
13,16,Episode #13.16,5.8,17
13,17,Episode #13.17,5.7,17
13,18,Episode #13.18,5.8,17
13,19,Episode #13.19,6.1,16
13,20,Unseen Bits,6.1,7
13,21,Episode #13.21,6,12
13,22,Episode #13.22,6.2,11
13,23,Episode #13.23,7.2,13
