season,episode,title,rating,votes
1,1,Pilot,7.6,2424
1,2,The Jenna Thing,7.5,1520
1,3,To Kill a Mocking Girl,7.5,1353
1,4,Can You Hear Me Now?,7.6,1266
1,5,Reality Bites Me,7.5,1228
1,6,There's No Place Like Homecoming,8.1,1235
1,7,The Homecoming Hangover,7.5,1165
1,8,"Please, Do Talk About Me When I'm Gone",7.5,1138
1,9,The Perfect Storm,7.9,1165
1,10,Keep Your Friends Close,8.2,1213
1,11,Moments Later,7.8,1111
1,12,Salt Meets Wound,7.6,1078
1,13,Know Your Frenemies,8,1233
1,14,Careful What U Wish 4,7.7,1062
1,15,"If at First You Don't Succeed, Lie, Lie Again",7.7,1065
1,16,Je Suis Une Amie,7.7,1035
1,17,The New Normal,7.7,1025
1,18,The Badass Seed,7.8,1041
1,19,A Person of Interest,8,1063
1,20,Someone to Watch Over Me,7.9,1017
1,21,Monsters in the End,8.1,1034
1,22,For Whom the Bell Tolls,8.4,1171
2,1,It's Alive,8,1169
2,2,The Goodbye Look,7.6,960
2,3,My Name Is Trouble,7.7,930
2,4,Blind Dates,8,933
2,5,The Devil You Know,7.9,933
2,6,Never Letting Go,7.9,941
2,7,Surface Tension,7.7,887
2,8,Save the Date,7.9,915
2,9,Picture This,8,917
2,10,Touched by an 'A'-ngel,7.8,899
2,11,I Must Confess,8.1,912
2,12,Over My Dead Body,8.7,1282
2,13,The First Secret,8.5,1232
2,14,"Through Many Dangers, Toils, and Snares",8.4,1053
2,15,A Hot Piece of A,8.2,976
2,16,Let the Water Hold Me Down,7.7,884
2,17,Blond Leading the Blind,7.8,883
2,18,A Kiss Before Lying,7.8,889
2,19,The Naked Truth,8.2,939
2,20,CTRL:A,8.2,913
2,21,Breaking the Code,8.1,894
2,22,Father Knows Best,7.8,876
2,23,Eye of the Beholder,7.9,880
2,24,If These Dolls Could Talk,8.5,1049
2,25,unmAsked,9,1519
3,1,It Happened 'That Night',8.1,1249
3,2,Blood Is the New Black,8,924
3,3,Kingdom of the Blind,8,875
3,4,Birds of a Feather,7.7,866
3,5,That Girl Is Poison,7.7,872
3,6,The Remains of the 'A',7.6,853
3,7,Crazy,8,859
3,8,Stolen Kisses,7.7,878
3,9,The Kahn Game,7.8,866
3,10,What Lies Beneath,7.7,831
3,11,Single Fright Female,7.8,844
3,12,The Lady Killer,8.9,1299
3,13,This Is a Dark Ride,8.9,1438
3,14,She's Better Now,8,885
3,15,Mona-Mania,7.9,829
3,16,Misery Loves Company,8.4,944
3,17,"Out of the Frying Pan, Into the Inferno",8,821
3,18,Dead to Me,7.9,809
3,19,What Becomes of the Broken-Hearted,8.1,827
3,20,Hot Water,7.9,795
3,21,"Out of Sight, Out of Mind",8,799
3,22,Will the Circle Be Unbroken?,7.7,771
3,23,I'm Your Puppet,8.2,831
3,24,A Dangerous gAme,8.6,1129
4,1,A Is for A-l-i-v-e,8.2,1249
4,2,Turn of the Shoe,7.8,796
4,3,Cat's Cradle,7.4,792
4,4,Face Time,7.7,764
4,5,Gamma Zeta Die!,7.8,775
4,6,Under the Gun,7.8,770
4,7,"Crash and Burn, Girl!",7.9,762
4,8,The Guilty Girl's Handbook,7.9,765
4,9,Into the Deep,7.8,720
4,10,The Mirror Has Three Faces,7.9,768
4,11,Bring Down the Hoe,7.8,777
4,12,"Now You See Me, Now You Don't",8.8,1313
4,13,Grave New World,8.4,1156
4,14,Who's in the Box?,7.6,813
4,15,"Love ShAck, Baby",7.8,745
4,16,Close Encounters,7.8,719
4,17,Bite Your Tongue,8.2,792
4,18,Hot for Teacher,7.9,760
4,19,Shadow Play,6.6,1286
4,20,Free Fall,8.3,832
4,21,She's Come Undone,8.1,786
4,22,Cover for Me,7.6,726
4,23,Unbridled,7.8,780
4,24,'A' Is for Answers,8.9,1295
5,1,EscApe from New York,8.2,989
5,2,Whirly Girly,7.8,786
5,3,Surfing the Aftershocks,7.4,730
5,4,Thrown from the Ride,7.2,722
5,5,Miss Me x100,8.5,995
