tconst,your_rating,personal_rank,elo,wins,losses,manual,graduated
tt0903747,10,1,1392,6,0,FALSE,TRUE
tt0417299,10,2,1389,5,1,TRUE,TRUE
tt6741278,10,3,1386,6,0,FALSE,TRUE
tt0468569,10,4,1386,6,0,FALSE,TRUE
tt0119217,10,5,1384,6,0,FALSE,TRUE
tt0111161,10,6,1370,4,2,TRUE,TRUE
tt2560140,10,7,1359,4,2,TRUE,TRUE
tt0944947,10,8,1358,5,1,TRUE,TRUE
tt7678620,10,9,1357,4,2,TRUE,TRUE
tt10986410,10,10,1357,4,2,TRUE,TRUE
tt7366338,10,11,1357,4,2,TRUE,TRUE
tt4574334,10,12,1357,5,1,FALSE,TRUE
tt1375666,10,13,1357,5,1,FALSE,TRUE
tt2861424,10,14,1336,2,4,TRUE,TRUE
tt0892769,10,15,1328,4,2,FALSE,TRUE
tt4633694,10,16,1312,6,0,TRUE,TRUE
tt9362722,10,17,1308,5,1,TRUE,TRUE
tt3890160,10,18,1307,3,3,TRUE,TRUE
tt0317705,10,19,1306,3,3,TRUE,TRUE
tt0167260,10,20,1304,2,4,TRUE,FALSE
tt0382932,10,21,1303,2,4,TRUE,TRUE
tt0118799,10,22,1303,3,3,TRUE,TRUE
tt2380307,10,23,1302,0,6,TRUE,FALSE
tt7129636,10,24,1300,0,0,FALSE,FALSE
tt5807780,10,25,1300,0,0,FALSE,FALSE
tt0322968,10,26,1300,0,0,FALSE,FALSE
tt3554580,10,27,1300,0,0,FALSE,FALSE
tt1568322,10,28,1300,0,0,FALSE,FALSE
tt0110357,10,29,1297,3,3,FALSE,TRUE
tt3581920,10,30,1296,3,3,FALSE,TRUE
tt3530232,10,31,1296,3,3,FALSE,FALSE
tt11126994,10,32,1278,2,4,FALSE,TRUE
tt5687612,10,33,1272,2,4,FALSE,TRUE
tt1865718,10,34,1272,2,4,FALSE,TRUE
tt0458254,10,35,1271,2,4,FALSE,TRUE
tt5348176,10,36,1264,2,4,FALSE,TRUE
tt0266543,10,37,1247,1,5,FALSE,TRUE
tt0115147,10,38,1244,1,5,FALSE,TRUE
tt0795176,10,39,1242,1,5,FALSE,FALSE
tt3315342,10,40,1240,1,5,FALSE,TRUE
tt2582802,10,41,1228,0,6,TRUE,FALSE
tt8503618,10,42,1216,0,6,FALSE,FALSE
tt1190634,10,43,1214,0,6,FALSE,FALSE
tt8420184,10,44,1211,0,6,FALSE,FALSE
tt1877830,9,1,1461,26,3,FALSE,FALSE
tt15239678,9,2,1334,6,0,FALSE,TRUE
tt0437745,9,3,1308,5,1,FALSE,TRUE
tt3322312,9,4,1304,5,1,FALSE,TRUE
tt8946378,9,5,1274,1,0,FALSE,FALSE
tt0120917,9,6,1274,1,0,FALSE,FALSE
tt1439629,9,7,1269,1,0,FALSE,FALSE
tt5052448,9,8,1267,1,0,FALSE,FALSE
tt0296310,9,9,1267,1,0,FALSE,FALSE
tt0496424,9,10,1267,1,0,FALSE,FALSE
tt0361748,9,11,1266,1,0,FALSE,FALSE
tt2584384,9,12,1266,1,0,FALSE,FALSE
tt5027774,9,13,1266,1,0,FALSE,FALSE
tt3032476,9,14,1266,1,0,FALSE,FALSE
tt1475582,9,15,1265,1,0,FALSE,FALSE
tt0397306,9,16,1265,1,0,FALSE,FALSE
tt0120815,9,17,1254,1,1,FALSE,FALSE
tt31193180,9,18,1250,0,0,FALSE,FALSE
tt16027074,9,19,1250,0,0,FALSE,FALSE
tt29623480,9,20,1250,0,0,FALSE,FALSE
tt0816692,9,21,1250,0,0,FALSE,FALSE
tt15435876,9,22,1250,0,0,FALSE,FALSE
tt22022452,9,23,1250,0,0,FALSE,FALSE
tt14681596,9,24,1250,0,0,FALSE,FALSE
tt16026746,9,25,1250,0,0,FALSE,FALSE
tt0110413,9,26,1250,0,0,FALSE,FALSE
tt14452776,9,27,1250,0,0,FALSE,FALSE
tt13309742,9,28,1250,0,0,FALSE,FALSE
tt15398776,9,29,1250,0,0,FALSE,FALSE
tt14681924,9,30,1250,0,0,FALSE,FALSE
tt3915174,9,31,1250,0,0,FALSE,FALSE
tt12496734,9,32,1250,0,0,FALSE,FALSE
tt4468740,9,33,1250,1,1,FALSE,FALSE
tt20723374,9,34,1250,0,0,FALSE,FALSE
tt6710474,9,35,1250,0,0,FALSE,FALSE
tt10366460,9,36,1250,0,0,FALSE,FALSE
tt0477348,9,37,1250,0,0,FALSE,FALSE
tt5580036,9,38,1250,0,0,FALSE,FALSE
tt13146488,9,39,1250,0,0,FALSE,FALSE
tt0172495,9,40,1250,0,0,FALSE,FALSE
tt10872600,9,41,1250,0,0,FALSE,FALSE
tt4729430,9,42,1250,0,0,FALSE,FALSE
tt2953050,9,43,1250,0,0,FALSE,FALSE
tt8050756,9,44,1250,0,0,FALSE,FALSE
tt5691474,9,45,1250,0,0,FALSE,FALSE
tt2883512,9,46,1250,0,0,FALSE,FALSE
tt5834204,9,47,1250,0,0,FALSE,FALSE
tt0038650,9,48,1250,0,0,FALSE,FALSE
tt0325980,9,49,1250,0,0,FALSE,FALSE
tt7658402,9,50,1250,0,0,FALSE,FALSE
tt5613056,9,51,1250,0,0,FALSE,FALSE
tt3783958,9,52,1250,0,0,FALSE,FALSE
tt4154796,9,53,1250,0,0,FALSE,FALSE
tt6524350,9,54,1250,0,0,FALSE,FALSE
tt4154756,9,55,1250,0,0,FALSE,FALSE
tt5462602,9,56,1250,0,0,FALSE,FALSE
tt2527336,9,57,1250,0,0,FALSE,FALSE
tt1125798,9,58,1250,0,0,FALSE,FALSE
tt1450746,9,59,1250,0,0,FALSE,FALSE
tt1282022,9,60,1250,0,0,FALSE,FALSE
tt1225687,9,61,1250,0,0,FALSE,FALSE
tt0928380,9,62,1250,0,0,FALSE,FALSE
tt1392190,9,63,1250,0,0,FALSE,FALSE
tt2250912,9,64,1250,0,0,FALSE,FALSE
tt0451279,9,65,1250,0,0,FALSE,FALSE
tt3183660,9,66,1250,0,0,FALSE,FALSE
tt1490017,9,67,1250,0,0,FALSE,FALSE
tt3322314,9,68,1250,0,0,FALSE,FALSE
tt2401256,9,69,1250,0,0,FALSE,FALSE
tt1431045,9,70,1250,0,0,FALSE,FALSE
tt3498820,9,71,1250,0,0,FALSE,FALSE
tt0097576,9,72,1250,0,0,FALSE,FALSE
tt0407887,9,73,1250,0,0,FALSE,FALSE
tt1533395,9,74,1250,0,0,FALSE,FALSE
tt1020990,9,75,1250,0,0,FALSE,FALSE
tt3170832,9,76,1250,0,0,FALSE,FALSE
tt2357547,9,77,1250,0,0,FALSE,FALSE
tt0082971,9,78,1250,0,0,FALSE,FALSE
tt1877832,9,79,1250,0,0,FALSE,FALSE
tt2096673,9,80,1250,0,0,FALSE,FALSE
tt0050083,9,81,1250,0,0,FALSE,FALSE
tt0852863,9,82,1250,0,0,FALSE,FALSE
tt0149460,9,83,1250,0,0,FALSE,FALSE
tt1561755,9,84,1250,0,0,FALSE,FALSE
tt1486217,9,85,1250,0,0,FALSE,FALSE
tt2980516,9,86,1250,0,0,FALSE,FALSE
tt1535109,9,87,1250,0,0,FALSE,FALSE
tt1569923,9,88,1250,0,0,FALSE,FALSE
tt2820466,9,89,1250,0,0,FALSE,FALSE
tt0169590,9,90,1250,0,0,FALSE,FALSE
tt1285016,9,91,1250,0,0,FALSE,FALSE
tt1646971,9,92,1250,0,0,FALSE,FALSE
tt2084970,9,93,1250,0,0,FALSE,FALSE
tt1049413,9,94,1250,0,0,FALSE,FALSE
