season,episode,title,rating,votes
1,1,Pilot,7.8,5258
1,2,The Night of the Comet,7.5,3695
1,3,Friday Night Bites,7.9,3328
1,4,Family Ties,7.9,3109
1,5,You're Undead to Me,8.2,3065
1,6,Lost Girls,8.4,3114
1,7,Haunted,8.2,2918
1,8,162 Candles,8.3,2932
1,9,History Repeating,8.1,2803
1,10,The Turning Point,8.3,2810
1,11,Bloodlines,8.2,2819
1,12,Unpleasantville,8.1,2684
1,13,Children of the Damned,8.3,2688
1,14,Fool Me Once,8.6,2752
1,15,A Few Good Men,8,2585
1,16,There Goes the Neighborhood,7.8,2555
1,17,Let the Right One In,8.6,2677
1,18,Under Control,8.1,2571
1,19,Miss Mystic Falls,8.3,2797
1,20,Blood Brothers,8.2,2612
1,21,Isobel,8.4,2669
1,22,Founder's Day,9.2,3849
2,1,The Return,8.9,3235
2,2,Brave New World,8.4,2506
2,3,Bad Moon Rising,8.3,2444
2,4,Memory Lane,8.1,2410
2,5,Kill or Be Killed,8.6,2422
2,6,Plan B,8.6,2417
2,7,Masquerade,9,2919
2,8,Rose,8.8,2742
2,9,Katerina,8.5,2439
2,10,The Sacrifice,8.3,2235
2,11,By the Light of the Moon,8.4,2305
2,12,The Descent,8.4,2452
2,13,Daddy Issues,8.1,2201
2,14,Crying Wolf,8,2231
2,15,The Dinner Party,8.3,2217
2,16,The House Guest,8.5,2213
2,17,Know Thy Enemy,8.3,2220
2,18,The Last Dance,8.7,2358
2,19,Klaus,8.8,2556
2,20,The Last Day,8.7,2340
2,21,The Sun Also Rises,9.1,2815
2,22,As I Lay Dying,8.9,2858
3,1,The Birthday,8.5,3021
3,2,The Hybrid,8.4,2434
3,3,The End of the Affair,8.7,2571
3,4,Disturbing Behavior,8.2,2226
3,5,The Reckoning,9.1,2845
3,6,Smells Like Teen Spirit,8.4,2270
3,7,Ghost World,8.5,2303
3,8,Ordinary People,8.7,2342
3,9,Homecoming,8.9,2611
3,10,The New Deal,8.3,2242
3,11,Our Town,8.2,2113
3,12,The Ties That Bind,8.2,2138
3,13,Bringing Out the Dead,8.6,2270
3,14,Dangerous Liaisons,8.6,2311
3,15,All My Children,8.3,2199
3,16,1912,7.7,2058
3,17,Break on Through,7.9,2001
3,18,The Murder of One,8.4,2119
3,19,Heart of Darkness,8.6,2593
3,20,Do Not Go Gentle,8.4,2170
3,21,Before Sunset,8.6,2139
3,22,The Departed,9.4,4761
4,1,Growing Pains,8.7,3467
4,2,Memorial,8.7,2546
4,3,The Rager,8.3,2174
4,4,The Five,8.3,2163
4,5,The Killer,8.2,1999
4,6,We All Go a Little Mad Sometimes,8.2,2117
4,7,My Brother's Keeper,8.7,2685
4,8,We'll Always Have Bourbon Street,8.3,2111
4,9,"O Come, All Ye Faithful",8.5,2155
4,10,After School Special,8.3,2097
4,11,Catch Me If You Can,7.9,1896
4,12,A View to a Kill,8.5,1978
4,13,Into the Wild,8,1905
4,14,Down the Rabbit Hole,8.5,1984
4,15,Stand by Me,8.6,2165
4,16,Bring It On,7.6,1924
4,17,Because the Night,8,1789
4,18,American Gothic,8.4,1917
4,19,Pictures of You,8.2,1883
4,20,The Originals,8.6,2436
4,21,She's Come Undone,8.3,1840
4,22,The Walking Dead,8.6,2031
4,23,Graduation,9.1,3042
5,1,I Know What You Did Last Summer,8.2,2725
5,2,True Lies,7.8,1885
5,3,Original Sin,8.2,1942
5,4,For Whom the Bell Tolls,8.1,1857
5,5,Monster's Ball,7.8,1754
5,6,Handle with Care,7.9,1726
5,7,Death and the Maiden,8,1724
5,8,Dead Man on Campus,7.7,1679
5,9,The Cell,8.1,1707
5,10,Fifty Shades of Grayson,7.8,1691
5,11,500 Years of Solitude,8.6,2260
5,12,The Devil Inside,7.8,1673
5,13,Total Eclipse of the Heart,7.7,1607
5,14,No Exit,7.8,1585
5,15,Gone Girl,8.6,1877
5,16,While You Were Sleeping,7.7,1605
5,17,Rescue Me,7.9,1535
5,18,Resident Evil,7.8,1608
5,19,Man on Fire,7.8,1500
5,20,What Lies Beneath,7.6,1495
5,21,Promised Land,8.5,1809
5,22,Home,8.9,2663
6,1,I'll Remember,7.7,1987
6,2,Yellow Ledbetter,8.3,1822
6,3,Welcome to Paradise,7.8,1645
6,4,Black Hole Sun,7.9,1581
6,5,The World Has Turned and Left Me Here,8.6,1860
6,6,"The More You Ignore Me, the Closer I Get",7.9,1595
6,7,Do You Remember the First Time?,8.1,1675
6,8,Fade Into You,8.2,1537
6,9,I Alone,8,1453
6,10,Christmas Through Your Eyes,7.9,1486
6,11,Woke Up with a Monster,7.9,1495
6,12,Prayer for the Dying,8.1,1458
6,13,The Day I Tried to Live,8,1451
6,14,Stay,8.3,1632
6,15,Let Her Go,8.7,1832
6,16,The Downward Spiral,8.4,1747
6,17,A Bird in a Gilded Cage,8,1447
6,18,I Could Never Love Like That,7.7,1399
6,19,Because,7.9,1386
6,20,I'd Leave My Happy Home for You,7.9,1411
6,21,I'll Wed You in the Golden Summertime,8.5,1654
6,22,I'm Thinking of You All the While,8.8,2271
7,1,"Day One of Twenty-Two Thousand, Give or Take",8.1,1750
7,2,Never Let Me Go,7.9,1426
7,3,Age of Innocence,7.9,1376
7,4,I Carry Your Heart with Me,8,1377
7,5,Live Through This,8.1,1336
7,6,Best Served Cold,8,1318
7,7,Mommie Dearest,8.1,1294
7,8,"Hold Me, Thrill Me, Kiss Me, Kill Me",8.1,1321
7,9,Cold as Ice,8.1,1357
7,10,Hell Is Other People,8.7,1802
7,11,Things We Lost in the Fire,7.7,1269
7,12,Postcards from the Edge,7.9,1246
7,13,This Woman's Work,8.3,1287
7,14,Moonlight on the Bayou,8.6,1457
7,15,I Would for You,8.2,1236
7,16,Days of Future Past,7.8,1329
7,17,I Went to the Woods,8.1,1275
7,18,One Way or Another,7.7,1149
7,19,Somebody That I Used to Know,7.6,1159
7,20,Kill 'Em All,7.7,1143
7,21,Requiem for a Dream,8,1200
7,22,Gods and Monsters,8.1,1385
8,1,"Hello, Brother",8.2,1877
8,2,Today Will Be Different,7.8,1381
8,3,You Decided That I Was Worth Saving,7.9,1319
8,4,An Eternity of Misery,7.9,1288
8,5,Coming Home Was a Mistake,7.7,1235
8,6,Detoured on Some Random Backwoods Path to Hell,7.9,1244
8,7,"The Next Time I Hurt Somebody, It Could Be You",7.8,1240
8,8,We Have History Together,7.5,1241
8,9,The Simple Intimacy of the Near Touch,7.8,1199
8,10,Nostalgia's a Bitch,8.5,1461
8,11,You Made a Choice to Be Good,8.9,1823
8,12,What Are You?,8.1,1265
8,13,The Lies Will Catch Up to You,8,1241
8,14,It's Been a Hell of a Ride,8.7,1563
8,15,We're Planning a June Wedding,8.7,1603
8,16,I Was Feeling Epic,9.3,4869
