season,episode,title,rating,votes
1,1,Pilot,8.7,6111
1,2,The Will,8,4167
1,3,The Foot,8.3,3963
1,4,Familia,8.3,3833
1,5,An Open Book,8.2,3630
1,6,The Room,8.6,3784
1,7,Brotherhood,7.9,3373
1,8,Crossroads,8,3257
1,9,Life's Too Short,8.5,3397
1,10,The New Person,8.3,3167
1,11,The Trip,8.3,3146
1,12,A Private Life,8.9,3574
1,13,"Knock, Knock",8.7,3417
2,1,In the Game,8.3,3048
2,2,"Out, Out, Brief Candle",8.2,2809
2,3,The Plan,8.2,2744
2,4,Driving Mr. Mossback,8.4,2800
2,5,The Invisible Woman,8.4,2750
2,6,In Place of Anger,8.1,2601
2,7,Back to the Garden,8,2639
2,8,It's the Most Wonderful Time of the Year,9,3299
2,9,Someone Else's Eyes,7.9,2584
2,10,The Secret,8.1,2562
2,11,The Liar and the Whore,8.3,2549
2,12,I'll Take You,9,3121
2,13,The Last Time,9.2,3407
3,1,Perfect Circles,8.2,2853
3,2,You Never Know,7.8,2449
3,3,The Eye Inside,7.7,2418
3,4,Nobody Sleeps,8.6,2769
3,5,The Trap,7.8,2377
3,6,Making Love Work,7.9,2475
3,7,Timing & Space,8,2384
3,8,"Tears, Bones and Desire",7.8,2399
3,9,The Opening,8,2319
3,10,Everyone Leaves,8.4,2448
3,11,Death Works Overtime,8.9,2748
3,12,Twilight,8.5,2487
3,13,"I'm Sorry, I'm Lost",9.2,3526
4,1,Falling into Place,9.1,3484
4,2,In Case of Rapture,7.7,2312
4,3,Parallel Play,8,2387
4,4,Can I Come Up Now?,7.7,2270
4,5,That's My Dog,8.8,3855
4,6,Terror Starts at Home,8.3,2379
4,7,The Dare,7.9,2264
4,8,Coming and Going,7.9,2253
4,9,Grinding the Corn,7.6,2259
4,10,The Black Forest,7.6,2209
4,11,Bomb Shelter,8,2239
4,12,Untitled,9.1,3240
5,1,A Coat of White Primer,8.5,2615
5,2,Dancing for Me,7.9,2425
5,3,Hold My Hand,8.2,2345
5,4,Time Flies,8.7,2727
5,5,Eat a Peach,8.1,2316
5,6,The Rainbow of Her Reasons,8.5,2507
5,7,The Silence,8,2349
5,8,Singing for Our Lives,8.7,2658
5,9,Ecotone,9.6,4842
5,10,All Alone,9.7,6835
5,11,Static,9.1,3795
5,12,Everyone's Waiting,9.9,19619
