episode_name_number,episode,imdb_rating,season,season_ep_name
S1.E1 ∙ The Launch,1,6.4,1,S1.E1: The Launch
S1.E2 ∙ Episode 2,2,6.6,1,S1.E2: Episode 2
S1.E3 ∙ Episode 3,3,6.6,1,S1.E3: Episode 3
S1.E4 ∙ Episode 4,4,6.1,1,S1.E4: Episode 4
S1.E5 ∙ Episode 5,5,6.2,1,S1.E5: Episode 5
S1.E6 ∙ Unseen Bits 1,6,5.2,1,S1.E6: Unseen Bits 1
S1.E7 ∙ Episode 6,7,6.9,1,S1.E7: Episode 6
S1.E8 ∙ Episode 7,8,6.5,1,S1.E8: Episode 7
S1.E9 ∙ Episode 8,9,6.7,1,S1.E9: Episode 8
S1.E10 ∙ Episode 9,10,6.8,1,S1.E10: Episode 9
S1.E11 ∙ Episode 10,11,6.7,1,S1.E11: Episode 10
S1.E12 ∙ Unseen Bits 2,12,5.4,1,S1.E12: Unseen Bits 2
S1.E13 ∙ Episode 11,13,7.2,1,S1.E13: Episode 11
S1.E14 ∙ Episode 12,14,6.1,1,S1.E14: Episode 12
S1.E15 ∙ Episode 13,15,6.8,1,S1.E15: Episode 13
S1.E16 ∙ Episode 14,16,7,1,S1.E16: Episode 14
S1.E17 ∙ Episode 15,17,6.5,1,S1.E17: Episode 15
S1.E18 ∙ Unseen Bits 3,18,5.3,1,S1.E18: Unseen Bits 3
S1.E19 ∙ Episode 16,19,6.6,1,S1.E19: Episode 16
S1.E20 ∙ Episode 17,20,6.6,1,S1.E20: Episode 17
S1.E21 ∙ Episode 18,21,6.4,1,S1.E21: Episode 18
S1.E22 ∙ Episode 19,22,6.6,1,S1.E22: Episode 19
S1.E23 ∙ Episode 20,23,7.1,1,S1.E23: Episode 20
S1.E24 ∙ Unseen Bits 4,24,5.4,1,S1.E24: Unseen Bits 4
S1.E25 ∙ Episode 21,25,6.2,1,S1.E25: Episode 21
S1.E26 ∙ Episode 22,26,6.6,1,S1.E26: Episode 22
S1.E27 ∙ Episode 23,27,6.6,1,S1.E27: Episode 23
S1.E28 ∙ Episode 24,28,6.9,1,S1.E28: Episode 24
S1.E29 ∙ Episode 25,29,6.8,1,S1.E29: Episode 25
