episode_name_number,episode,imdb_rating,season,season_ep_name
S1.E1 ∙ Pilot,1,8.7,1,S1.E1: Pilot
S1.E2 ∙ The Will,2,8,1,S1.E2: The Will
S1.E3 ∙ The Foot,3,8.3,1,S1.E3: The Foot
S1.E4 ∙ Familia,4,8.3,1,S1.E4: Familia
S1.E5 ∙ An Open Book,5,8.3,1,S1.E5: An Open Book
S1.E6 ∙ The Room,6,8.6,1,S1.E6: The Room
S1.E7 ∙ Brotherhood,7,8,1,S1.E7: Brotherhood
S1.E8 ∙ Crossroads,8,8,1,S1.E8: Crossroads
S1.E9 ∙ Life's Too Short,9,8.5,1,S1.E9: Life's Too Short
S1.E10 ∙ The New Person,10,8.3,1,S1.E10: The New Person
S1.E11 ∙ The Trip,11,8.3,1,S1.E11: The Trip
S1.E12 ∙ A Private Life,12,8.8,1,S1.E12: A Private Life
"S1.E13 ∙ Knock, Knock",13,8.7,1,"S1.E13: Knock, Knock"
S2.E1 ∙ In the Game,1,8.3,2,S2.E1: In the Game
"S2.E2 ∙ Out, Out, Brief Candle",2,8.2,2,"S2.E2: Out, Out, Brief Candle"
S2.E3 ∙ The Plan,3,8.2,2,S2.E3: The Plan
S2.E4 ∙ Driving Mr. Mossback,4,8.4,2,S2.E4: Driving Mr. Mossback
S2.E5 ∙ The Invisible Woman,5,8.4,2,S2.E5: The Invisible Woman
S2.E6 ∙ In Place of Anger,6,8.1,2,S2.E6: In Place of Anger
S2.E7 ∙ Back to the Garden,7,8,2,S2.E7: Back to the Garden
S2.E8 ∙ It's the Most Wonderful Time of the Year,8,9,2,S2.E8: It's the Most Wonderful Time of the Year
S2.E9 ∙ Someone Else's Eyes,9,7.9,2,S2.E9: Someone Else's Eyes
S2.E10 ∙ The Secret,10,8.1,2,S2.E10: The Secret
S2.E11 ∙ The Liar and the Whore,11,8.3,2,S2.E11: The Liar and the Whore
S2.E12 ∙ I'll Take You,12,8.9,2,S2.E12: I'll Take You
S2.E13 ∙ The Last Time,13,9.2,2,S2.E13: The Last Time
S3.E1 ∙ Perfect Circles,1,8.2,3,S3.E1: Perfect Circles
S3.E2 ∙ You Never Know,2,7.8,3,S3.E2: You Never Know
S3.E3 ∙ The Eye Inside,3,7.8,3,S3.E3: The Eye Inside
S3.E4 ∙ Nobody Sleeps,4,8.6,3,S3.E4: Nobody Sleeps
S3.E5 ∙ The Trap,5,7.9,3,S3.E5: The Trap
S3.E6 ∙ Making Love Work,6,7.9,3,S3.E6: Making Love Work
S3.E7 ∙ Timing & Space,7,8,3,S3.E7: Timing & Space
"S3.E8 ∙ Tears, Bones and Desire",8,7.9,3,"S3.E8: Tears, Bones and Desire"
S3.E9 ∙ The Opening,9,8,3,S3.E9: The Opening
S3.E10 ∙ Everyone Leaves,10,8.4,3,S3.E10: Everyone Leaves
S3.E11 ∙ Death Works Overtime,11,8.8,3,S3.E11: Death Works Overtime
S3.E12 ∙ Twilight,12,8.4,3,S3.E12: Twilight
"S3.E13 ∙ I'm Sorry, I'm Lost",13,9.2,3,"S3.E13: I'm Sorry, I'm Lost"
S4.E1 ∙ Falling into Place,1,9,4,S4.E1: Falling into Place
S4.E2 ∙ In Case of Rapture,2,7.8,4,S4.E2: In Case of Rapture
S4.E3 ∙ Parallel Play,3,8,4,S4.E3: Parallel Play
S4.E4 ∙ Can I Come Up Now?,4,7.7,4,S4.E4: Can I Come Up Now?
S4.E5 ∙ That's My Dog,5,8.8,4,S4.E5: That's My Dog
S4.E6 ∙ Terror Starts at Home,6,8.3,4,S4.E6: Terror Starts at Home
S4.E7 ∙ The Dare,7,7.9,4,S4.E7: The Dare
S4.E8 ∙ Coming and Going,8,8,4,S4.E8: Coming and Going
S4.E9 ∙ Grinding the Corn,9,7.7,4,S4.E9: Grinding the Corn
S4.E10 ∙ The Black Forest,10,7.7,4,S4.E10: The Black Forest
S4.E11 ∙ Bomb Shelter,11,8,4,S4.E11: Bomb Shelter
S4.E12 ∙ Untitled,12,9.1,4,S4.E12: Untitled
S5.E1 ∙ A Coat of White Primer,1,8.4,5,S5.E1: A Coat of White Primer
S5.E2 ∙ Dancing for Me,2,8,5,S5.E2: Dancing for Me
S5.E3 ∙ Hold My Hand,3,8.2,5,S5.E3: Hold My Hand
S5.E4 ∙ Time Flies,4,8.7,5,S5.E4: Time Flies
S5.E5 ∙ Eat a Peach,5,8.1,5,S5.E5: Eat a Peach
S5.E6 ∙ The Rainbow of Her Reasons,6,8.5,5,S5.E6: The Rainbow of Her Reasons
S5.E7 ∙ The Silence,7,8,5,S5.E7: The Silence
S5.E8 ∙ Singing for Our Lives,8,8.7,5,S5.E8: Singing for Our Lives
S5.E9 ∙ Ecotone,9,9.5,5,S5.E9: Ecotone
S5.E10 ∙ All Alone,10,9.6,5,S5.E10: All Alone
S5.E11 ∙ Static,11,9.1,5,S5.E11: Static
S5.E12 ∙ Everyone's Waiting,12,9.9,5,S5.E12: Everyone's Waiting
