season,episode,title,rating,votes
1,1,In Treacherous Waters,7,2676
1,2,...And Be a Villain,7.7,2298
1,3,Kiss of the Catwoman,7.7,2139
1,4,The Night of the Hunters,7.8,1994
1,5,The Stress of Her Regard,7.3,2017
1,6,Night Ride,7,1855
1,7,Moving Target,7.5,1771
1,8,Nocturne,7.4,1729
1,9,The Killer Inside Me,8.3,1708
1,10,Savage Night,8.4,1752
2,1,Brute Force,7.5,349
2,2,Rocket's Red Glare,7.4,261
2,3,Deep Cover,8.2,241
2,4,The Devil's Due,7.7,199
2,5,The Spectral Hand,7.8,180
2,6,Sudden Fear,8.1,171
2,7,Her Dark Reflection,8.1,161
2,8,Zero Hour,7.7,147
2,9,Dead Before Dawn,8.4,145
2,10,The Laughing Death,8.4,153
