season,episode,title,rating,votes
1,1,Pilot,7.8,11362
1,2,Biscuits,8.1,10140
1,3,Trent Crimm: The Independent,8.5,10191
1,4,For the Children,8.2,9793
1,5,Tan Lines,8.9,10310
1,6,Two Aces,8.5,9377
1,7,Make Rebecca Great Again,9,10782
1,8,The Diamond Dogs,8.7,9505
1,9,All Apologies,8.6,8843
1,10,The Hope That Kills You,9.1,10680
2,1,Goodbye Earl,7.6,9027
2,2,Lavender,8,8297
2,3,Do the Right-est Thing,8.4,9056
2,4,Carol of the Bells,8.6,11036
2,5,Rainbow,8.9,9970
2,6,The Signal,8.6,8231
2,7,Headspace,7.7,7825
2,8,Man City,9,10535
2,9,Beard After Hours,6.9,17587
2,10,No Weddings and a Funeral,8.5,9718
2,11,Midnight Train to Royston,8.2,7639
2,12,Inverting the Pyramid of Success,8.8,8790
3,1,Smells Like Mean Spirit,7.7,8280
3,2,(I Don't Want to Go to) Chelsea,8.2,7773
3,3,4-5-1,7.8,7683
3,4,Big Week,8.1,7227
3,5,Signs,7.2,7783
3,6,Sunflowers,8.9,13925
3,7,The Strings That Bind Us,8.3,9031
3,8,We'll Never Have Paris,6.7,8782
3,9,La Locker Room Aux Folles,8.5,8877
3,10,International Break,8.5,8663
3,11,Mom City,9.3,12537
3,12,"So Long, Farewell",9.4,15451
