season,episode,title,rating,votes
1,1,Chapter One: Make Your Mark,8.1,7738
1,2,Chapter Two: Use It,7.6,6563
1,3,Chapter Three: Make the Unsafe Choice,7.8,6142
1,4,Chapter Four: Commit... to YOU,7.6,5876
1,5,Chapter Five: Do Your Job,8.2,5912
1,6,"Chapter Six: Listen with Your Ears, React with Your Face",8.3,5961
1,7,"Chapter Seven: Loud, Fast, and Keep Going",9.3,8140
1,8,Chapter Eight: Know Your Truth,8.9,6880
2,1,"The Show Must Go On, Probably?",8.2,5677
2,2,The Power of No,7.8,5362
2,3,Past = Present x Future Over Yesterday,8.4,5513
2,4,What?!,9.1,6550
2,5,ronny/lily,9.7,18042
2,6,The Truth Has a Ring to It,8.4,5274
2,7,The Audition,9,5923
2,8,berkman > block,9.3,7261
3,1,forgiving jeff,8.4,5578
3,2,limonada,8.6,5385
3,3,ben mendelsohn,7.7,4756
3,4,all the sauces,8.6,5035
3,5,crazytimesh*tshow,8.4,4847
3,6,710N,9.4,7098
3,7,candy asses,8.6,4964
3,8,starting now,9.5,8054
4,1,yikes,8.3,5127
4,2,bestest place on the earth,8.3,4933
4,3,you're charming,9,5726
4,4,it takes a psycho,9.1,6209
4,5,tricky legacies,7.4,5726
4,6,the wizard,8.2,4919
4,7,a nice meal,8.6,5001
4,8,wow,8.8,8602
