season,episode,title,rating,votes
1,1,Tourist Trapped,8.2,6352
1,2,The Legend of the Gobblewonker,7.7,5773
1,3,Headhunters,7.9,5468
1,4,The Hand That Rocks the Mabel,7.6,5235
1,5,The Inconveniencing,8.5,5364
1,6,Dipper vs. Manliness,7.7,5123
1,7,Double Dipper,8.6,5283
1,8,Irrational Treasure,8.1,4934
1,9,The Time Traveler's Pig,9,5449
1,10,Fight Fighters,8.5,5030
1,11,Little Dipper,7.8,4692
1,12,Summerween,8.6,5081
1,13,Boss Mabel,7.7,4674
1,14,Bottomless Pit!,8,4697
1,15,The Deep End,7.6,4655
1,16,Carpet Diem,8.5,4665
1,17,Boyz Crazy,7.2,4695
1,18,Land Before Swine,8.3,4576
1,19,Dreamscaperers,9.3,5479
1,20,Gideon Rises,9.3,5411
2,1,Scary-oke,8.8,5026
2,2,Into the Bunker,9.3,5381
2,3,The Golf War,8.1,4677
2,4,Sock Opera,8.7,4945
2,5,Soos and the Real Girl,8.6,4814
2,6,Little Gift Shop of Horrors,7.7,4499
2,7,Society of the Blind Eye,9.2,5186
2,8,Blendin's Game,9,4872
2,9,The Love God,7.5,4475
2,10,Northwest Mansion Mystery,9.2,5666
2,11,Not What He Seems,9.8,11035
2,12,A Tale of Two Stans,9.6,6709
2,13,"Dungeons, Dungeons, and More Dungeons",8.3,4539
2,14,The Stanchurian Candidate,8,4346
2,15,The Last Mabelcorn,8.8,4711
2,16,Roadside Attraction,7.8,4454
2,17,Dipper and Mabel vs. the Future,9.3,5391
2,18,Weirdmageddon Part 1,9.5,5996
2,19,Weirdmageddon 2: Escape from Reality,9.4,5593
2,20,Weirdmageddon 3: Take Back the Falls,9.7,11263
2,21,Weirdmageddon 4: Somewhere in the Woods,9.8,8081
