season,episode,title,rating,votes
1,1,Pilot,8.4,8539
1,2,Purple Giraffe,8,6612
1,3,The Sweet Taste of Liberty,8,6281
1,4,Return of the Shirt,7.8,5897
1,5,Okay Awesome,8.1,6005
1,6,The Slutty Pumpkin,7.9,5836
1,7,Matchmaker,7.5,5513
1,8,The Duel,8,5470
1,9,Belly Full of Turkey,7.9,5447
1,10,The Pineapple Incident,9.1,8090
1,11,The Limo,8.2,5748
1,12,The Wedding,8,5324
1,13,"Drumroll, Please",8.7,6061
1,14,"Zip, Zip, Zip",8.1,5219
1,15,Game Night,9,6761
1,16,Cupcake,7.7,4983
1,17,Life Among the Gorillas,7.5,4943
1,18,Nothing Good Happens After 2 AM,8.3,5467
1,19,Mary the Paralegal,8.7,5761
1,20,Best Prom Ever,7.7,4907
1,21,Milk,7.9,4959
1,22,Come On,8.8,5998
2,1,Where Were We?,8,4911
2,2,The Scorpion and the Toad,8.1,4774
2,3,Brunch,8.4,4982
2,4,"Ted Mosby, Architect",8.7,5491
2,5,World's Greatest Couple,8.7,5320
2,6,Aldrin Justice,8,4771
2,7,Swarley,8.9,6357
2,8,Atlantic City,7.8,4685
2,9,Slap Bet,9.4,9298
2,10,Single Stamina,8,4739
2,11,How Lily Stole Christmas,7.9,4717
2,12,First Time in New York,8,4775
2,13,Columns,7.7,4440
2,14,Monday Night Football,8.3,4779
2,15,Lucky Penny,8.3,4693
2,16,Stuff,8.3,4896
2,17,"Arrivederci, Fiero",8.1,4722
2,18,Moving Day,7.9,4400
2,19,Bachelor Party,8.3,4663
2,20,Showdown,8.8,5113
2,21,Something Borrowed,8.7,4868
2,22,Something Blue,8.7,4957
3,1,Wait for It,8.1,4766
3,2,We're Not from Here,7.5,4313
3,3,Third Wheel,8,4511
3,4,Little Boys,7.5,4286
3,5,How I Met Everyone Else,8.9,5826
3,6,I'm Not That Guy,7.9,4240
3,7,Dowisetrepla,7.8,4294
3,8,Spoiler Alert,9,5957
3,9,Slapsgiving,8.9,5576
3,10,The Yips,7.8,4342
3,11,The Platinum Rule,8.4,4530
3,12,No Tomorrow,8,4372
3,13,Ten Sessions,8.7,5129
3,14,The Bracket,8.6,4626
3,15,The Chain of Screaming,7.8,4193
3,16,Sandcastles in the Sand,8.1,4585
3,17,The Goat,8.1,4259
3,18,Rebound Bro,7.9,4163
3,19,Everything Must Go,7.5,4136
3,20,Miracles,8.5,4574
4,1,Do I Know You?,8.5,4694
4,2,The Best Burger in New York,8.4,5051
4,3,I Heart NJ,7.5,4154
4,4,Intervention,8.7,4927
4,5,Shelter Island,8.2,4388
4,6,Happily Ever After,7.9,4179
4,7,Not a Father's Day,7.6,4061
4,8,Woooo!,7.9,4286
4,9,The Naked Man,9.1,6655
4,10,The Fight,8.2,4312
4,11,Little Minnesota,8,4238
4,12,Benefits,8.5,4536
4,13,Three Days of Snow,8.4,4501
4,14,The Possimpible,8.2,4277
4,15,The Stinsons,8.2,4402
4,16,"Sorry, Bro",7.6,4154
4,17,The Front Porch,8.2,4357
4,18,Old King Clancy,7.4,3978
4,19,Murtaugh,8.3,4290
4,20,Mosbius Designs,7.4,4016
4,21,The Three Days Rule,8.6,4496
4,22,Right Place Right Time,8.1,4162
4,23,As Fast as She Can,7.5,4046
4,24,The Leap,8.6,4687
5,1,Definitions,8.4,4464
5,2,Double Date,8,4101
5,3,Robin 101,8.2,4264
5,4,The Sexless Innkeeper,7.8,4300
5,5,Duel Citizenship,7.6,4057
5,6,Bagpipes,7.6,3913
5,7,The Rough Patch,7.6,4124
5,8,The Playbook,9.3,8225
5,9,Slapsgiving 2: Revenge of the Slap,7.8,4253
5,10,The Window,8,4164
5,11,Last Cigarette Ever,7.7,4350
5,12,Girls vs. Suits,9,6689
5,13,Jenkins,8.5,4548
5,14,Perfect Week,8.7,4897
5,15,Rabbit or Duck,7.9,4054
5,16,Hooked,7.6,3977
5,17,Of Course,8.2,4434
5,18,Say Cheese,8.1,4105
5,19,Zoo or False,7.4,3972
5,20,Home Wreckers,7.7,3981
5,21,Twin Beds,7.6,3881
5,22,Robots vs. Wrestlers,8.1,4113
5,23,The Wedding Bride,7.9,4290
5,24,Doppelgangers,8.3,4201
6,1,Big Days,8,4214
6,2,Cleaning House,8.2,4366
6,3,Unfinished,7.6,3907
6,4,Subway Wars,8.5,4595
6,5,Architect of Destruction,7.6,3824
6,6,Baby Talk,7.5,3839
6,7,Canning Randy,7.5,3774
6,8,Natural History,8,3976
6,9,Glitter,8.4,4552
6,10,Blitzgiving,9,6138
6,11,The Mermaid Theory,7.8,3975
6,12,False Positive,8.1,4000
6,13,Bad News,8.9,5955
6,14,Last Words,8.6,4867
6,15,Oh Honey,8.7,5111
6,16,Desperation Day,7.9,3866
6,17,Garbage Island,7.5,3675
6,18,A Change of Heart,8.1,3994
6,19,Legendaddy,8.2,4287
6,20,The Exploding Meatball Sub,7.5,3672
6,21,Hopeless,7.7,3692
6,22,The Perfect Cocktail,7.7,3730
6,23,Landmarks,7.6,3644
6,24,Challenge Accepted,8.4,4200
7,1,The Best Man,8.4,4950
7,2,The Naked Truth,7.9,4093
7,3,Ducky Tie,8.8,5295
7,4,The Stinson Missile Crisis,7.9,3938
7,5,Field Trip,7.3,3743
7,6,Mystery vs. History,7.6,3913
7,7,Noretta,7.6,3895
7,8,The Slutty Pumpkin Returns,7.2,3988
7,9,Disaster Averted,8.2,4174
7,10,Tick Tick Tick,8.9,5962
7,11,The Rebound Girl,7.8,3961
7,12,Symphony of Illumination,8.7,5260
7,13,Tailgate,7.7,3958
7,14,46 Minutes,7.5,4009
7,15,The Burning Beekeeper,7.3,4327
7,16,The Drunk Train,7.9,4024
7,17,No Pressure,8.3,4308
7,18,Karma,7.8,3821
7,19,The Broath,8.5,4337
7,20,Trilogy Time,8.5,4297
7,21,Now We're Even,7.8,3668
7,22,Good Crazy,7.6,3557
7,23,The Magician's Code: Part 1,8.4,4222
7,24,The Magician's Code: Part 2,8.7,4837
8,1,Farhampton,8.4,5839
8,2,The Pre-Nup,7.3,4162
8,3,Nannies,7.2,3880
8,4,Who Wants to Be a Godparent,7.4,4051
8,5,The Autumn of Breakups,7.3,3985
8,6,Splitsville,7.4,3752
8,7,The Stamp Tramp,7.2,3675
8,8,Twelve Horny Women,7.3,3755
8,9,Lobster Crawl,7.3,3697
8,10,The Over-Correction,7.9,3878
8,11,The Final Page: Part One,8.4,4551
8,12,The Final Page: Part Two,9.3,8533
8,13,Band or DJ?,7.7,3903
8,14,Ring Up!,7.7,3869
8,15,P.S. I Love You,8.1,4407
8,16,Bad Crazy,7.4,3686
8,17,The Ashtray,7.7,3809
8,18,Weekend at Barney's,7.9,4011
8,19,The Fortress,7.8,3735
8,20,The Time Travelers,8.4,6206
8,21,Romeward Bound,7.2,3621
8,22,The Bro Mitzvah,8.7,4986
8,23,Something Old,7.4,3864
8,24,Something New,8.7,5291
