season,episode,title,rating,votes
1,1,Uno,8.4,35550
1,2,Mijo,8.9,33639
1,3,Nacho,8.6,29133
1,4,Hero,8.3,27363
1,5,Alpine Shepherd Boy,8,27127
1,6,Five-O,9.4,37994
1,7,Bingo,8.6,25402
1,8,RICO,8.6,24854
1,9,Pimento,9.4,31507
1,10,Marco,8.6,26224
2,1,Switch,8.2,23035
2,2,Cobbler,8.4,21904
2,3,Amarillo,8.2,21326
2,4,Gloves Off,8.9,22900
2,5,Rebecca,8,22579
2,6,Bali Ha'i,8.4,20863
2,7,Inflatable,8.3,20591
2,8,Fifi,8.3,20339
2,9,Nailed,9.3,23918
2,10,Klick,9,22178
3,1,Mabel,8.1,21485
3,2,Witness,9,21935
3,3,Sunk Costs,8.4,20318
3,4,Sabrosito,8.9,21649
3,5,Chicanery,9.7,43814
3,6,Off Brand,8.4,19991
3,7,Expenses,8.2,19665
3,8,Slip,8.5,19770
3,9,Fall,8.8,19454
3,10,Lantern,9.2,24357
4,1,Smoke,8.2,20542
4,2,Breathe,8.8,19890
4,3,Something Beautiful,8.4,19329
4,4,Talk,8.2,19360
4,5,Quite a Ride,8.4,19581
4,6,Piñata,8.5,19238
4,7,Something Stupid,8.3,19175
4,8,Coushatta,8.8,19757
4,9,Wiedersehen,9.1,20468
4,10,Winner,9.6,30779
5,1,Magic Man,8.7,22370
5,2,50% Off,8.7,21508
5,3,The Guy for This,9,21801
5,4,Namaste,8.5,20604
5,5,Dedicado a Max,8.5,20812
5,6,Wexler v. Goodman,9.3,25074
5,7,JMM,9.1,23112
5,8,Bagman,9.7,40240
5,9,Bad Choice Road,9.7,38329
5,10,Something Unforgivable,9.4,29859
6,1,Wine and Roses,8.8,29564
6,2,Carrot and Stick,9.1,29771
6,3,Rock and Hard Place,9.7,50188
6,4,Hit and Run,8.6,26722
6,5,Black and Blue,8.1,26146
6,6,Axe and Grind,8.2,25536
6,7,Plan and Execution,9.9,88212
6,8,Point and Shoot,9.8,57961
6,9,Fun and Games,9.4,36984
6,10,Nippy,8.5,34819
6,11,Breaking Bad,9,36612
6,12,Waterworks,9.4,39491
6,13,Saul Gone,9.8,80625
