season,episode,title,rating,votes
1,1,"To You, in 2000 Years: The Fall of Shiganshina, Part 1",9.2,56075
1,2,"That Day: The Fall of Shiganshina, Part 2",8.5,40839
1,3,"A Dim Light Amid Despair: Humanity's Comeback, Part 1",8.1,39143
1,4,"The Night of the Closing Ceremony: Humanity's Comeback, Part 2",8.6,37110
1,5,"First Battle: The Struggle for Trost, Part 1",9.3,39577
1,6,"The World the Girl Saw: The Struggle for Trost, Part 2",8.9,37182
1,7,"Small Blade: The Struggle for Trost, Part 3",8.9,36262
1,8,"I Can Hear His Heartbeat: The Struggle for Trost, Part 4",9.2,36390
1,9,"Whereabouts of His Left Arm: The Struggle for Trost, Part 5",8.8,34125
1,10,"Response: The Struggle for Trost, Part 6",8.3,33408
1,11,"Idol: The Struggle for Trost, Part 7",8.3,32831
1,12,"Wound: The Struggle for Trost, Part 8",8.3,32458
1,13,"Primal Desire: The Struggle for Trost, Part 9",9,33900
1,14,"Can't Look Into His Eyes Yet: Eve of The Counterattack, Part 1",8.5,32227
1,15,"Special Operations Squad: Eve of the Counterattack, Part 2",8.1,33365
1,16,"What Needs to Be Done Now: Eve of the Counterattack, Part 3",8.2,31876
1,17,"Female Titan: The 57th Expedition Beyond the Walls, Part 1",9.1,34118
1,18,"Forest of Giant Trees: The 57th Expedition Beyond the Walls, Part 2",8.9,32175
1,19,"Bite: The 57th Exterior Scouting Mission, Part 3",8.9,32556
1,20,"Erwin Smith: The 57th Expedition Beyond the Walls, Part 4",9.1,33212
1,21,"Crushing Blow: The 57th Exterior Scouting Mission, Part 5",9.6,42174
1,22,"The Defeated: The 57th Expedition Beyond the Walls, Part 6",9.1,33520
1,23,"Smile: Raid on Stohess District, Part 1",9,33606
1,24,"Mercy: Raid on Stohess District, Part 2",9.2,33366
1,25,"Wall: Raid on Stohess District, Part 3",9.4,37820
2,1,Beast Titan,9.2,34926
2,2,I'm Home,8.5,30333
2,3,Southwestward,8.6,29936
2,4,Soldier,9.1,31964
2,5,Historia,9.1,32394
2,6,Warrior,9.8,74445
2,7,Close Combat,9.6,40404
2,8,The Hunters,8.4,29791
2,9,Opening,8.6,29812
2,10,Children,9,32056
2,11,Charge,9.5,38241
2,12,Scream,9.7,54959
3,1,Smoke Signal,8.8,33742
3,2,Pain,9.2,36123
3,3,Old Story,8.7,30821
3,4,Trust,8.5,30803
3,5,Reply,9,32262
3,6,Sin,9.2,34005
3,7,Wish,9.5,38632
3,8,Outside the Walls of Orvud District,8.9,31562
3,9,Ruler of the Walls,9.3,33199
3,10,Friends,9.2,32869
3,11,Bystander,9.1,33174
3,12,Night of the Battle to Retake the Wall,8.9,33123
3,13,The Town Where Everything Began,9.6,44354
3,14,Thunder Spears,9.6,42866
3,15,Descent,9.6,44335
3,16,Perfect Game,9.8,122242
3,17,Hero,9.8,168766
3,18,Midnight Sun,9.8,97399
3,19,The Basement,9.2,40215
3,20,That Day,9.8,77251
3,21,Attack Titan,9.6,51208
3,22,The Other Side of the Wall,9.5,45077
4,1,The Other Side of the Sea,9.2,54898
4,2,Midnight Train,8.6,48768
4,3,The Door of Hope,9.2,49856
4,4,From One Hand to Another,8.9,49109
4,5,Declaration of War,9.8,105738
4,6,The War Hammer Titan,9.8,105914
4,7,Assault,9.8,132551
4,8,Assassin's Bullet,9.5,57535
4,9,Brave Volunteers,8.9,46042
4,10,A Sound Argument,8.5,42017
4,11,Deceiver,8.8,40477
4,12,Guides,8.9,41501
4,13,Children of the Forest,9.6,51751
4,14,Savagery,9.7,57436
4,15,Sole Salvation,9.5,48427
4,16,Above and Below,9.4,47747
4,17,Judgment,9.1,57145
4,18,Sneak Attack,9.3,52199
4,19,Two Brothers,9.7,98743
4,20,Memories of the Future,9.8,107261
4,21,"From You, 2000 Years Ago",9.8,104710
4,22,Thaw,9,40525
4,23,Sunset,8.5,33474
4,24,Pride,8.5,33865
4,25,Night of the End,8.6,33755
4,26,Traitor,9.2,36856
4,27,Retrospective,9.5,43186
4,28,The Dawn of Humanity,9.6,54829
4,29,The Final Chapters: Special 1,9.5,71466
4,30,The Final Chapters: Special 2,9,92207
