season,episode,title,rating,votes
1,1,Pilot,7.3,13330
1,2,Diversity Day,8.1,13002
1,3,Health Care,7.6,10848
1,4,The Alliance,7.8,10437
1,5,Basketball,8.2,11533
1,6,Hot Girl,7.5,10294
2,1,The Dundies,8.6,11541
2,2,Sexual Harassment,8.1,9967
2,3,Office Olympics,8.2,9804
2,4,The Fire,8.1,9589
2,5,Halloween,7.9,9130
2,6,The Fight,7.9,9116
2,7,The Client,8.5,9621
2,8,Performance Review,8,8634
2,9,E-Mail Surveillance,8.2,8807
2,10,Christmas Party,8.7,9664
2,11,Booze Cruise,8.5,9427
2,12,The Injury,9,10992
2,13,The Secret,8.1,8402
2,14,The Carpet,7.6,8287
2,15,Boys and Girls,8,8278
2,16,Valentine's Day,8.1,8269
2,17,Dwight's Speech,8.3,8653
2,18,Take Your Daughter to Work Day,8.2,8526
2,19,Michael's Birthday,8,8219
2,20,Drug Testing,8.2,8295
2,21,Conflict Resolution,8.5,8506
2,22,Casino Night,9.3,12074
3,1,Gay Witch Hunt,8.9,10880
3,2,The Convention,8,8034
3,3,The Coup,8.4,8339
3,4,Grief Counseling,7.8,7987
3,5,Initiation,7.9,7767
3,6,Diwali,7.7,8084
3,7,Branch Closing,8.5,8073
3,8,The Merger,8.6,8319
3,9,The Convict,8.2,8333
3,10,A Benihana Christmas,8.6,8678
3,11,Back from Vacation,8.5,7929
3,12,Traveling Salesmen,8.5,7943
3,13,The Return,8.7,8283
3,14,Ben Franklin,7.8,7702
3,15,Phyllis' Wedding,8,7806
3,16,Business School,8.8,8884
3,17,Cocktails,8.3,7663
3,18,The Negotiation,8.9,8673
3,19,Safety Training,8.6,8054
3,20,Product Recall,8.5,7885
3,21,Women's Appreciation,8.6,8100
3,22,Beach Games,9,9231
3,23,The Job,9.2,9730
4,1,Fun Run,8.7,8912
4,2,Dunder Mifflin Infinity,8.1,7509
4,3,Launch Party,8.2,7389
4,4,Money,8.5,7780
4,5,Local Ad,8.6,7857
4,6,Branch Wars,8.3,7504
4,7,Survivor Man,8,7240
4,8,The Deposition,8.6,7643
4,9,Dinner Party,9.4,15129
4,10,Chair Model,7.8,7072
4,11,Night Out,8.5,7376
4,12,Did I Stutter?,8.1,7050
4,13,Job Fair,7.6,6786
4,14,"Goodbye, Toby",9.2,9717
5,1,Weight Loss,8.7,8048
5,2,Business Ethics,8.1,6860
5,3,Baby Shower,7.8,6862
5,4,Crime Aid,7.9,6616
5,5,Employee Transfer,7.8,6769
5,6,Customer Survey,8.4,7024
5,7,Business Trip,8,6632
5,8,Frame Toby,8.5,7421
5,9,The Surplus,8.6,7180
5,10,Moroccan Christmas,8.2,6817
5,11,The Duel,8.6,7062
5,12,Prince Family Paper,7.8,6800
5,13,Stress Relief,9.7,20871
5,14,Lecture Circuit: Part 1,8,6611
5,15,Lecture Circuit: Part 2,8,6501
5,16,Blood Drive,7.8,6413
5,17,Golden Ticket,8.5,7015
5,18,New Boss,8.1,6599
5,19,Two Weeks,8.2,6531
5,20,Dream Team,8.1,6522
5,21,Michael Scott Paper Company,8.5,7045
5,22,Heavy Competition,8.5,6726
5,23,Broke,9.2,9076
5,24,Casual Friday,8.1,6463
5,25,Cafe Disco,8.7,7683
5,26,Company Picnic,8.9,7624
6,1,Gossip,8.7,7589
6,2,The Meeting,7.9,6256
6,3,The Promotion,7.8,6212
6,4,Niagara: Part 1,9.2,10324
6,5,Niagara: Part 2,9.4,10175
6,6,Mafia,7.5,6564
6,7,The Lover,8.5,6873
6,8,Koi Pond,8,6282
6,9,Double Date,7.9,6208
6,10,Murder,8.6,7344
6,11,Shareholder Meeting,8,6229
6,12,Scott's Tots,8.2,7133
6,13,Secret Santa,8.4,6592
6,14,The Banker,6.7,7733
6,15,Sabre,7.5,5968
6,16,Manager and Salesman,7.8,5882
6,17,The Delivery: Part 1,8.3,6322
6,18,The Delivery: Part 2,8.4,6291
6,19,St. Patrick's Day,7.5,5818
6,20,New Leads,7.5,5850
6,21,Happy Hour,8.4,6503
6,22,Secretary's Day,7.6,5845
6,23,Body Language,7.7,5829
6,24,The Cover-Up,8,5932
6,25,The Chump,7.6,5650
6,26,Whistleblower,7.8,5784
7,1,Nepotism,8.2,6555
7,2,Counseling,8,6039
7,3,Andy's Play,8.1,6430
7,4,Sex Ed,7.7,5973
7,5,The Sting,7.6,5852
7,6,Costume Contest,8,5995
7,7,Christening,7.2,5954
7,8,Viewing Party,7.7,5962
7,9,WUPHF.com,7.5,5746
7,10,China,8,6080
7,11,"Classy Christmas, Part 1",8.8,7461
7,12,"Classy Christmas, Part 2",8.6,586
7,13,Ultimatum,8.1,6078
7,14,The Seminar,7.5,5829
7,15,The Search,8.4,6372
7,16,PDA,8.2,6231
7,17,Threat Level Midnight,9.3,12281
7,18,Todd Packer,7.3,5720
7,19,Garage Sale,9.3,9911
7,20,Training Day,7.5,5876
7,21,Michael's Last Dundies,8.9,8106
7,22,"Goodbye, Michael",9.8,22145
7,23,"Goodbye, Michael Part 2",9.6,1056
7,24,The Inner Circle,7.4,5854
7,25,"Dwight K. Schrute, (Acting) Manager",8.5,6255
7,26,Search Committee,8.5,6435
7,27,"Search Committee, Part 2",8.1,480
8,1,The List,7.9,6012
8,2,The Incentive,7.9,5772
8,3,Lotto,7.1,5506
8,4,Garden Party,8,6058
8,5,Spooked,7.3,5468
8,6,Doomsday,7.4,5297
8,7,Pam's Replacement,7.5,5614
8,8,Gettysburg,6.6,5613
8,9,Mrs. California,7.5,5514
8,10,Christmas Wishes,7.7,5380
8,11,Trivia,7.7,5353
8,12,Pool Party,7.9,5792
8,13,Jury Duty,7.3,5201
8,14,Special Project,7.5,5102
8,15,Tallahassee,7.6,5363
8,16,After Hours,7.9,5563
8,17,Test the Store,7.6,5330
8,18,Last Day in Florida,7.6,5203
8,19,Get the Girl,6.3,5936
8,20,Welcome Party,6.7,5310
8,21,Angry Andy,6.6,5758
8,22,Fundraiser,6.8,5109
8,23,Turf War,7.4,5018
8,24,Free Family Portrait Studio,7.5,5247
9,1,New Guys,7.3,5484
9,2,Roy's Wedding,6.8,5299
9,3,Andy's Ancestry,7.1,5248
9,4,Work Bus,7.6,5549
9,5,Here Comes Treble,6.7,5366
9,6,The Boat,7.5,5327
9,7,The Whale,7.4,5123
9,8,The Target,7.7,5350
9,9,Dwight Christmas,8.2,5914
9,10,Lice,7.4,5284
9,11,Suit Warehouse,7.5,5199
9,12,Customer Loyalty,7.6,5304
9,13,Junior Salesman,7.3,5037
9,14,Vandalism,7.1,5097
9,15,Couples Discount,6.9,5207
9,16,Moving On,7.7,5521
9,17,The Farm,7.3,5760
9,18,Promos,7.7,5152
9,19,Stairmageddon,7.8,5369
9,20,Paper Airplane,7.8,5454
9,21,Livin' the Dream,9,7947
9,22,A.A.R.M.,9.4,10235
9,23,Finale,9.8,27148
