season,episode,title,rating,votes,episode_year
1,1,Uno,8.4,35922,2015
1,2,Mijo,8.9,33977,2015
1,3,Nacho,8.6,29404,2015
1,4,Hero,8.3,27656,2015
1,5,Alpine Shepherd Boy,8,27386,2015
1,6,Five-O,9.4,38343,2015
1,7,Bingo,8.6,25657,2015
1,8,RICO,8.6,25109,2015
1,9,Pimento,9.4,31822,2015
1,10,Marco,8.6,26477,2015
2,1,Switch,8.2,23254,2016
2,2,Cobbler,8.4,22127,2016
2,3,Amarillo,8.2,21545,2016
2,4,Gloves Off,8.9,23165,2016
2,5,Rebecca,8,22801,2016
2,6,Bali Ha'i,8.4,21085,2016
2,7,Inflatable,8.3,20811,2016
2,8,Fifi,8.3,20551,2016
2,9,Nailed,9.3,24178,2016
2,10,Klick,9,22438,2016
3,1,Mabel,8.1,21709,2017
3,2,Witness,9,22171,2017
3,3,Sunk Costs,8.4,20537,2017
3,4,Sabrosito,8.9,21915,2017
3,5,Chicanery,9.7,44235,2017
3,6,Off Brand,8.4,20217,2017
3,7,Expenses,8.2,19881,2017
3,8,Slip,8.5,19988,2017
3,9,Fall,8.8,19670,2017
3,10,Lantern,9.2,24617,2017
4,1,Smoke,8.2,20771,2018
4,2,Breathe,8.8,20114,2018
4,3,Something Beautiful,8.4,19550,2018
4,4,Talk,8.2,19580,2018
4,5,Quite a Ride,8.4,19814,2018
4,6,Piñata,8.5,19454,2018
4,7,Something Stupid,8.3,19385,2018
4,8,Coushatta,8.8,19968,2018
4,9,Wiedersehen,9.1,20692,2018
4,10,Winner,9.6,31128,2018
5,1,Magic Man,8.7,22598,2020
5,2,50% Off,8.7,21731,2020
5,3,The Guy for This,9,22028,2020
5,4,Namaste,8.5,20817,2020
5,5,Dedicado a Max,8.5,21019,2020
5,6,Wexler v. Goodman,9.3,25357,2020
5,7,JMM,9.1,23365,2020
5,8,Bagman,9.7,40594,2020
5,9,Bad Choice Road,9.7,38677,2020
5,10,Something Unforgivable,9.4,30148,2020
6,1,Wine and Roses,8.8,29859,2022
6,2,Carrot and Stick,9.1,30044,2022
6,3,Rock and Hard Place,9.7,50644,2022
6,4,Hit and Run,8.6,26955,2022
6,5,Black and Blue,8.1,26381,2022
6,6,Axe and Grind,8.2,25762,2022
6,7,Plan and Execution,9.9,88902,2022
6,8,Point and Shoot,9.8,58452,2022
6,9,Fun and Games,9.4,37303,2022
6,10,Nippy,8.5,35116,2022
6,11,Breaking Bad,9,36931,2022
6,12,Waterworks,9.4,39846,2022
6,13,Saul Gone,9.8,81142,2022
