season,episode,title,rating,votes,episode_year
1,1,Pilot,7.7,7251,2013
1,2,The Tagger,7.5,5934,2013
1,3,The Slump,7.5,5557,2013
1,4,M.E. Time,7.6,5374,2013
1,5,The Vulture,7.9,5223,2013
1,6,Halloween,8.4,5895,2013
1,7,48 Hours,8,5131,2013
1,8,Old School,7.6,4932,2013
1,9,Sal's Pizza,7.5,4817,2013
1,10,Thanksgiving,8.1,4935,2013
1,11,Christmas,8.1,4729,2013
1,12,Pontiac Bandit,8,4791,2014
1,13,The Bet,8.7,5391,2014
1,14,The Ebony Falcon,7.5,4460,2014
1,15,Operation: Broken Feather,8,4654,2014
1,16,The Party,8.4,4877,2014
1,17,Full Boyle,7.8,4414,2014
1,18,The Apartment,7.5,4294,2014
1,19,Tactical Village,8.3,4559,2014
1,20,Fancy Brudgom,7.5,4276,2014
1,21,Unsolvable,8,4338,2014
1,22,Charges and Specs,8.8,5100,2014
2,1,Undercover,8.1,4439,2014
2,2,Chocolate Milk,7.6,4185,2014
2,3,The Jimmy Jab Games,8.1,4373,2014
2,4,Halloween II,8.7,4892,2014
2,5,The Mole,8.1,4175,2014
2,6,Jake and Sophia,8.1,4176,2014
2,7,Lockdown,7.7,4032,2014
2,8,USPIS,7.7,4013,2014
2,9,The Road Trip,8.1,4147,2014
2,10,The Pontiac Bandit Returns,8.2,4116,2014
2,11,Stakeout,7.7,3945,2014
2,12,Beach House,8.2,4163,2015
2,13,Payback,7.8,3888,2015
2,14,Defense Rests,7.6,3849,2015
2,15,Windbreaker City,8.1,3950,2015
2,16,The Wednesday Incident,7.9,3864,2015
2,17,Boyle-Linetti Wedding,8.1,3966,2015
2,18,Captain Peralta,7.7,3825,2015
2,19,Sabotage,7.8,3792,2015
2,20,AC/DC,7.6,3740,2015
2,21,Det. Dave Majors,7.8,3800,2015
2,22,The Chopper,8.5,3959,2015
2,23,Johnny and Dora,9,5163,2015
3,1,New Captain,8.2,4194,2015
3,2,The Funeral,7.6,3803,2015
3,3,Boyle's Hunch,7.7,3724,2015
3,4,The Oolong Slayer,8.4,3985,2015
3,5,Halloween III,8.9,4763,2015
3,6,Into the Woods,7.6,3688,2015
3,7,The Mattress,7.6,3672,2015
3,8,Ava,8.1,3763,2015
3,9,The Swedes,7.7,3786,2015
3,10,Yippie Kayak,8.7,4261,2015
3,11,Hostage Situation,7.6,3622,2016
3,12,9 Days,7.9,3870,2016
3,13,The Cruise,8,3727,2016
3,14,Karen Peralta,7.5,3531,2016
3,15,The 9-8,7.9,3589,2016
3,16,House Mouses,7.7,3462,2016
3,17,Adrian Pimento,7.7,3568,2016
3,18,Cheddar,7.7,3561,2016
3,19,Terry Kitties,7.6,3398,2016
3,20,Paranoia,8.1,3490,2016
3,21,Maximum Security,8,3496,2016
3,22,Bureau,8.6,3761,2016
3,23,Greg and Larry,9,4342,2016
4,1,"Coral Palms, Part 1",8.1,3909,2016
4,2,"Coral Palms, Part 2",8.1,3726,2016
4,3,"Coral Palms, Part 3",8.3,3751,2016
4,4,The Night Shift,7.5,3559,2016
4,5,Halloween IV,8.7,4227,2016
4,6,Monster in the Closet,7.8,3438,2016
4,7,Mr. Santiago,8.1,3633,2016
4,8,Skyfire Cycle,7.6,3435,2016
4,9,The Overmining,7.9,3401,2016
4,10,Captain Latvia,7.5,3401,2016
4,11,"The Fugitive, Part 1",8.3,3582,2017
4,12,"The Fugitive, Part 2",8.4,3322,2017
4,13,The Audit,7.6,3295,2017
4,14,Serve & Protect,7.7,3304,2017
4,15,The Last Ride,8.2,3421,2017
4,16,Moo Moo,8.8,6064,2017
4,17,Cop-Con,8.2,3352,2017
4,18,Chasing Amy,7.9,3264,2017
4,19,Your Honor,7.8,3200,2017
4,20,The Slaughterhouse,7.9,3197,2017
4,21,The Bank Job,8.4,3386,2017
4,22,Crime & Punishment,8.5,3586,2017
5,1,The Big House Pt. 1,8.4,3860,2017
5,2,The Big House Pt. 2,8.3,3657,2017
5,3,Kicks,7.8,3339,2017
5,4,HalloVeen,9.4,6884,2017
5,5,Bad Beat,7.8,3287,2017
5,6,The Venue,7.6,3287,2017
5,7,Two Turkeys,8,3383,2017
5,8,Return to Skyfire,7.4,3275,2017
5,9,99,8.7,4092,2017
5,10,Game Night,8.4,4160,2017
5,11,The Favor,7.8,3233,2017
5,12,Safe House,8.6,3785,2018
