season,episode,title,rating,votes,episode_year
1,1,Winter Is Coming,8.9,81394,2011
1,2,The Kingsroad,8.6,61823,2011
1,3,Lord Snow,8.5,58599,2011
1,4,"Cripples, Bastards, and Broken Things",8.6,55917,2011
1,5,The Wolf and the Lion,9,58843,2011
1,6,A Golden Crown,9.1,57830,2011
1,7,You Win or You Die,9.2,58606,2011
1,8,The Pointy End,8.9,54721,2011
1,9,Baelor,9.6,80138,2011
1,10,Fire and Blood,9.4,67421,2011
2,1,The North Remembers,8.6,50501,2012
2,2,The Night Lands,8.3,48052,2012
2,3,What Is Dead May Never Die,8.6,47476,2012
2,4,Garden of Bones,8.6,46431,2012
2,5,The Ghost of Harrenhal,8.6,46633,2012
2,6,The Old Gods and the New,8.9,48534,2012
2,7,A Man Without Honor,8.8,46996,2012
2,8,The Prince of Winterfell,8.6,46206,2012
2,9,Blackwater,9.7,87412,2012
2,10,Valar Morghulis,9.3,56847,2012
3,1,Valar Dohaeris,8.6,48501,2013
3,2,"Dark Wings, Dark Words",8.4,45367,2013
3,3,Walk of Punishment,8.7,45939,2013
3,4,And Now His Watch Is Ended,9.5,63365,2013
3,5,Kissed by Fire,8.9,48217,2013
3,6,The Climb,8.7,46730,2013
3,7,The Bear and the Maiden Fair,8.6,45240,2013
3,8,Second Sons,8.9,46576,2013
3,9,The Rains of Castamere,9.9,186841,2013
3,10,Mhysa,9.1,52994,2013
4,1,Two Swords,9,55472,2014
4,2,The Lion and the Rose,9.7,90570,2014
4,3,Breaker of Chains,8.8,48788,2014
4,4,Oathkeeper,8.7,47136,2014
4,5,First of His Name,8.6,46481,2014
4,6,The Laws of Gods and Men,9.7,93540,2014
4,7,Mockingbird,9,51281,2014
4,8,The Mountain and the Viper,9.7,90854,2014
4,9,The Watchers on the Wall,9.6,83261,2014
4,10,The Children,9.7,81959,2014
5,1,The Wars to Come,8.3,47738,2015
5,2,The House of Black and White,8.3,44379,2015
5,3,High Sparrow,8.3,43292,2015
5,4,Sons of the Harpy,8.5,44239,2015
5,5,Kill the Boy,8.5,44422,2015
5,6,"Unbowed, Unbent, Unbroken",7.9,51801,2015
5,7,The Gift,8.8,46896,2015
5,8,Hardhome,9.8,145447,2015
5,9,The Dance of Dragons,9.4,67350,2015
5,10,Mother's Mercy,9.2,66040,2015
6,1,The Red Woman,8.4,58228,2016
6,2,Home,9.2,67290,2016
6,3,Oathbreaker,8.6,52700,2016
6,4,Book of the Stranger,9,57493,2016
6,5,The Door,9.7,110579,2016
6,6,Blood of My Blood,8.3,51599,2016
6,7,The Broken Man,8.5,50903,2016
6,8,No One,8.3,55624,2016
6,9,Battle of the Bastards,9.9,313737,2016
6,10,The Winds of Winter,9.9,232048,2016
7,1,Dragonstone,8.5,69648,2017
7,2,Stormborn,8.7,62706,2017
7,3,The Queen's Justice,9.1,66604,2017
7,4,The Spoils of War,9.7,126776,2017
7,5,Eastwatch,8.6,62445,2017
7,6,Beyond the Wall,9,89101,2017
7,7,The Dragon and the Wolf,9.4,90737,2017
8,1,Winterfell,7.6,161141,2019
8,2,A Knight of the Seven Kingdoms,7.9,161139,2019
8,3,The Long Night,7.5,256955,2019
8,4,The Last of the Starks,5.5,196302,2019
8,5,The Bells,5.9,228317,2019
8,6,The Iron Throne,4,307344,2019
