season,episode,title,rating,votes,episode_year
1,1,Izuku Midoriya: Origin,7.6,5057,2016
1,2,What It Takes to Be a Hero,8.2,4827,2016
1,3,Roaring Muscles,7.7,3987,2016
1,4,Start Line,8.3,4343,2016
1,5,What I Can Do for Now,7.8,3746,2016
1,6,"Rage, You Damn Nerd",7.7,3609,2016
1,7,Deku vs. Kacchan,8.6,4328,2016
1,8,Bakugo's Start Line,7.5,3524,2016
1,9,"Yeah, Just Do Your Best, Iida!",7.2,3427,2016
1,10,Encounter with the Unknown,8,3538,2016
1,11,Game Over,8.6,3885,2016
1,12,All Might,9.3,5600,2016
1,13,Upon Each of Their Hearts,8.5,3887,2016
2,0,Hero Notebook,6,2008,2017
2,1,"That's the Idea, Ochaco",7.1,3141,2017
2,2,Roaring Sports Festival,7.5,3042,2017
2,3,In Their Own Quirky Ways,8.2,3396,2017
2,4,"Strategy, Strategy, Strategy",8,3115,2017
2,5,Cavalry Battle Finale,8.5,3579,2017
2,6,The Boy Born with Everything,7.6,3027,2017
2,7,Victory or Defeat,8,3106,2017
2,8,"Battle On, Challengers!",7.6,2947,2017
2,9,Bakugo vs. Uraraka,8.6,3717,2017
2,10,Shoto Todoroki: Origin,9.6,7938,2017
2,11,"Fight On, Iida",8,3004,2017
2,12,Todoroki vs. Bakugo,8.6,3568,2017
2,13,Time to Pick Some Names,7.4,2906,2017
2,14,Bizarre! Gran Torino Appears,7.6,2919,2017
2,15,Midoriya and Shigaraki,7.9,2944,2017
2,16,Hero Killer: Stain vs U.A. Students,9.1,4238,2017
2,17,Climax,9.2,4431,2017
2,18,The Aftermath of Hero Killer: Stain,7.6,2850,2017
2,19,Everyone's Internships,6.6,2872,2017
2,20,Listen Up!! A Tale from the Past,7.9,2903,2017
2,21,Gear Up for Final Exams,7.3,2769,2017
2,22,Yaoyorozu: Rising,8,2929,2017
2,23,Stripping the Varnish,7.4,2776,2017
2,24,Katsuki Bakugo: Origin,8.9,3907,2017
2,25,Encounter,8.1,3048,2017
3,1,Game Start,6.4,2892,2018
3,2,"Wild, Wild Pussycats",7.2,2845,2018
3,3,Kota,7.5,2878,2018
3,4,My Hero,9.5,7067,2018
3,5,"Drive It Home, Iron Fist!!!",8.6,3300,2018
3,6,Roaring Upheaval,8.5,3252,2018
3,7,What a Twist!,8.2,3025,2018
3,8,From Iida to Midoriya,7.8,2848,2018
3,9,All For One,9,4150,2018
3,10,Symbol of Peace,9.5,5487,2018
3,11,One For All,9.8,16295,2018
3,12,"End of the Beginning, Beginning of the End",8.2,3204,2018
3,13,Moving Into Dorms,7.2,2740,2018
3,14,Create Those Ultimate Moves,7.5,2662,2018
3,15,The Test,7.5,2622,2018
3,16,Shiketsu High Lurking,7.6,2631,2018
3,17,Class 1-A,7.7,2630,2018
3,18,RUSH!,8,2703,2018
3,19,Rescue Exercises,7.3,2563,2018
3,20,Special Episode - Save the World with Love!,6.3,2372,2018
3,21,What's the Big Idea?,8.1,2879,2018
3,22,A Talk About Your Quirk,8,2742,2018
3,23,"Deku vs. Kacchan, Part 2",9.4,5197,2018
3,24,A Season for Encounters,7.4,2572,2018
3,25,Unrivaled,8,2838,2018
4,1,The Scoop on U.A. Class 1-A,7,2709,2019
4,2,Overhaul,7.8,2768,2019
4,3,Boy Meets...,7.6,2644,2019
4,4,Fighting Fate,8.3,3053,2019
4,5,"Let's Go, Gutsy Red Riot",8.5,3195,2019
4,6,An Unpleasant Talk,7.5,2630,2019
4,7,Go!!,7.7,2594,2019
4,8,Suneater of the Big Three,8.3,3122,2019
4,9,Red Riot,9,4207,2019
4,10,Temp Squad,7.9,2682,2019
4,11,Lemillion,9.6,6733,2019
4,12,Unforeseen Hope,9.3,4419,2020
4,13,Infinite 100%,9.7,9328,2020
4,14,Bright Future,9.1,3952,2020
4,15,Smoldering Flames,7.3,2478,2020
4,16,Win Those Kids' Hearts,6.5,2552,2020
4,17,Relief for License Trainees,7,2505,2020
4,18,School Festival,6.7,2475,2020
4,19,Prepping for the School Festival Is the Funnest Part,6.8,2453,2020
4,20,Golden Tips Imperial,6.4,2447,2020
4,21,Deku vs. Gentle Criminal,7.3,2550,2020
4,22,School Festival Start!,8.2,3115,2020
4,23,Let It Flow! School Festival!,8.4,3463,2020
4,24,Japanese Hero Billboard Chart,7.5,2561,2020
4,25,His Start,9.7,10328,2020
5,1,All Hands on Deck! Class 1-A,6.5,2929,2021
5,2,Vestiges,8,2894,2021
5,3,Clash! Class A vs. Class B!,7.1,2515,2021
5,4,"Make It Happen, Shinso!",7.6,2542,2021
5,5,Operation New Improv Moves,7.3,2473,2021
5,6,Foresight,6.9,2464,2021
5,7,Match 3,7,2408,2021
5,8,Match 3 Conclusion,8.2,2954,2021
5,9,Early Bird!,8.6,3177,2021
5,10,That Which Is Inherited,8.8,3430,2021
5,11,Our Brawl,7.9,2548,2021
5,12,The New Power and All For One,7.4,2420,2021
5,13,Have a Merry Christmas!,6.8,2426,2021
5,14,Off to Endeavor's Agency!,7.5,2357,2021
5,15,One Thing at a Time,7.5,2335,2021
5,16,"Long Time No See, Selkie",5.5,2479,2021
5,17,The Hellish Todoroki Family,7.4,2431,2021
5,18,The Unforgiven,8.3,2791,2021
5,19,More of a Hero Than Anyone,8.6,3001,2021
5,20,My Villain Academia,7.7,2423,2021
5,21,Revival Party,7.9,2610,2021
5,22,Sad Man's Parade,8.4,2952,2021
5,23,Tenko Shimura: Origin,9.5,5523,2021
5,24,Tomura Shigaraki: Origin,9.1,3766,2021
5,25,"The High, Deep Blue Sky",7.5,2345,2021
6,1,A Quiet Beginning,8.1,3280,2022
6,2,"Mirko, the No. 5 Hero",8.6,3482,2022
6,3,One's Justice,9.3,4225,2022
6,4,Inheritance,8.8,3335,2022
6,5,The Thrill of Destruction,9.3,3897,2022
6,6,"Encounter, Part 2",9.1,3559,2022
6,7,Disaster Walker,8.8,3184,2022
