season,episode,title,rating,votes,episode_year
1,1,Velma,2.7,5426,2023
1,2,The Candy (Wo)man,2.7,4607,2023
1,3,Velma Kai,2.8,3259,2023
1,4,Velma Makes a List,2.8,3377,2023
1,5,Marching Band Sleepover,3,2285,2023
1,6,The Sins of the Fathers and Some of the Mothers,3.1,2469,2023
1,7,Fog Fest,3.1,1965,2023
1,8,A Velma in the Woods,3,2006,2023
1,9,Family (Wo)man,3,1729,2023
1,10,The Brains of the Operation,3.2,2041,2023
2,1,The Mystery of Teen Romance,3.2,910,2024
2,2,Creaky Friday,3.2,845,2024
2,3,When Velma Met Money,3.4,835,2024
2,4,Seancé,3.4,813,2024
2,5,Burning Woman,3.3,798,2024
2,6,Private Velmjamin,3.5,799,2024
2,7,Female Utopia,3.3,786,2024
2,8,Aman Hunt,3.4,788,2024
2,9,The Real Villain,3.7,851,2024
2,10,Til Death,3.4,870,2024
2,11,This Halloween Needs to Be More Special!,4.1,651,2024
