season,episode,title,rating,votes,episode_year
1,1,"BoJack Horseman: The BoJack Horseman Story, Chapter One",7.1,9959,2014
1,2,BoJack Hates the Troops,7.6,8894,2014
1,3,Prickly Muffin,7.3,8138,2014
1,4,Zoës and Zeldas,7.4,7850,2014
1,5,"Live Fast, Diane Nguyen",7.3,7530,2014
1,6,Our A-Story Is a 'D' Story,7.8,7543,2014
1,7,Say Anything,7.9,7550,2014
1,8,The Telescope,8.6,8796,2014
1,9,Horse Majeure,7.8,7091,2014
1,10,One Trick Pony,7.6,6976,2014
1,11,Downer Ending,9.2,11133,2014
1,12,Later,8.3,7581,2014
2,1,Brand New Couch,8,6974,2015
2,2,Yesterdayland,7.7,6534,2015
2,3,Still Broken,7.9,6537,2015
2,4,After the Party,7.9,6520,2015
2,5,Chickens,7.7,6694,2015
2,6,Higher Love,7.5,6156,2015
2,7,Hank After Dark,8.2,6567,2015
2,8,Let's Find Out,8.8,7985,2015
2,9,The Shot,8.3,6516,2015
2,10,Yes And,8.5,6831,2015
2,11,Escape from L.A.,9.4,11954,2015
2,12,Out to Sea,8.5,6808,2015
3,1,Start Spreading the News,7.8,6039,2016
3,2,The BoJack Horseman Show,8,6194,2016
3,3,BoJack Kills,7.4,6008,2016
3,4,Fish Out of Water,9.6,17178,2016
3,5,Love And/Or Marriage,8.1,6120,2016
3,6,Brrap Brrap Pew Pew,8,6422,2016
3,7,Stop the Presses,8.3,6216,2016
3,8,Old Acquaintance,7.8,5782,2016
3,9,Best Thing That Ever Happened,8.5,6621,2016
3,10,It's You,8.8,7204,2016
3,11,"That's Too Much, Man!",9.6,14612,2016
3,12,That Went Well,9,7875,2016
4,1,See Mr. Peanutbutter Run,7.5,6176,2017
4,2,The Old Sugarman Place,9.4,11950,2017
4,3,Hooray! Todd Episode!,8.4,6589,2017
4,4,Commence Fracking,7.6,5760,2017
4,5,Thoughts and Prayers,8.1,6115,2017
4,6,Stupid Piece of Sh*t,9.2,9247,2017
4,7,Underground,8.1,6183,2017
4,8,The Judge,7.4,5624,2017
4,9,Ruthie,9,8244,2017
4,10,lovin that cali lifestyle!!,8.4,6111,2017
4,11,Time's Arrow,9.8,20339,2017
4,12,What Time Is It Right Now,9,7079,2017
5,1,The Light Bulb Scene,8,5962,2018
5,2,The Dog Days Are Over,9,7868,2018
5,3,Planned Obsolescence,7.9,5889,2018
5,4,BoJack the Feminist,8,5834,2018
5,5,The Amelia Earhart Story,8.4,6208,2018
5,6,Free Churro,9.8,25496,2018
5,7,INT. SUB,8.8,7001,2018
5,8,Mr. Peanutbutter's Boos,8.5,6096,2018
5,9,Ancient History,8.2,5585,2018
5,10,Head in the Clouds,9,6729,2018
5,11,The Showstopper,9.6,11162,2018
5,12,The Stopped Show,9.1,6701,2018
6,1,A Horse Walks into a Rehab,9.1,7552,2019
6,2,The New Client,8.5,6121,2019
6,3,Feel-Good Story,8,5745,2019
6,4,Surprise!,9,6822,2019
6,5,"A Little Uneven, Is All",8,5343,2019
6,6,The Kidney Stays in the Picture,8.1,5419,2019
6,7,The Face of Depression,9.4,8716,2019
6,8,"A Quick One, While He's Away",8.5,5804,2019
6,9,Intermediate Scene Study w/ BoJack Horseman,8.3,5611,2020
6,10,Good Damage,8.9,6491,2020
6,11,Sunk Cost and All That,8.7,5699,2020
6,12,Xerox of a Xerox,9.3,7287,2020
6,13,The Horny Unicorn,8.6,5645,2020
6,14,Angela,9,6464,2020
6,15,The View from Halfway Down,9.9,34286,2020
6,16,Nice While It Lasted,9.6,13944,2020
