season,episode,title,rating,votes,episode_year
1,1,Pilot,8.4,8585,2005
1,2,Purple Giraffe,8,6649,2005
1,3,The Sweet Taste of Liberty,8,6311,2005
1,4,Return of the Shirt,7.8,5929,2005
1,5,Okay Awesome,8.1,6037,2005
1,6,The Slutty Pumpkin,7.9,5867,2005
1,7,Matchmaker,7.5,5542,2005
1,8,The Duel,8,5499,2005
1,9,Belly Full of Turkey,7.9,5478,2005
1,10,The Pineapple Incident,9.1,8132,2005
1,11,The Limo,8.2,5781,2005
1,12,The Wedding,8,5357,2006
1,13,"Drumroll, Please",8.7,6103,2006
1,14,"Zip, Zip, Zip",8.1,5253,2006
1,15,Game Night,9,6796,2006
1,16,Cupcake,7.7,5014,2006
1,17,Life Among the Gorillas,7.5,4974,2006
1,18,Nothing Good Happens After 2 AM,8.3,5497,2006
1,19,Mary the Paralegal,8.7,5788,2006
1,20,Best Prom Ever,7.7,4934,2006
1,21,Milk,7.9,4987,2006
1,22,Come On,8.8,6033,2006
2,1,Where Were We?,8,4943,2006
2,2,The Scorpion and the Toad,8.1,4802,2006
2,3,Brunch,8.4,5009,2006
2,4,"Ted Mosby, Architect",8.7,5517,2006
2,5,World's Greatest Couple,8.7,5345,2006
2,6,Aldrin Justice,8,4794,2006
2,7,Swarley,8.9,6383,2006
2,8,Atlantic City,7.8,4709,2006
2,9,Slap Bet,9.4,9330,2006
2,10,Single Stamina,8,4765,2006
2,11,How Lily Stole Christmas,7.9,4744,2006
2,12,First Time in New York,8,4802,2007
2,13,Columns,7.7,4467,2007
2,14,Monday Night Football,8.3,4807,2007
2,15,Lucky Penny,8.3,4716,2007
2,16,Stuff,8.3,4923,2007
2,17,"Arrivederci, Fiero",8.1,4748,2007
2,18,Moving Day,7.9,4425,2007
2,19,Bachelor Party,8.3,4690,2007
2,20,Showdown,8.8,5137,2007
2,21,Something Borrowed,8.7,4893,2007
2,22,Something Blue,8.7,4981,2007
3,1,Wait for It,8.1,4789,2007
3,2,We're Not from Here,7.5,4332,2007
3,3,Third Wheel,8,4535,2007
3,4,Little Boys,7.5,4307,2007
3,5,How I Met Everyone Else,8.9,5853,2007
3,6,I'm Not That Guy,7.9,4263,2007
3,7,Dowisetrepla,7.8,4316,2007
3,8,Spoiler Alert,9,5986,2007
3,9,Slapsgiving,8.9,5603,2007
3,10,The Yips,7.8,4365,2007
3,11,The Platinum Rule,8.4,4556,2007
3,12,No Tomorrow,8,4396,2008
3,13,Ten Sessions,8.7,5155,2008
3,14,The Bracket,8.6,4649,2008
3,15,The Chain of Screaming,7.8,4215,2008
3,16,Sandcastles in the Sand,8.1,4605,2008
3,17,The Goat,8.1,4279,2008
3,18,Rebound Bro,7.9,4183,2008
3,19,Everything Must Go,7.5,4156,2008
3,20,Miracles,8.5,4597,2008
4,1,Do I Know You?,8.5,4714,2008
4,2,The Best Burger in New York,8.4,5070,2008
4,3,I Heart NJ,7.5,4172,2008
4,4,Intervention,8.7,4946,2008
4,5,Shelter Island,8.2,4407,2008
4,6,Happily Ever After,7.9,4198,2008
4,7,Not a Father's Day,7.6,4080,2008
4,8,Woooo!,7.9,4306,2008
