season,episode,title,rating,votes,episode_year
1,1,"Good News, Bad News",7.3,7573,1989
1,2,The Stakeout,7.5,6456,1990
1,3,The Robbery,7.4,5923,1990
1,4,Male Unbonding,7.2,5762,1990
1,5,The Stock Tip,7.3,5566,1990
2,1,The Ex-Girlfriend,7.5,5445,1991
2,2,The Pony Remark,7.8,5660,1991
2,3,The Jacket,8.2,5781,1991
2,4,The Phone Message,8.3,5587,1991
2,5,The Apartment,7.7,5112,1991
2,6,The Statue,7.8,5155,1991
2,7,The Revenge,8.2,5273,1991
2,8,The Heart Attack,7.8,5201,1991
2,9,The Deal,8.2,5235,1991
2,10,The Baby Shower,7.4,4987,1991
2,11,The Chinese Restaurant,8.6,6272,1991
2,12,The Busboy,7.6,4989,1991
3,1,The Note,8.2,5347,1991
3,2,The Truth,7.7,4818,1991
3,3,The Pen,8.2,5412,1991
3,4,The Dog,7.1,5189,1991
3,5,The Library,8.5,5894,1991
3,6,The Parking Garage,8.7,6400,1991
3,7,The Cafe,8.3,5052,1991
3,8,The Tape,8.7,5483,1991
3,9,The Nose Job,7.8,4920,1991
3,10,The Stranded,7.4,4813,1991
3,11,The Alternate Side,8.2,4906,1991
3,12,The Red Dot,8.3,4936,1991
3,13,The Subway,8.7,5741,1992
3,14,The Pez Dispenser,8.4,4981,1992
3,15,The Suicide,7.4,4504,1992
3,16,The Fix Up,8.4,5016,1992
3,17,The Boyfriend,8.6,5649,1992
3,18,The Limo,8.9,6405,1992
3,19,The Good Samaritan,7.8,4498,1992
3,20,The Letter,7.8,4377,1992
3,21,The Parking Space,8.2,4677,1992
3,22,The Keys,8.2,4562,1992
4,1,The Trip: Part 1,8,4614,1992
4,2,The Trip: Part 2,8.3,4569,1992
4,3,The Pitch,8.5,4712,1992
4,4,The Ticket,8.2,4330,1992
4,5,The Wallet,7.9,4288,1992
4,6,The Watch,8,4200,1992
4,7,The Bubble Boy,8.7,5716,1992
4,8,The Cheever Letters,8.5,4647,1992
4,9,The Opera,8.2,4503,1992
4,10,The Virgin,8.1,4380,1992
4,11,The Contest,9.5,10147,1992
4,12,The Airport,8.9,5555,1992
4,13,The Pick,8.5,4653,1992
4,14,The Movie,8.1,4465,1993
4,15,The Visa,8,4193,1993
4,16,The Shoes,8.1,4420,1993
4,17,The Outing,9.4,7559,1993
4,18,The Old Man,8,4435,1993
4,19,The Implant,8.6,4720,1993
4,20,The Junior Mint,8.7,5176,1993
4,21,The Smelly Car,8.3,4475,1993
4,22,The Handicap Spot,8.2,4291,1993
4,23,The Pilot,8.6,4722,1993
5,1,The Mango,8.5,4720,1993
5,2,The Puffy Shirt,8.8,5507,1993
5,3,The Glasses,8.3,4472,1993
5,4,The Sniffing Accountant,8.1,4313,1993
5,5,The Bris,8,4546,1993
5,6,The Lip Reader,8.4,4389,1993
5,7,The Non-Fat Yogurt,8.3,4648,1993
5,8,The Barber,8.3,4487,1993
5,9,The Masseuse,7.7,4204,1993
5,10,The Cigar Store Indian,8.4,4584,1993
5,11,The Conversion,8.1,4187,1993
5,12,The Stall,8.6,4607,1994
5,13,The Dinner Party,8.2,4331,1994
5,14,The Marine Biologist,9.2,6773,1994
5,15,The Pie,8.5,4383,1994
5,16,The Stand-In,7.6,4041,1994
5,17,The Wife,7.9,4175,1994
