season,episode,title,rating,votes,episode_year
1,1,Mole Hunt,7.7,3233,2009
1,2,Training Day,7.5,2669,2010
1,3,Diversity Hire,8.1,2612,2010
1,4,Killing Utne,7.5,2380,2010
1,5,Honeypot,7.9,2425,2010
1,6,Skorpio,8.1,2300,2010
1,7,Skytanic,8.6,2601,2010
1,8,The Rock,7.6,2104,2010
1,9,Job Offer,8,2135,2010
1,10,Dial M for Mother,7.9,2147,2010
2,1,Swiss Miss,8.5,2271,2011
2,2,A Going Concern,7.7,2006,2011
2,3,Blood Test,7.8,2022,2011
2,4,Pipeline Fever,8.2,2117,2011
2,5,The Double Deuce,8,2023,2011
2,6,Tragical History,7.7,1950,2011
2,7,Movie Star,7.7,1958,2011
2,8,Stage Two,8.5,2119,2011
2,9,Placebo Effect,8.9,2676,2011
2,10,El Secuestro,8.6,2088,2011
2,11,Jeu Monegasque,8,1937,2011
2,12,White Nights,8.1,1908,2011
2,13,Double Trouble,8.3,1910,2011
3,1,Heart of Archness: Part I,8.5,2064,2011
3,2,Heart of Archness: Part II,8.1,1911,2011
3,3,Heart of Archness: Part III,8.1,1887,2011
3,4,The Man from Jupiter,8.4,2003,2012
3,5,El Contador,8,1865,2012
3,6,The Limited,8.4,2011,2012
3,7,Drift Problem,7.7,1804,2012
3,8,Lo Scandalo,8.6,2097,2012
3,9,Bloody Ferlin,7.9,1859,2012
3,10,Crossing Over,8,1771,2012
3,11,Skin Game,7.7,1734,2012
3,12,Space Race: Part I,8.3,1824,2012
3,13,Space Race: Part II,8.3,1822,2012
4,1,Fugue and Riffs,8.3,1982,2013
4,2,The Wind Cries Mary,8.2,1860,2013
4,3,Legs,8,1768,2013
4,4,Midnight Ron,7.6,1696,2013
4,5,Viscous Coupling,7.5,1643,2013
4,6,Once Bitten,7.5,1695,2013
4,7,Live and Let Dine,7.8,1754,2013
4,8,Coyote Lovely,7.6,1677,2013
4,9,The Honeymooners,8,1681,2013
4,10,Un Chien Tangerine,7.8,1630,2013
4,11,The Papal Chase,7.8,1650,2013
4,12,Sea Tunt: Part 1,7.7,1624,2013
4,13,Sea Tunt: Part 2,8,1645,2013
5,1,Archer Vice: White Elephant,8.5,1912,2014
5,2,Archer Vice: A Kiss While Dying,7.7,1604,2014
5,3,Archer Vice: A Debt of Honor,7.7,1574,2014
5,4,Archer Vice: House Call,8.1,1589,2014
5,5,Archer Vice: Southbound and Down,7.7,1585,2014
5,6,Archer Vice: Baby Shower,7.7,1542,2014
5,7,Archer Vice: Smugglers' Blues,7.7,1487,2014
5,8,Archer Vice: The Rules of Extraction,8.2,1548,2014
5,9,Archer Vice: On the Carpet,8,1480,2014
5,10,Archer Vice: Palace Intrigue - Part I,8,1478,2014
5,11,Archer Vice: Palace Intrigue: Part II,7.9,1465,2014
5,12,Archer Vice: Filibuster,8,1465,2014
5,13,Archer Vice: Arrival/Departure,8.6,1659,2014
6,1,The Holdout,8.1,1580,2015
6,2,Three to Tango,7.9,1487,2015
6,3,The Archer Sanction,8.2,1542,2015
6,4,Edie's Wedding,8,1511,2015
6,5,Vision Quest,8.7,1765,2015
6,6,Sitting,7.9,1461,2015
6,7,Nellis,7.6,1422,2015
6,8,The Kanes,8.8,1831,2015
6,9,Pocket Listing,8.5,1533,2015
6,10,Reignition Sequence,8.1,1401,2015
6,11,Achub y Morfilod,7.9,1425,2015
6,12,Drastic Voyage: Part 1,7.9,1406,2015
6,13,Drastic Voyage: Part 2,8.4,1443,2015
7,1,The Figgis Agency,7.9,1534,2016
7,2,The Handoff,8,1400,2016
7,3,Deadly Prep,8.4,1431,2016
7,4,Motherless Child,8,1366,2016
7,5,Bel Panto: Part I,8.1,1368,2016
7,6,Bel Panto: Part II,8.3,1401,2016
7,7,Double Indecency,8.4,1432,2016
7,8,Liquid Lunch,7.6,1270,2016
7,9,Deadly Velvet: Part 1,8.1,1319,2016
7,10,Deadly Velvet: Part 2,8.8,1624,2016
8,1,Archer Dreamland: No Good Deed,7.7,1456,2017
8,2,Archer Dreamland: Berenice,7.6,1264,2017
8,3,Archer Dreamland: Jane Doe,7.5,1214,2017
8,4,Archer Dreamland: Ladyfingers,7.5,1197,2017
8,5,Archer Dreamland: Sleepers Wake,7.2,1155,2017
8,6,Archer Dreamland: Waxing Gibbous,7.7,1192,2017
8,7,"Archer Dreamland: Gramercy, Halberd!",7.9,1211,2017
8,8,Archer Dreamland: Auflösung,7.5,1249,2017
9,1,Danger Island: Strange Pilot,7.2,1335,2018
9,2,Danger Island: Disheartening Situation,7.2,1169,2018
9,3,Danger Island: Different Modes of Preparing the Fruit,7,1107,2018
9,4,Danger Island: A Warrior in Costume,7.2,1087,2018
9,5,Danger Island: Strange Doings in the Taboo Groves,7.3,1065,2018
9,6,Danger Island: Some Remarks on Cannibalism,7.3,1057,2018
9,7,Danger Island: Comparative Wickedness of Civilized and Unenlightened Peoples,7.8,1110,2018
9,8,Danger Island: A Discovery,7.7,1123,2018
10,1,Archer: 1999 -- Bort the Garj,7.1,1274,2019
10,2,Archer: 1999 -- Happy Borthday,7.3,1134,2019
10,3,Archer: 1999 -- The Leftovers,7.4,1080,2019
10,4,Archer: 1999 -- Dining with the Zarglorp,7.2,1037,2019
10,5,Archer: 1999 -- Mr. Deadly Goes to Town,7.9,1180,2019
10,6,Archer: 1999 -- Road Trip,7.3,1009,2019
10,7,Archer: 1999 -- Space Pirates,7.6,1021,2019
10,8,Archer: 1999 -- Cubert,8,1056,2019
10,9,Archer: 1999 -- Robert De Niro,8.5,1268,2019
11,1,The Orpheus Gambit,8,1321,2020
11,2,Bloodsploosh,7.8,1198,2020
11,3,Helping Hands,7.9,1134,2020
11,4,Robot Factory,8.5,1214,2020
11,5,Best Friends,8.5,1167,2020
11,6,The Double Date,8,1091,2020
11,7,Caught Napping,8.3,1110,2020
11,8,Cold Fusion,7.8,1082,2020
12,1,Identity Crisis,7.5,1050,2021
12,2,Lowjacked,7.9,1005,2021
12,3,London Time,7.5,953,2021
12,4,Photo Op,7.4,934,2021
12,5,Shots,7.9,939,2021
12,6,"Dingo, Baby, et Cetera",8.5,1042,2021
12,7,Colt Express,7.8,893,2021
12,8,Mission: Difficult,9,1644,2021
13,1,The Big Con,7.5,810,2022
13,2,Operation: Fang,7.3,714,2022
13,3,Saturday,7.7,750,2022
13,4,The Laws of Attraction,7.3,674,2022
13,5,Out of Network,7.5,661,2022
13,6,Bank Run at Mr. Bank's Bank,7.5,639,2022
13,7,Distraction Action,7.6,653,2022
13,8,"Dough, Ray, and Me",7.8,663,2022
14,1,The Anglerfish Stratagem,7.3,688,2023
14,2,30 for 30,7.4,659,2023
14,3,Plaque Removal,6.8,663,2023
14,4,Chill Barry,7.5,591,2023
14,5,Keys Open Doors,7.5,581,2023
14,6,Face Off,7.7,580,2023
14,7,Mission Out of Control Room,7.5,548,2023
14,8,Breaking Fabian,7.5,558,2023
14,9,Into the Cold,8.4,823,2023
