season,episode,title,rating,votes,episode_year
1,1,In Treacherous Waters,7,2835,2024
1,2,...And Be a Villain,7.7,2441,2024
1,3,Kiss of the Catwoman,7.6,2276,2024
1,4,The Night of the Hunters,7.8,2127,2024
1,5,The Stress of Her Regard,7.3,2144,2024
1,6,Night Ride,7,1981,2024
1,7,Moving Target,7.5,1900,2024
1,8,Nocturne,7.4,1860,2024
1,9,The Killer Inside Me,8.3,1847,2024
1,10,Savage Night,8.4,1897,2024
2,1,Brute Force,7.4,865,2026
2,2,Rocket's Red Glare,7.2,787,2026
2,3,Deep Cover,8,778,2026
2,4,The Devil's Due,7.4,697,2026
2,5,The Spectral Hand,7.6,681,2026
2,6,Sudden Fear,7.8,673,2026
2,7,Her Dark Reflection,7.9,653,2026
2,8,Zero Hour,7.2,623,2026
2,9,Dead Before Dawn,8.5,638,2026
2,10,The Laughing Death,8.3,650,2026
