season,episode,title,rating,votes,episode_year
1,0,Unaired Pilot,7.5,1884,1997
1,1,Cartman Gets an Anal Probe,7.8,7175,1997
1,2,Volcano,7.6,5503,1997
1,3,Weight Gain 4000,7.5,5698,1997
1,4,Big Gay Al's Big Gay Boat Ride,7.6,5251,1997
1,5,An Elephant Makes Love to a Pig,7.4,4925,1997
1,6,Death,8,5096,1997
1,7,Pinkeye,8.3,5200,1997
1,8,Starvin' Marvin,8.1,5108,1997
1,9,"Mr. Hankey, the Christmas Poo",8.1,5028,1997
1,10,Damien,7.8,4659,1998
1,11,Tom's Rhinoplasty,7.9,4618,1998
1,12,Mecha-Streisand,7.4,4631,1998
1,13,Cartman's Mom Is a Dirty Slut,8.5,5312,1998
2,1,Terrance and Phillip in Not Without My Anus,6.1,4721,1998
2,2,Cartman's Mom is Still a Dirty Slut,8.2,4667,1998
2,3,Ike's Wee Wee,8,4286,1998
2,4,Chickenlover,8,4377,1998
2,5,Conjoined Fetus Lady,7.6,4072,1998
2,6,The Mexican Staring Frog of Southern Sri Lanka,7.5,3955,1998
2,7,City on the Edge of Forever,7.2,4023,1998
2,8,Summer Sucks,7.3,3787,1998
2,9,Chef's Chocolate Salty Balls,7.5,3849,1998
2,10,Chickenpox,7.9,3885,1998
2,11,Roger Ebert Should Lay Off the Fatty Foods,7.5,3732,1998
2,12,Clubhouses,7.9,3789,1998
2,13,Cow Days,7.5,3637,1998
2,14,Chef Aid,7.7,3757,1998
2,15,Spookyfish,8.4,4209,1998
2,16,Merry Christmas Charlie Manson!,8.1,3907,1998
2,17,Gnomes,8.2,4010,1998
2,18,Prehistoric Ice Man,7.8,3653,1999
3,1,Rainforest Shmainforest,8.4,4528,1999
3,2,Spontaneous Combustion,8.1,3891,1999
3,3,The Succubus,8,3960,1999
3,4,Jakovasaurs,6.4,3931,1999
3,5,Tweek vs. Craig,7.6,3845,1999
3,6,Sexual Harassment Panda,8.1,4113,1999
3,7,Cat Orgy,7.9,3813,1999
3,8,Two Guys Naked in a Hot Tub,8,3787,1999
3,9,Jewbilee,7.4,3575,1999
3,10,Korn's Groovy Pirate Ghost Mystery,7.7,3909,1999
3,11,Chinpokomon,8.7,4773,1999
3,12,Hooked on Monkey Fonics,8,3572,1999
3,13,Starvin' Marvin in Space,8,3494,1999
3,14,The Red Badge of Gayness,8.3,3756,1999
